Rentrée scolaire,Code région,Région,Code de l'académie,Académie,Code du département,Département,Code INSEE de la commune,Nom de la commune,UAI,Nom de l'établissement,Secteur,IPS,IPS national privé,IPS national public,IPS national,IPS académique privé,IPS académique public,IPS académique,IPS départemental privé,IPS départemental public,IPS départemental,num_ligne
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35240,LE RHEU,0350430C,ECOLE PRIMAIRE PUBLIQUE MOIGNE,public,122.7,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,41719.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35275,SAINT GILLES,0350479F,ECOLE ELEMENTAIRE PUBLIQUE JACQUES PREVERT,public,112.6,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,41726.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35238,RENNES,0350594F,ECOLE ELEMENTAIRE PUBLIQUE CHAMPION DE CICE,public,100.2,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,41752.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35238,RENNES,0350602P,ECOLE ELEMENTAIRE PUBLIQUE MARCEL PAGNOL,public,115.2,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,41754.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35238,RENNES,0350607V,ECOLE PRIMAIRE PUBLIQUE MAUCONSEIL,public,126.1,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,41756.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35238,RENNES,0350626R,ECOLE ELEMENTAIRE PUBLIQUE CAMILLE CLAUDEL,public,130.9,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,41761.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35170,MECE,0351099E,ECOLE PRIMAIRE PRIVEE NOTRE DAME DES VERTUS,privé sous contrat,NS,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,41808.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35079,CHEVAIGNE,0351253X,ECOLE PRIMAIRE PRIVEE STE THERESE,privé sous contrat,129.5,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,41850.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35088,CORPS NUDS,0351267M,ECOLE PRIMAIRE PRIVEE ST JOSEPH,privé sous contrat,120.6,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,41853.0
2023-2024,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,35238,RENNES,0351494J,ECOLE PRIMAIRE PRIVEE NOTRE DAME DU VIEUX COURS,privé sous contrat,128.7,120.3,102.9,105.5,112.8,107.1,109.4,116.5,110.4,112.7,41917.0
