Rentrée scolaire,Académie,Code du département,Département,UAI,Nom de l'établissment,Code INSEE de la commune,Nom de la commune,Secteur,Effectifs,IPS,Ecart-type de l'IPS
2022-2023,RENNES,035,ILLE-ET-VILAINE,0350781J,COLLEGE PRIVE NOTRE DAME DU VIEUX COURS,35238,RENNES,privé sous contrat,498.0,128.7,29.9
2022-2023,RENNES,035,ILLE-ET-VILAINE,0350836U,COLLEGE PRIVE SAINT MARTIN QUARTIER SAINTE GENEVIEVE,35238,RENNES,privé sous contrat,383.0,120.0,29.0
2022-2023,RENNES,035,ILLE-ET-VILAINE,0350852L,COLLEGE PRIVE SAINT JOSEPH,35047,BRUZ,privé sous contrat,1311.0,126.9,28.3
2022-2023,RENNES,035,ILLE-ET-VILAINE,0351847T,COLLEGE GEORGES BRASSENS,35240,LE RHEU,public,732.0,115.1,36.7
2022-2023,RENNES,035,ILLE-ET-VILAINE,0352069J,COLLEGE PRIVE SAINT VINCENT PROVIDENCE,35238,RENNES,privé sous contrat,760.0,136.3,26.7
2022-2023,RENNES,035,ILLE-ET-VILAINE,0352071L,COLLEGE PRIVE JOSEPHINE BAKHITA,35238,RENNES,privé sous contrat,151.0,94.6,23.3
2022-2023,RENNES,035,ILLE-ET-VILAINE,0352260S,COLLEGE FRANCOIS TRUFFAUT,35024,BETTON,public,549.0,124.9,36.2
2022-2023,RENNES,035,ILLE-ET-VILAINE,0352274G,COLLEGE FRANCOISE DOLTO,35210,PACE,public,737.0,121.9,38.1
2022-2023,RENNES,035,ILLE-ET-VILAINE,0352959B,COLLEGE MARIE CURIE,35139,LAILLE,public,446.0,124.1,31.7
2022-2023,RENNES,035,ILLE-ET-VILAINE,0350002M,COLLEGE PIERRE BROSSOLETTE,35047,BRUZ,public,606.0,118.1,36.2
2022-2023,RENNES,035,ILLE-ET-VILAINE,0350759K,COLLEGE ECHANGE,35238,RENNES,public,476.0,117.4,44.3
2022-2023,RENNES,035,ILLE-ET-VILAINE,0350760L,COLLEGE CLEUNAY,35238,RENNES,public,349.0,96.6,40.0
2022-2023,RENNES,035,ILLE-ET-VILAINE,0350895H,COLLEGE ROSA PARKS,35238,RENNES,public,500.0,73.9,26.8
2022-2023,RENNES,035,ILLE-ET-VILAINE,0350913C,COLLEGE CLOTILDE VAUTIER,35238,RENNES,public,402.0,84.0,40.0
2022-2023,RENNES,035,ILLE-ET-VILAINE,0352319F,COLLEGE PRIVE SAINT GABRIEL,35210,PACE,privé sous contrat,1007.0,134.2,26.3
2022-2023,RENNES,035,ILLE-ET-VILAINE,0352541X,COLLEGE THEODORE MONOD,35352,VERN SUR SEICHE,public,585.0,117.7,33.9
2022-2023,RENNES,035,ILLE-ET-VILAINE,0352589Z,COLLEGE JEAN MOULIN,35281,SAINT JACQUES DE LA LANDE,public,410.0,91.8,35.9
2022-2023,RENNES,035,ILLE-ET-VILAINE,0352691K,COLLEGE ANDREE RECIPON,35208,ORGERES,public,495.0,114.4,33.5
2022-2023,RENNES,035,ILLE-ET-VILAINE,0352972R,COLLEGE PRIVE SAINT MICHEL,35051,CESSON SEVIGNE,privé sous contrat,51.0,108.6,27.6
2022-2023,RENNES,035,ILLE-ET-VILAINE,0353006C,COLLEGE PRIVE LEONTINE DOLIVET,35051,CESSON SEVIGNE,privé sous contrat,108.0,135.0,27.7
2022-2023,RENNES,035,ILLE-ET-VILAINE,0350033W,COLLEGE LES ORMEAUX,35238,RENNES,public,510.0,133.7,41.3
2022-2023,RENNES,035,ILLE-ET-VILAINE,0350734H,COLLEGE LES CHALAIS,35238,RENNES,public,367.0,82.7,32.8
2022-2023,RENNES,035,ILLE-ET-VILAINE,0350780H,COLLEGE PRIVE IMMACULEE,35278,SAINT GREGOIRE,privé sous contrat,896.0,137.1,24.1
2022-2023,RENNES,035,ILLE-ET-VILAINE,0350963G,COLLEGE DES HAUTES OURMES,35238,RENNES,public,577.0,90.4,35.9
2022-2023,RENNES,035,ILLE-ET-VILAINE,0351638R,COLLEGE ANNE DE BRETAGNE,35238,RENNES,public,766.0,131.4,40.0
2022-2023,RENNES,035,ILLE-ET-VILAINE,0351796M,COLLEGE EMILE ZOLA,35238,RENNES,public,519.0,109.3,40.6
2022-2023,RENNES,035,ILLE-ET-VILAINE,0351906G,COLLEGE BOURGCHEVREUIL,35051,CESSON SEVIGNE,public,684.0,134.0,37.9
