Rentrée scolaire,Académie,Code du département,Département,UAI,Nom de l'établissment,Code INSEE de la commune,Nom de la commune,Secteur,Type de lycée,Effectifs voie GT,Effectifs voie PRO,Effectifs Ensemble GT-PRO,IPS voie GT,IPS voie PRO,IPS Ensemble GT-PRO,Ecart-type de l'IPS voie GT,Ecart-type de l'IPS voie PRO
2022-2023,RENNES,035,ILLE-ET-VILAINE,0350026N,LYCEE GENERAL ET TECHNOLOGIQUE JEAN MACE,35238,RENNES,public,LEGT,965.0,,965.0,129.1,,129.1,38.5,
2022-2023,RENNES,035,ILLE-ET-VILAINE,0350783L,COLLEGE ET LYCEE GENERAL ET TECHNOLOGIQUE PRIVES SAINT MARTIN SAINTE GENEVIEVE,35238,RENNES,privé sous contrat,LEGT,393.0,,393.0,124.7,,124.7,28.2,
2022-2023,RENNES,035,ILLE-ET-VILAINE,0350024L,LYCEE GENERAL EMILE ZOLA,35238,RENNES,public,LEGT,980.0,,980.0,136.0,,136.0,36.3,
2022-2023,RENNES,035,ILLE-ET-VILAINE,0350059Z,LYCEE PROFESSIONNEL BREQUIGNY,35238,RENNES,public,LP,,337.0,337.0,,86.1,86.1,,24.0
2022-2023,RENNES,035,ILLE-ET-VILAINE,0350777E,LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT MARTIN,35238,RENNES,privé sous contrat,LEGT,1324.0,,1324.0,133.4,,133.4,26.3,
2022-2023,RENNES,035,ILLE-ET-VILAINE,0350793X,LYCEE POLYVALENT PRIVE FREDERIC OZANAM,35051,CESSON SEVIGNE,privé sous contrat,LPO,632.0,545.0,1177.0,126.6,114.3,120.9,29.1,30.2
2022-2023,RENNES,035,ILLE-ET-VILAINE,0350795Z,LYCEE POLYVALENT PRIVE DE LA SALLE LYCEE DES METIERS DE LA GESTION ET DU COMMERCE,35238,RENNES,privé sous contrat,LPO,176.0,363.0,539.0,123.9,110.2,114.6,27.3,27.2
2022-2023,RENNES,035,ILLE-ET-VILAINE,0351054F,LYCEE PROFESSIONNEL CHARLES TILLON,35238,RENNES,public,LP,,467.0,467.0,,91.0,91.0,,28.3
2022-2023,RENNES,035,ILLE-ET-VILAINE,0352304P,LYCEE GENERAL ET TECHNOLOGIQUE SEVIGNE,35051,CESSON SEVIGNE,public,LEGT,1078.0,,1078.0,135.1,,135.1,33.4,
2022-2023,RENNES,035,ILLE-ET-VILAINE,0352686E,LYCEE GENERAL ET TECHNOLOGIQUE ANITA CONTI,35047,BRUZ,public,LEGT,929.0,,929.0,122.8,,122.8,34.1,
2022-2023,RENNES,035,ILLE-ET-VILAINE,0352867B,SGT EDUCATION NATIONALE DU LYCEE AGRICOLE THEODORE MONOD,35240,LE RHEU,public,LEGT,524.0,,524.0,125.9,,125.9,32.4,
2022-2023,RENNES,035,ILLE-ET-VILAINE,0350776D,LYCEE POLYVALENT PRIVE SAINT VINCENT PROVIDENCE,35238,RENNES,privé sous contrat,LPO,669.0,37.0,706.0,138.7,100.4,136.7,23.5,25.8
2022-2023,RENNES,035,ILLE-ET-VILAINE,0350797B,LYCEE POLYVALENT PRIVE JEANNE D ARC LYCEE DES METIERS DU TOURISME LYCEE DES METIERS DU SECTEUR SANITAIRE ET DE L INTERVENTION SOCIALE,35238,RENNES,privé sous contrat,LPO,352.0,237.0,589.0,128.2,108.1,120.1,25.9,28.2
2022-2023,RENNES,035,ILLE-ET-VILAINE,0352009U,LYCEE GENERAL ET TECHNOLOGIQUE VICTOR ET HELENE BASCH,35238,RENNES,public,LEGT,1011.0,,1011.0,118.6,,118.6,38.6,
2022-2023,RENNES,035,ILLE-ET-VILAINE,0350028R,LYCEE GENERAL ET TECHNOLOGIQUE BREQUIGNY,35238,RENNES,public,LEGT,2027.0,,2027.0,114.7,,114.7,37.0,
2022-2023,RENNES,035,ILLE-ET-VILAINE,0350029S,LYCEE GENERAL ET TECHNOLOGIQUE JOLIOT CURIE,35238,RENNES,public,LEGT,746.0,,746.0,120.5,,120.5,34.9,
2022-2023,RENNES,035,ILLE-ET-VILAINE,0350032V,LYCEE PROFESSIONNEL LOUIS GUILLOUX LYCEE DES METIERS DE L HOTELLERIE RESTAURATION LYCEE DES METIERS DE LA MODE,35238,RENNES,public,LP,,603.0,603.0,,92.2,92.2,,28.3
