Identifiant,URL canonique,Titre,Description,Description longue,Détail des conditions,Mots clés,Dernière mise à jour,Résumé horaires,Première date - Début,Première date - Fin,Dernière date - Début,Dernière date - Fin,Horaires détaillés,Code d'accessibilité,Accessibilité,Identifiant du lieu,Coordonnées géographiques,Nom du lieu,Adresse,Arrondissement,Code INSEE,Code postal,Ville,Région,Département,Pays,Téléphone du lieu,Site web du lieu,Liens du lieu,Tags du lieu,Description du lieu,Accès / Itinéraire,Lien d'accès en ligne,Age minimum,Age maximum,Catégorie,Nom du pays,Liens additionnels
32187619,https://openagenda.com/ndm/events/la-vie-en-photographie-avec-mathieu-pernot,"La vie en photographie, avec Mathieu Pernot",Événement des Champs Libres,"À partir de ses propres clichés, d’objets  et d’images choisis dans les collections du Musée de Bretagne, le photographe Mathieu Pernot invite les visiteurs à plonger dans l’âge d’or du métier de photographe, entre la fin du 19e siècle et les années 1970. En explorant cette histoire, il interroge ce monde disparu et la vie de celles et ceux qui ont posé devant ces photographes.",,nuitdesmusées,2023-05-13T04:02:31+02:00,"Samedi 13 mai, 15h30, 20h15, 21h30",2023-05-13T15:30:00+02:00,2023-05-13T16:15:00+02:00,2023-05-13T21:30:00+02:00,2023-05-13T22:15:00+02:00,"[{""begin"": ""2023-05-13T15:30:00+02:00"", ""end"": ""2023-05-13T16:15:00+02:00""}, {""begin"": ""2023-05-13T20:15:00+02:00"", ""end"": ""2023-05-13T21:00:00+02:00""}, {""begin"": ""2023-05-13T21:30:00+02:00"", ""end"": ""2023-05-13T22:15:00+02:00""}]",,,15244163,"48.105139, -1.674686",Musée de Bretagne,Les Champs Libres - 10 cours des Alliés - 35000 RENNES,Centre,35238,35000,Rennes,Bretagne,Ille-et-Vilaine,FR,,,,,Musée de Bretagne,,,,,,France (Métropole),
44402163,https://openagenda.com/ndm/events/le-studio-photo,Le studio photo,Événement des Champs Libres,Immortalisez votre portrait en costume et posture du début du 20e siècle dans un décor de la même époque (à quelques détails près).,,nuitdesmusées,2023-05-13T04:02:14+02:00,"Samedi 13 mai, 14h30, 20h00",2023-05-13T14:30:00+02:00,2023-05-13T17:30:00+02:00,2023-05-13T20:00:00+02:00,2023-05-13T23:30:00+02:00,"[{""begin"": ""2023-05-13T14:30:00+02:00"", ""end"": ""2023-05-13T17:30:00+02:00""}, {""begin"": ""2023-05-13T20:00:00+02:00"", ""end"": ""2023-05-13T23:30:00+02:00""}]",,,90140630,"48.105139, -1.674686",Hall,Les Champs Libres - 10 cours des Alliés - 35000 RENNES,Centre,35238,35000,Rennes,Bretagne,Ille-et-Vilaine,FR,,,,,Les Champs Libres,,,,,,France (Métropole),
41147067,https://openagenda.com/ndm/events/visite-flash-antoine-coysevox,Visite flash Antoine Coysevox,Nuit européenne des musées 2023,Découvrez les oeuvres d'Antoine Coysevox dans la collection permanente du musée tout au long de la soirée,gratuit - entrée libre,,2023-05-09T15:36:47+02:00,"Samedi 13 mai, 20h00",2023-05-13T20:00:00+02:00,2023-05-13T23:30:00+02:00,2023-05-13T20:00:00+02:00,2023-05-13T23:30:00+02:00,"[{""begin"": ""2023-05-13T20:00:00+02:00"", ""end"": ""2023-05-13T23:30:00+02:00""}]",,,92374440,"48.109598, -1.674803",Musée des Beaux-Arts,"20 quai Emile Zola, 35000 Rennes",,35238,35000,Rennes,Bretagne,Ille-et-Vilaine,FR,02 23 62 17 45,http://www.mbar.org,,Museum of Arts;Musée de France,"Situé en centre ville, le musée des Beaux-Arts de Rennes présente des collections riches et variées : objets antiques et extra-européens, tableaux du XVIème au XXème siècle (Véronèse, Rubens, La Tour, Sérusier, Picasso, etc) et des sculptures.","Parking : Kléber Métro : République Bus arrêt ""Musée beaux-arts : 4, 6, 40, 64, 67 Bus arrêt ""Lycée Zola"" : 54, 55, 56 Vélo STAR : station avenue Janvier",,,,,France (Métropole),
93625500,https://openagenda.com/ndm/events/visite-flash-cabinet-de-curiosites,Visite flash Cabinet de curiosités,Nuit européenne des musées 2023,Découvrez le cabinet de Christophe Paul de Robien tout au long de la soirée,gratuit - entrée libre,,2023-05-09T15:37:32+02:00,"Samedi 13 mai, 20h30",2023-05-13T20:30:00+02:00,2023-05-13T23:30:00+02:00,2023-05-13T20:30:00+02:00,2023-05-13T23:30:00+02:00,"[{""begin"": ""2023-05-13T20:30:00+02:00"", ""end"": ""2023-05-13T23:30:00+02:00""}]",,,92374440,"48.109598, -1.674803",Musée des Beaux-Arts,"20 quai Emile Zola, 35000 Rennes",,35238,35000,Rennes,Bretagne,Ille-et-Vilaine,FR,02 23 62 17 45,http://www.mbar.org,,Museum of Arts;Musée de France,"Situé en centre ville, le musée des Beaux-Arts de Rennes présente des collections riches et variées : objets antiques et extra-européens, tableaux du XVIème au XXème siècle (Véronèse, Rubens, La Tour, Sérusier, Picasso, etc) et des sculptures.","Parking : Kléber Métro : République Bus arrêt ""Musée beaux-arts : 4, 6, 40, 64, 67 Bus arrêt ""Lycée Zola"" : 54, 55, 56 Vélo STAR : station avenue Janvier",,,,,France (Métropole),
65933728,https://openagenda.com/ndm/events/visite-des-reserves-du-musee-7382729,Visite des réserves du musée,Événement des Champs Libres,"500 000 objets sont conservés dans les sous-sols des Champs Libres. De la réserve des textiles aux arts graphiques, en passant par l’orfèvrerie, découvrez ces espaces habituellement fermés au public.",,nuitdesmusées,2023-05-13T04:02:11+02:00,"Samedi 13 mai, 20h30, 21h30, 22h30",2023-05-13T20:30:00+02:00,2023-05-13T21:10:00+02:00,2023-05-13T22:30:00+02:00,2023-05-13T23:10:00+02:00,"[{""begin"": ""2023-05-13T20:30:00+02:00"", ""end"": ""2023-05-13T21:10:00+02:00""}, {""begin"": ""2023-05-13T21:30:00+02:00"", ""end"": ""2023-05-13T22:10:00+02:00""}, {""begin"": ""2023-05-13T22:30:00+02:00"", ""end"": ""2023-05-13T23:10:00+02:00""}]",,,90140630,"48.105139, -1.674686",Hall,Les Champs Libres - 10 cours des Alliés - 35000 RENNES,Centre,35238,35000,Rennes,Bretagne,Ille-et-Vilaine,FR,,,,,Les Champs Libres,,,,,,France (Métropole),
54320799,https://openagenda.com/ndm/events/atelier-de-conservation-photographique,Atelier de conservation photographique,Événement des Champs Libres,"Comment le musée préserve ses négatifs photographiques ? Pour le savoir, participez à un atelier découverte des techniques de la conservation préventive. À partir de 10 ans (enfants accompagnés).",,nuitdesmusées,2023-05-13T04:02:17+02:00,"Samedi 13 mai, 20h30, 21h30",2023-05-13T20:30:00+02:00,2023-05-13T21:15:00+02:00,2023-05-13T21:30:00+02:00,2023-05-13T22:15:00+02:00,"[{""begin"": ""2023-05-13T20:30:00+02:00"", ""end"": ""2023-05-13T21:15:00+02:00""}, {""begin"": ""2023-05-13T21:30:00+02:00"", ""end"": ""2023-05-13T22:15:00+02:00""}]",,,6449399,"48.105139, -1.674686",Musée de Bretagne - Centre de documentation,Les Champs Libres - 10 cours des Alliés - 35000 RENNES,Centre,35238,35000,Rennes,Bretagne,Ille-et-Vilaine,FR,,,,,Musée de Bretagne,,,,,,France (Métropole),
81047262,https://openagenda.com/ndm/events/visite-des-collections-de-luniversite-de-rennes-campus-beaulieu,Visite des collections de l’Université de Rennes - campus Beaulieu,Nuit européenne des musées 2023,"Dans le cadre de la Nuit européenne des Musées samedi 13 mai 2023, découvrez les collections scientifiques de l’Université de Rennes sur le campus de Beaulieu.<br />Pour découvrir ces collections, nous proposons deux types de visite :<br />- des visites guidées sur réservation obligatoire (durée de la visite : 45min) à 13h30 et 14h45 : la galerie de zoologie et la galerie d'instruments scientifiques<br /><a href=""https://www.billetweb.fr/visites-nuit-des-musees"">https://www.billetweb.fr/visites-nuit-des-musees</a><br />- des visites libres sans commentaire sans réservation dans la limite des places disponibles en continues de 16h à 19h (durée de la visite : à votre guise ! au regard de la file d'attente indépendante de notre volonté) : la galerie de zoologie, la galerie d'instruments scientifiques anciens et contemporains, le musée de géologie, le Breizh Arboretum, le patrimoine artistique : un musée à ciel ouvert.<br />Dans les deux cas, le lieu de rendez-vous se situe à l’accueil (bâtiment 1), campus de Beaulieu, 263 avenue du Général Leclerc, à Rennes. Arrêt de bus : Tournebride (C4, C6), ou métro Beaulieu-Université<br />Pour plus d’information sur les collections de l’Université de Rennes : <a href=""https://culture.univ-rennes1.fr/le-patrimoine-universitaire"">https://culture.univ-rennes1.fr/le-patrimoine-universitaire</a>",,,2023-05-11T13:00:58+02:00,"Samedi 13 mai, 13h30, 14h45, 16h00",2023-05-13T13:30:00+02:00,2023-05-13T14:30:00+02:00,2023-05-13T16:00:00+02:00,2023-05-13T19:00:00+02:00,"[{""begin"": ""2023-05-13T13:30:00+02:00"", ""end"": ""2023-05-13T14:30:00+02:00""}, {""begin"": ""2023-05-13T14:45:00+02:00"", ""end"": ""2023-05-13T15:45:00+02:00""}, {""begin"": ""2023-05-13T16:00:00+02:00"", ""end"": ""2023-05-13T19:00:00+02:00""}]",mi,handicap moteur,91710916,"48.113882, -1.636404",Université de Rennes - campus Beaulieu,"263 avenue du général leclerc, 35 000 rennes",Jeanne d'Arc - Longs Champs - Beaulieu,35238,35042,Rennes,Bretagne,Ille-et-Vilaine,FR,,https://culture.univ-rennes.fr/actualites/visiter-les-collections,,Sciences et techniques;Art moderne et contemporain,,,,,,,France (Métropole),"[{""link"": ""https://www.billetweb.fr/visites-nuit-des-musees""}, {""link"": ""https://culture.univ-rennes1.fr/le-patrimoine-universitaire""}]"
84958785,https://openagenda.com/ndm/events/les-secrets-de-la-restauration-des-photographies,Les secrets de la restauration des photographies,Événement des Champs Libres,"La conservation-restauration de photographies est une activité mystérieuse que l’on confond parfois avec la retouche. Pas d’ordinateur ici, mais des photographies originales, des outils, des protocoles... Pour découvrir le déroulé d’une intervention, Gwenola Furic, conservatrice-restauratrice, réalise devant vous des démonstrations et répond à toutes vos questions. Vous pouvez également apporter une photographie pour des conseils de conservation.",,nuitdesmusées,2023-05-13T04:02:19+02:00,"Samedi 13 mai, 14h00, 20h00",2023-05-13T14:00:00+02:00,2023-05-13T18:00:00+02:00,2023-05-13T20:00:00+02:00,2023-05-13T23:59:00+02:00,"[{""begin"": ""2023-05-13T14:00:00+02:00"", ""end"": ""2023-05-13T18:00:00+02:00""}, {""begin"": ""2023-05-13T20:00:00+02:00"", ""end"": ""2023-05-13T23:59:00+02:00""}]",,,15244163,"48.105139, -1.674686",Musée de Bretagne,Les Champs Libres - 10 cours des Alliés - 35000 RENNES,Centre,35238,35000,Rennes,Bretagne,Ille-et-Vilaine,FR,,,,,Musée de Bretagne,,,,,,France (Métropole),
93607468,https://openagenda.com/ndm/events/quand-les-femmes-font-danser-le-monde-dj-wonderbraz,Quand les femmes font danser le monde - DJ Wonderbraz,Événement des Champs Libres,"Des polyphonies de sons mixés, associés à un kaléidoscope d'images qui n'arrête pas. Wonderbraz nous donne à voir les femmes qui font danser les 5 continents, le poing levé. Haïtiennes, Algériennes, Éthiopiennes, Londoniennes ou Bretonnes, le souffle des mots les propulse, le langage du corps les libère. Danser ! Chanter ! Danser ! Debout. GUERRIERES.Mix : Yuna Le Braz et vidéo : Thierry Salvert",,nuitdesmusées,2023-05-13T04:02:07+02:00,"Samedi 13 mai, 22h30",2023-05-13T22:30:00+02:00,2023-05-13T23:45:00+02:00,2023-05-13T22:30:00+02:00,2023-05-13T23:45:00+02:00,"[{""begin"": ""2023-05-13T22:30:00+02:00"", ""end"": ""2023-05-13T23:45:00+02:00""}]",,,90140630,"48.105139, -1.674686",Hall,Les Champs Libres - 10 cours des Alliés - 35000 RENNES,Centre,35238,35000,Rennes,Bretagne,Ille-et-Vilaine,FR,,,,,Les Champs Libres,,,,,,France (Métropole),
87289116,https://openagenda.com/ndm/events/les-incontournables-du-musee-717464,Les incontournables du musée,Événement des Champs Libres,"Connaissez-vous la déesse du Menez Hom ? Savez-vous pourquoi la monnaie frappée par Anne de Bretagne s’appelle une cadière ? Qu’est-ce que la révolte des Sardinières ? Découverte ou redécouverte de l’exposition permanente du musée par ses objets incontournables. Pour cela, suivez les cœurs.",,nuitdesmusées,2023-05-13T04:02:23+02:00,"Samedi 13 mai, 20h15",2023-05-13T20:15:00+02:00,2023-05-13T22:30:00+02:00,2023-05-13T20:15:00+02:00,2023-05-13T22:30:00+02:00,"[{""begin"": ""2023-05-13T20:15:00+02:00"", ""end"": ""2023-05-13T22:30:00+02:00""}]",,,15244163,"48.105139, -1.674686",Musée de Bretagne,Les Champs Libres - 10 cours des Alliés - 35000 RENNES,Centre,35238,35000,Rennes,Bretagne,Ille-et-Vilaine,FR,,,,,Musée de Bretagne,,,,,,France (Métropole),
