Annee,Capacité théorique de production (GWh/an),Commune,Type de site,Gestionnaire réseau,Type de réseau,Nom du site,Code PCR,Code Commune Courant,ID,Production réelle du site en MWh/an,Production réelle du site en GWh/an,Nom EPCI,Nom Département,Nom Région,Date de mise en service,erreur_annee
2025,5.3628,Pacé,Agricole autonome,GRDF,Distribution,Pacé_SAS LAGO WATT_2018-35-66,GD0277,35210,551,5649.498,5.649498,Rennes Métropole,Ille-et-Vilaine,Bretagne,2021-02-09,true
2025,8.0442,Saint-Gilles,Agricole autonome,GRDF,Distribution,SAINT-GILLES_SAS Metha R3G _2018-35-53,GD0280,35275,421,8892.308,8.892308,Rennes Métropole,Ille-et-Vilaine,Bretagne,2021-02-16,true
2021,15.1946,Chavagne,Agricole autonome,GRDF,Distribution,CHAVAGNE_	SARL Biogaz de la Vilaine_2018-35-39,GD0280,35076,419,1645.107,1.645107,Rennes Métropole,Ille-et-Vilaine,Bretagne,2021-10-12,true
2023,20.1105,Noyal-Châtillon-sur-Seiche,Agricole territorial,GRDF,Distribution,SARL CASTELMETHA_NOYAL CHATILLON SUR SEICHE - 2018-35-29,GD0308,35206,256,9289.35,9.28935,Rennes Métropole,Ille-et-Vilaine,Bretagne,2020-01-28,true
2024,10.2787,Cintré,Agricole autonome,GRDF,Distribution,CINTRE - COLLECTIF CINTRE BIOMETHANE - 2018-35-57,GD0279,35080,455,11130.738,11.130738,Rennes Métropole,Ille-et-Vilaine,Bretagne,2020-08-04,true
2024,8.0442,Saint-Gilles,Agricole autonome,GRDF,Distribution,SAINT-GILLES_SAS Metha R3G _2018-35-53,GD0280,35275,421,8609.951,8.609951,Rennes Métropole,Ille-et-Vilaine,Bretagne,2021-02-16,true
2025,10.2787,Cintré,Agricole autonome,GRDF,Distribution,CINTRE - COLLECTIF CINTRE BIOMETHANE - 2018-35-57,GD0279,35080,455,11114.321,11.114321,Rennes Métropole,Ille-et-Vilaine,Bretagne,2020-08-04,true
2025,20.1105,Noyal-Châtillon-sur-Seiche,Agricole territorial,GRDF,Distribution,SARL CASTELMETHA_NOYAL CHATILLON SUR SEICHE - 2018-35-29,GD0308,35206,256,20686.456,20.686456,Rennes Métropole,Ille-et-Vilaine,Bretagne,2020-01-28,true
2024,20.1105,Noyal-Châtillon-sur-Seiche,Agricole territorial,GRDF,Distribution,SARL CASTELMETHA_NOYAL CHATILLON SUR SEICHE - 2018-35-29,GD0308,35206,256,11408.395,11.408395,Rennes Métropole,Ille-et-Vilaine,Bretagne,2020-01-28,true
2024,5.3628,Pacé,Agricole autonome,GRDF,Distribution,Pacé_SAS LAGO WATT_2018-35-66,GD0277,35210,551,5051.848,5.051848,Rennes Métropole,Ille-et-Vilaine,Bretagne,2021-02-09,true
2024,6.2566,Thorigné-Fouillard,Agricole autonome,GRDF,Distribution,Thorigne Fouillard_SAS Terre Energie_2019-35-111,GD0280,35334,826,6675.909,6.675909,Rennes Métropole,Ille-et-Vilaine,Bretagne,2023-03-09,true
2020,10.2787,Cintré,Agricole autonome,GRDF,Distribution,CINTRE - COLLECTIF CINTRE BIOMETHANE - 2018-35-57,GD0279,35080,455,4226.0,4.226,Rennes Métropole,Ille-et-Vilaine,Bretagne,2020-08-04,true
2021,20.1105,Noyal-Châtillon-sur-Seiche,Agricole territorial,GRDF,Distribution,SARL CASTELMETHA_NOYAL CHATILLON SUR SEICHE - 2018-35-29,GD0308,35206,256,8784.21,8.78421,Rennes Métropole,Ille-et-Vilaine,Bretagne,2020-01-28,true
2021,8.0442,Saint-Gilles,Agricole autonome,GRDF,Distribution,SAINT-GILLES_SAS Metha R3G _2018-35-53,GD0280,35275,421,6662.798,6.662798,Rennes Métropole,Ille-et-Vilaine,Bretagne,2021-02-16,true
2022,10.2787,Cintré,Agricole autonome,GRDF,Distribution,CINTRE - COLLECTIF CINTRE BIOMETHANE - 2018-35-57,GD0279,35080,455,10696.975,10.696975,Rennes Métropole,Ille-et-Vilaine,Bretagne,2020-08-04,true
2023,10.2787,Cintré,Agricole autonome,GRDF,Distribution,CINTRE - COLLECTIF CINTRE BIOMETHANE - 2018-35-57,GD0279,35080,455,10859.226,10.859226,Rennes Métropole,Ille-et-Vilaine,Bretagne,2020-08-04,true
2025,6.2566,Betton,Agricole autonome,GRDF,Distribution,BETTON - SCEA TERREO - 2020-35-126,GD0280,35024,1033,6450.716,6.450716,Rennes Métropole,Ille-et-Vilaine,Bretagne,2023-12-21,true
2025,15.1946,Chavagne,Agricole autonome,GRDF,Distribution,CHAVAGNE_	SARL Biogaz de la Vilaine_2018-35-39,GD0280,35076,419,15178.672,15.178672,Rennes Métropole,Ille-et-Vilaine,Bretagne,2021-10-12,true
2025,6.2566,Thorigné-Fouillard,Agricole autonome,GRDF,Distribution,Thorigne Fouillard_SAS Terre Energie_2019-35-111,GD0280,35334,826,6659.891,6.659891,Rennes Métropole,Ille-et-Vilaine,Bretagne,2023-03-09,true
2021,10.2787,Cintré,Agricole autonome,GRDF,Distribution,CINTRE - COLLECTIF CINTRE BIOMETHANE - 2018-35-57,GD0279,35080,455,10449.809,10.449809,Rennes Métropole,Ille-et-Vilaine,Bretagne,2020-08-04,true
2022,15.1946,Chavagne,Agricole autonome,GRDF,Distribution,CHAVAGNE_	SARL Biogaz de la Vilaine_2018-35-39,GD0280,35076,419,8496.81,8.49681,Rennes Métropole,Ille-et-Vilaine,Bretagne,2021-10-12,true
2022,20.1105,Noyal-Châtillon-sur-Seiche,Agricole territorial,GRDF,Distribution,SARL CASTELMETHA_NOYAL CHATILLON SUR SEICHE - 2018-35-29,GD0308,35206,256,9202.193,9.202193,Rennes Métropole,Ille-et-Vilaine,Bretagne,2020-01-28,true
2022,5.3628,Pacé,Agricole autonome,GRDF,Distribution,Pacé_SAS LAGO WATT_2018-35-66,GD0277,35210,551,4784.636,4.784636,Rennes Métropole,Ille-et-Vilaine,Bretagne,2021-02-09,true
