Session,UAI,Nom de l'établissement,Commune,Code région académique,Région académique,Code académie,Académie,Code département,Département,Secteur,Nb candidats G,Taux de réussite G,VA du taux de réussite G,Nb candidats P,Taux de réussite P,Note à l'écrit G,VA de la note G,Note à l'écrit P,Taux d'accès 6eme 3eme,Part présents 3eme ordinaire total,Part présents 3eme segpa total,Nb mentions AB G,Nb mentions B G,Nb mentions TB G,Nb mentions global G,code_region_insee
2025,0350057X,COLLEGE JACQUES PREVERT,ROMILLE,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,PU,135,89.0,-3.0,,,11.3,-0.1,,99.0,98.0,,29,26,37,92,53
2025,0351638R,COLLEGE ANNE DE BRETAGNE,RENNES,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,PU,205,90.0,-5.0,,,12.1,-0.9,,93.0,98.0,,27,48,95,170,53
2025,0352071L,COLLEGE PRIVE JOSEPHINE-BAKHITA,RENNES,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,PR,22,91.0,,9,89.0,10.3,,9.1,73.0,97.0,,9,5,3,17,53
2025,0352274G,COLLEGE FRANCOISE DOLTO,PACE,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,PU,181,85.0,-7.0,8,88.0,11.7,-0.4,10.3,93.0,99.0,,32,37,72,141,53
2025,0353006C,COLLEGE PRIVE LEONTINE-DOLIVET,CESSON SEVIGNE,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,PR,51,92.0,-4.0,,,13.3,0.3,,98.0,98.0,,5,12,23,40,53
2024,0351852Y,COLLEGE DE FONTENAY,CHARTRES DE BRETAGNE,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,PU,141,95.0,0.0,24,62.0,12.6,0.5,9.2,92.0,100.0,,23,44,58,125,53
2024,0350874K,COLLEGE PRIVE ST YVES,MORDELLES,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,PR,155,95.0,0.0,,,12.5,0.4,,89.0,96.0,,28,38,50,116,53
2024,0352274G,COLLEGE FRANCOISE DOLTO,PACE,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,PU,181,96.0,0.0,9,44.0,12.9,-0.2,8.3,93.0,98.0,,26,51,87,164,53
2024,0350734H,COLLEGE LES CHALAIS,RENNES,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,PU,101,84.0,2.0,14,50.0,10.0,0.1,7.0,78.0,97.0,,20,26,25,71,53
2024,0351851X,COLLEGE LA BINQUENAIS,RENNES,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,PU,115,83.0,3.0,12,67.0,9.4,-0.2,4.9,82.0,94.0,0.0,24,19,26,69,53
2024,0352071L,COLLEGE PRIVE JOSEPHINE-BAKHITA,RENNES,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,PR,35,89.0,,12,75.0,9.6,,9.3,66.0,100.0,,7,5,6,18,53
2024,0350057X,COLLEGE JACQUES PREVERT,ROMILLE,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,PU,122,85.0,-7.0,,,11.7,0.0,,97.0,99.0,,20,29,38,87,53
2024,0350780H,COLLEGE PRIVE IMMACULEE,SAINT GREGOIRE,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,PR,210,98.0,0.0,,,13.8,-0.1,,95.0,100.0,,37,56,98,191,53
2022,0350033W,COLLEGE LES ORMEAUX,RENNES,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,PU,132,96.0,0.0,,,13.3,0.3,,93.0,96.0,,10,36,73,119,53
2022,0350836U,COLLEGE PRIVE ST MARTIN QUARTIER STE GENEVIE,RENNES,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,PR,82,100.0,5.0,,,11.7,0.0,,81.0,99.0,,21,23,31,75,53
2022,0352069J,COLLEGE PRIVE ST VINCENT-PROVIDENCE,RENNES,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,PR,190,99.0,1.0,17,88.0,13.6,0.4,6.1,86.0,96.0,71.0,26,77,76,179,53
2023,0350874K,COLLEGE PRIVE ST YVES,MORDELLES,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,PR,155,100.0,4.0,,,12.8,0.4,,93.0,99.0,,29,54,55,138,53
2023,0352691K,COLLEGE ANDREE RECIPON,ORGERES,03,BRETAGNE,14,RENNES,35,ILLE-ET-VILAINE,PU,109,93.0,-4.0,9,89.0,12.8,-0.6,10.1,96.0,98.0,,13,21,55,89,53
