SIREN,Nom ou raison sociale de l'entreprise,Famille juridique de l'entreprise,Code postal,Libellé de la commune de l'établissement,Code du département de l'établissement,Département de l'établissement,Région de l'établissement
923410468,LES JARDINS FAMILIAUX LANDE AMAURY,Associations,35510,CESSON-SEVIGNE,35,ILLE ET VILAINE,BRETAGNE
519097471,PEPS ACEPP 35,Associations,35520,LA CHAPELLE-DES-FOUGERETZ,35,ILLE ET VILAINE,BRETAGNE
524965399,FOYER SOCIO-EDUCATIF DU COLLEGE LE LANDRY,Associations,35200,RENNES,35,ILLE ET VILAINE,BRETAGNE
903754448,LES PREMIERES BRETAGNE,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
922883145,BDE MIASHS PYSTASHS,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
408255388,DEVELOP RECHERCHE GENIE BIO ET MEDICAL,Associations,35700,RENNES,35,ILLE ET VILAINE,BRETAGNE
429568272,ASS REGIONALE INTERPROFES PORCINE,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
888204914,BONSOIR TECHNO,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
751470733,LA COMPAGNIE DU FOMENTEUR,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
888208022,LES ESCALES SONORES,Associations,35700,RENNES,35,ILLE ET VILAINE,BRETAGNE
350029732,ASSOC DES BEBES DAUPHINS RENNAIS,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
798723490,ASSOCIATION CLINIQUE ET RECHERCHE IO-RENNES (ACR IO-RENNES),Associations,35170,BRUZ,35,ILLE ET VILAINE,BRETAGNE
794173930,SPORTS ET VIOLENCE,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
531573103,ASSOC POSTURE ET EQUILIBRE,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
514416932,ASSOCIATION ORGERES MULTIMEDIA,Associations,35230,ORGERES,35,ILLE ET VILAINE,BRETAGNE
449854116,ASS RENNES HEBERGEMENT,Associations,35200,RENNES,35,ILLE ET VILAINE,BRETAGNE
790558738,UNION SPORTIVE D ORGERES FOOTBALL,Associations,35230,ORGERES,35,ILLE ET VILAINE,BRETAGNE
481780815,RELAIS ENVOL 35-AUTISME 35,Associations,35690,ACIGNE,35,ILLE ET VILAINE,BRETAGNE
812634665,LES AMIS D'IVINE,Associations,35410,NOUVOITOU,35,ILLE ET VILAINE,BRETAGNE
829593409,SENTIMENTALE FOULE,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
381729052,THERAPIE SYSTEME FAMILLE RESO 35,Associations,35200,RENNES,35,ILLE ET VILAINE,BRETAGNE
902596006,UNION SPORTIVE NOYAL CHATILLON BASKET,Associations,35230,NOYAL-CHATILLON-SUR-SEICHE,35,ILLE ET VILAINE,BRETAGNE
902598192,LA POUPEE QUI BRULE,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
439527821,THE LITTLE MONSTERS,Associations,35230,SAINT-ERBLON,35,ILLE ET VILAINE,BRETAGNE
819556564,HECTORES,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
895076933,ASSOCIATION DE PREFIGURATION BRETAGNE TIERS-LIEUX,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
409299815,ARTS VIVANTS,Associations,35190,BECHEREL,35,ILLE ET VILAINE,BRETAGNE
509169736,ADRASEC 35,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
400913109,ASS SANS TITRE,Associations,35700,RENNES,35,ILLE ET VILAINE,BRETAGNE
408295020,ASSOCIATION LES LANTERNES,Associations,35700,RENNES,35,ILLE ET VILAINE,BRETAGNE
812014645,RALLYE JACQUES CARTIER,Associations,35760,SAINT-GREGOIRE,35,ILLE ET VILAINE,BRETAGNE
814647095,SO FETE FORAINE,Associations,35760,SAINT-GREGOIRE,35,ILLE ET VILAINE,BRETAGNE
811228113,ASSOCIATION COMMUNALE DE CHASSE AGREEE DE SAINT ERBLON,Associations,35230,SAINT-ERBLON,35,ILLE ET VILAINE,BRETAGNE
839270386,OCTAVE ET PETRONILLE,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
811228147,AU COIN D'MA RUE,Associations,35760,SAINT-GREGOIRE,35,ILLE ET VILAINE,BRETAGNE
