Rentrée scolaire,UAI,patronyme,adresse_condensee,code_postal,commune_d_implantation,commune_d_implantation_lib_l,commune_et_arrondissement,commune_et_arrondissement_lib_l,secteur_d_enseignement_lib_l,mef_bcp_11,mef_bcp_11_lib_l,mef_bcp_6,mef_bcp_6_lib_l,nombre_d_eleves_total,nombre_d_eleves_filles,nombre_d_eleves_garcons
2020,0350009V,ALPHONSE PELLE,ALPHONSE PELLE RUE A. PELLE,35120,35095,DOL-DE-BRETAGNE,35095,DOL-DE-BRETAGNE,SECTEUR PUBLIC,23210023440,1CAP2  CONSTRUCTEUR BOIS,232100,CAP EN 2 ANS : 1ERE ANNEE,12,0,12
2020,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23830031202,TLEPRO COMMERCE,238300,BAC PRO 3 ANS : TERM PRO (OU 3E ANNEE),27,10,17
2020,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23810022107,2NDPRO MET. DE L'ALIMENTAT. 2NDE COMMUNE,238100,BAC PRO 3 ANS : 2NDE PRO (OU 1ERE ANNEE),24,17,7
2020,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23220022129,2CAP2  AGENT POLYVALENT DE RESTAURATION,232200,CAP EN 2 ANS : 2EME ANNEE,11,6,5
2020,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23210033412,1CAP2  COMMER.SERV.HOTEL-CAFE-RESTAURANT,232100,CAP EN 2 ANS : 1ERE ANNEE,12,7,5
2020,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23210022141,1CAP2  PATISSIER,232100,CAP EN 2 ANS : 1ERE ANNEE,12,5,7
2020,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23820024203,1ERPRO METIERS DE LA MODE - VÊTEMENT,238200,BAC PRO 3 ANS : 1ERE PRO (OU 2EME ANNEE),48,45,3
2020,0350032V,LOUIS GUILLOUX,GUILLOUX AV BUTTES DE COESMES,35700,35238,RENNES,35238,RENNES,SECTEUR PUBLIC,23820033403,1ERPRO COMMERC. SERVICES EN RESTAURATION,238200,BAC PRO 3 ANS : 1ERE PRO (OU 2EME ANNEE),24,11,13
2020,0350050P,BEL AIR,BEL AIR RUE RENAN,35190,35337,TINTENIAC,35337,TINTENIAC,SECTEUR PUBLIC,23830031106,TLEPRO LOGISTIQUE,238300,BAC PRO 3 ANS : TERM PRO (OU 3E ANNEE),21,2,19
2020,0350050P,BEL AIR,BEL AIR RUE RENAN,35190,35337,TINTENIAC,35337,TINTENIAC,SECTEUR PUBLIC,23830025408,TLEPRO REPARATION DES CARROSSERIES,238300,BAC PRO 3 ANS : TERM PRO (OU 3E ANNEE),12,0,12
