code_geo,nb_ventes_maison,moy_prix_m2_maison,med_prix_m2_maison,nb_ventes_appartement,moy_prix_m2_appartement,med_prix_m2_appartement,nb_ventes_local,moy_prix_m2_local,med_prix_m2_local,nb_ventes_apt_maison,moy_prix_m2_apt_maison,med_prix_m2_apt_maison,annee_mois,libelle_geo,code_parent,echelle_geo
30258,10,2337,2268,7,1709,1512,,,,17,2079,1832,2021-01,Saint-Gilles,243000643,commune
30258,11,2040,2227,4,1784,1872,,,,15,1971,2227,2021-02,Saint-Gilles,243000643,commune
30258,10,1835,1901,4,1531,1477,,,,14,1748,1817,2021-03,Saint-Gilles,243000643,commune
30258,12,2126,2061,5,1860,1511,,,,17,2048,2038,2021-04,Saint-Gilles,243000643,commune
30258,11,1646,1791,7,1780,1778,1,1500,1500,18,1698,1784,2021-05,Saint-Gilles,243000643,commune
30258,23,2014,1842,6,1553,1424,1,565,565,29,1918,1800,2021-06,Saint-Gilles,243000643,commune
30258,15,2191,2172,7,1413,1472,,,,22,1943,1710,2021-07,Saint-Gilles,243000643,commune
30258,10,2070,1994,3,1336,1477,,,,13,1901,1750,2021-08,Saint-Gilles,243000643,commune
30258,9,2208,2006,1,2045,2045,,,,10,2192,2026,2021-09,Saint-Gilles,243000643,commune
30258,10,5530,2846,3,1416,1533,1,575,575,13,4581,2500,2021-10,Saint-Gilles,243000643,commune
30258,9,2419,2464,1,1407,1407,,,,10,2318,2425,2021-11,Saint-Gilles,243000643,commune
30258,16,2189,2079,1,3168,3168,1,530,530,17,2246,2092,2021-12,Saint-Gilles,243000643,commune
35001,1,2000,2000,,,,,,,1,2000,2000,2021-02,Acigne,243500139,commune
35001,6,2901,2913,2,2585,2585,,,,8,2822,2822,2021-03,Acigne,243500139,commune
35001,7,2824,2697,5,2912,2958,,,,12,2860,2942,2021-04,Acigne,243500139,commune
35001,3,3393,3060,,,,1,2449,2449,3,3393,3060,2021-05,Acigne,243500139,commune
35001,9,2805,2801,2,2749,2749,1,2411,2411,11,2795,2800,2021-06,Acigne,243500139,commune
35001,7,3188,3038,3,2946,2929,1,884,884,10,3115,2982,2021-07,Acigne,243500139,commune
35001,4,2975,2774,3,3136,3345,,,,7,3044,3048,2021-08,Acigne,243500139,commune
35001,11,2873,3056,4,3186,3161,,,,15,2957,3077,2021-09,Acigne,243500139,commune
35001,6,2662,2950,5,3118,3125,,,,11,2869,3041,2021-10,Acigne,243500139,commune
35001,4,2884,2955,2,3000,3000,,,,6,2923,2955,2021-11,Acigne,243500139,commune
35001,6,3333,3249,6,3179,3149,,,,12,3256,3249,2021-12,Acigne,243500139,commune
35022,1,1376,1376,,,,1,333,333,1,1376,1376,2021-02,Becherel,243500139,commune
35022,1,833,833,,,,,,,1,833,833,2021-03,Becherel,243500139,commune
35022,1,1481,1481,,,,,,,1,1481,1481,2021-04,Becherel,243500139,commune
35022,2,2396,2396,,,,,,,2,2396,2396,2021-09,Becherel,243500139,commune
35022,1,1792,1792,1,1739,1739,,,,2,1765,1765,2021-10,Becherel,243500139,commune
35022,1,1170,1170,,,,,,,1,1170,1170,2021-12,Becherel,243500139,commune
