id,commune,zonage
30258,Saint-Gilles,B2
35001,Acigné,B1
35022,Bécherel,C
35024,Betton,B1
35032,Bourgbarré,B2
35039,Brécé,B2
35047,Bruz,B1
35051,Cesson-Sévigné,B1
35055,Chantepie,B1
35058,La Chapelle-Chaussée,C
35059,La Chapelle-des-Fougeretz,B1
35065,La Chapelle-Thouarault,B2
35066,Chartres-de-Bretagne,B1
35076,Chavagne,B1
35079,Chevaigné,B1
35080,Cintré,B2
35081,Clayes,B2
35088,Corps-Nuds,B2
35120,Gévezé,B1
35131,L'Hermitage,B1
35139,Laillé,B2
35144,Langan,C
35180,Miniac-sous-Bécherel,C
35189,Montgermont,B1
35196,Mordelles,B1
35204,Nouvoitou,B2
35206,Noyal-Châtillon-sur-Seiche,B1
35208,Orgères,B1
35210,Pacé,B1
35216,Parthenay-de-Bretagne,B2
35238,Rennes,B1
35240,Le Rheu,B1
35245,Romillé,C
35250,Saint-Armel,B2
35266,Saint-Erblon,B1
35275,Saint-Gilles,B1
35278,Saint-Grégoire,B1
35281,Saint-Jacques-de-la-Lande,B1
35315,Saint-Sulpice-la-Forêt,B2
35334,Thorigné-Fouillard,B1
35351,Le Verger,B2
35352,Vern-sur-Seiche,B1
35353,Vezin-le-Coquet,B1
35363,Pont-Péan,B1
36196,Saint-Gilles,C
50483,Saint-Gilles,C
51484,Saint-Gilles,C
53042,Brecé,C
53214,Saint-Erblon,C
56205,Saint-Armel,B2
61317,Orgères,C
61321,Pacé,C
71425,Saint-Gilles,C
81253,Saint-Grégoire,C
