Identifiant,URL,Titre,Description,Description longue,Détail des conditions,Mots clés,Dernière mise à jour,Résumé horaires,Première date - Début,Première date - Fin,Dernière date - Début,Dernière date - Fin,Horaires détaillés,Code d'accessibilité,Accessibilité,Identifiant du lieu,Coordonnées géographiques,Nom du lieu,Adresse,Arrondissement,Code INSEE,Code postal,Ville,Région,Département,Site web du lieu,Liens du lieu,Tags du lieu,Description du lieu,Accès / Itinéraire,Lien d'accès en ligne,Age minimum,Age maximum,Agenda d'origine (titre),Agenda d'origine (uid)
33580412,https://openagenda.com/jep/events/visites-guidees-des-collections-de-luniversite-de-rennes-campus-beaulieu,Visites guidées des collections de l'Université de Rennes (campus Beaulieu),Journées européennes du patrimoine 2023,"<p>Dans le cadre de la Journée européenne du Patrimoine, venez découvrir les collections scientifiques, techniques et artistiques de l’Université de Rennes. Constituées de la Révolution Française à nos jours, elles constituent l’une des plus belles collections universitaires de France et sont encore utilisées aujourd'hui pour l'enseignement et la recherche.</p>
<p></p>
<p>Pour découvrir ces collections, nous proposons deux types de visite :</p>
<p></p>
<p>- des <strong>visites guidées sur réservation obligatoire</strong> (durée de la visite : 45min) à 13h30 et 14h45 : la galerie de zoologie, la galerie d'instruments scientifiques anciens et contemporains, les peintures de Mathurin Méheut et Yvonne Jean-Haffen<br />Réservation : <a href=""https://www.billetweb.fr/visites-journee-du-patrimoine-2023""><a href=""https://www.billetweb.fr/visites-journee-du-patrimoine-2023"">https://www.billetweb.fr/visites-journee-du-patrimoine-2023</a></a></p>
<p></p>
<p>- des visites libres sans commentaire sans réservation dans la limite des places disponibles en continues de 16h à 19h (durée de la visite : à votre guise ! au regard de la file d'attente indépendante de notre volonté) : la galerie de zoologie, la galerie d'instruments scientifiques anciens et contemporains, le musée de géologie et les peintures de Mathurin Méheut et Yvonne Jean-Haffen, le Breizh Arboretum, le patrimoine artistique : un musée à ciel ouvert.</p>
<p></p>
<p><em>Dans les deux cas, le lieu de rendez-vous se situe à l’accueil (bâtiment 1), campus de Beaulieu, 263 avenue du Général Leclerc, 35 000 Rennes.</em><br /><em>Métro B : arrêt Beaulieu / Université ; Bus C4, C6 : arrêt Tournebride.</em><br /><em>Pour plus d’information sur les collections de l’Université de Rennes :<br />_[</em><a href=""https://culture.univ-rennes.fr/le-patrimoine-universitaire"">https://culture.univ-rennes.fr/le-patrimoine-universitaire_</a>](<a href=""https://culture.univ-rennes.fr/le-patrimoine-universitaire_%5D(https://culture.univ-rennes.fr/le-patrimoine-universitaire)"">https://culture.univ-rennes.fr/le-patrimoine-universitaire_](https://culture.univ-rennes.fr/le-patrimoine-universitaire)</a>)</p>",Visite guidée sur réservation obligatoire,,2023-09-23T17:14:40+02:00,"Samedi 16 septembre, 13h30, 14h45",2023-09-16T13:30:00+02:00,2023-09-16T14:30:00+02:00,2023-09-16T14:45:00+02:00,2023-09-16T15:45:00+02:00,"[{""begin"": ""2023-09-16T13:30:00+02:00"", ""end"": ""2023-09-16T14:30:00+02:00""}, {""begin"": ""2023-09-16T14:45:00+02:00"", ""end"": ""2023-09-16T15:45:00+02:00""}]",mi,handicap moteur,40917856,"48.1224, -1.63864",Université de Rennes - Campus de Baulieu,"Campus de Beaulieu 263, avenue du Général Leclerc,35000, Rennes",Quartiers Nord-Est,35238,35000,Rennes,Bretagne,Ille-et-Vilaine,https://culture.univ-rennes.fr/actualites/visiter-les-collections,,"Édifice scolaire et éducatif;Monument historique;Archives;Espace naturel, parc, jardin;Musée, salle d'exposition;Lieu de spectacles, sports et loisirs",,"Métro B : arrêt Beaulieu / Université ; Bus C4, C6 : arrêt Tournebride./ Le lieu de rendez-vous est à l'accueil de l'université, bâtiment 1 puis suivre le fléchage. Si vous venez en voiture, le parking de l'entrée principale sera ouvert (face au restaurant ""le Tournebride"").",,,,Journées européennes du patrimoine 2023 : Bretagne,3301657
56031978,https://openagenda.com/jep/events/4383610,Rallye au cœur de la cité des cheminots Sainte-Thérèse,Journées européennes du patrimoine 2023,"<p>La cité-jardin Sainte-Thérèse de 1946, signalée patrimoine d’intérêt local trois étoiles au Plan local d’Urbanisme Intercommunal (PLUi) de la Métropole de Rennes est au cœur d’un vaste projet de réhabilitation.<br />Les cinquante maisons individuelles vont se transformer en 93 logements de typologies variées.<br />Le projet des architectes propose d’investir les combles des maisons, de recomposer l’espace intérieur et d’intervenir en façade sans isolation par l’extérieur pour conserver l’allure générale et notamment le schiste violet si caractéristique de la région.<br />Quatre maisons neuves en structure bois et paille viendront compléter le projet.<br />Pour comprendre le passé et le futur de cette cité cheminote, les enfants sont invités à un jeu de piste où ils doivent faire preuve d'attention et d'observation à chaque étape du parcours pour comprendre l’histoire architecturale passée et future de ce site.</p>",Un support pédagogique est prévu pour les élèves.,,2023-09-23T17:22:42+02:00,"Vendredi 15 septembre, 09h30, 14h00",2023-09-15T09:30:00+02:00,2023-09-15T11:30:00+02:00,2023-09-15T14:00:00+02:00,2023-09-15T16:00:00+02:00,"[{""begin"": ""2023-09-15T09:30:00+02:00"", ""end"": ""2023-09-15T11:30:00+02:00""}, {""begin"": ""2023-09-15T14:00:00+02:00"", ""end"": ""2023-09-15T16:00:00+02:00""}]",,,51484410,"48.093144, -1.666652",Résidence Sainte-Thérèse,"Place Bir Hakeim, 35000, Rennes",Sud-Gare,35238,35200,Rennes,Bretagne,Ille-et-Vilaine,,https://patrimoine.bzh/gertrude-diffusion/dossier/cite-jardin-dite-des-cheminots-22-a-44-boulevard-emile-combes-1-a-11-2-a-12-place-bir-hakeim-2-a-8-1-a-5-rue-henri-bannetel-2-a-20-1-a-13-rue-andre-rouault-rennes/d00456c0-693d-49d8-b2b7-9279f42c7c25,Urbanisme et espaces aménagés,,,,,,Journées européennes du patrimoine 2023 : Bretagne,3301657
30191095,https://openagenda.com/jep/events/collections-sorties-de-reserves-7108981,Collections sorties de réserves,Événement des Champs Libres,"<p>Autour de quelques objets sortis des réserves, Céline Chanas conservatrice et directrice du Musée de Bretagne jette un coup de projecteur sur la Bretagne du 20ème siècle à nos jours.</p>",,jemp,2023-09-23T17:13:47+02:00,"Samedi 16 septembre, 14h30, 15h30",2023-09-16T14:30:00+02:00,2023-09-16T15:00:00+02:00,2023-09-16T15:30:00+02:00,2023-09-16T16:00:00+02:00,"[{""begin"": ""2023-09-16T14:30:00+02:00"", ""end"": ""2023-09-16T15:00:00+02:00""}, {""begin"": ""2023-09-16T15:30:00+02:00"", ""end"": ""2023-09-16T16:00:00+02:00""}]",,,31093505,"48.105118, -1.674703",Les Champs Libres,"10, cours des Alliés, 35000, Rennes",,35238,35000,Rennes,Bretagne,Ille-et-Vilaine,http://www.leschampslibres.fr/,https://www.facebook.com/museebretagne/;https://twitter.com/museedebretagne;https://www.instagram.com/museedebretagne/;https://www.musee-bretagne.fr/expositions-et-evenements/evenements/journees-europeennes-du-patrimoine/,"Musée, salle d'exposition","Structure culturelle hybride, les Champs Libres regroupent la Bibliothèque de Rennes Métropole, le musée de Bretagne, la salle de conférences Hubert Curien et la salle d'expositions Anita Conti, et l'Espace des sciences.

Le musée de Bretagne offre un parcours de visite sur plus de 2000 m² et plusieurs expositions temporaires par an. 
Musée d'histoire et de société, il constitue une porte d'entrée indispensable et passionnante pour comprendre la Bretagne d'aujourd'hui. Bretons d'ici et d'ailleurs, curieux de passage, amoureux de la Bretagne, chacun peut y découvrir les traces d'un passé, trouver des résonances avec nos sociétés contemporaines, comprendre intimement notre région : le musée de Bretagne est un miroir que la Bretagne s'offre à elle-même et tend au monde.",,,,,Journées européennes du patrimoine 2023 : Bretagne,3301657
53783139,https://openagenda.com/jep/events/lenvers-du-decor-9432525,L'envers du décor,Journées européennes du patrimoine 2023,"<p>Venez découvrir les coulisses du bâtiment des Archives de Rennes, les différentes facettes du métier d'archiviste et quelques documents remarquables.</p>","Jauge limitée. Inscription sur place, dans la limite des places disponibles.",,2023-09-23T16:37:55+02:00,"Dimanche 17 septembre, 10h00, 12h00, 13h00, 14h00, 15h00, 16h00",2023-09-17T10:00:00+02:00,2023-09-17T11:00:00+02:00,2023-09-17T16:00:00+02:00,2023-09-17T17:00:00+02:00,"[{""begin"": ""2023-09-17T10:00:00+02:00"", ""end"": ""2023-09-17T11:00:00+02:00""}, {""begin"": ""2023-09-17T12:00:00+02:00"", ""end"": ""2023-09-17T13:00:00+02:00""}, {""begin"": ""2023-09-17T13:00:00+02:00"", ""end"": ""2023-09-17T14:00:00+02:00""}, {""begin"": ""2023-09-17T14:00:00+02:00"", ""end"": ""2023-09-17T15:00:00+02:00""}, {""begin"": ""2023-09-17T15:00:00+02:00"", ""end"": ""2023-09-17T16:00:00+02:00""}, {""begin"": ""2023-09-17T16:00:00+02:00"", ""end"": ""2023-09-17T17:00:00+02:00""}]",mi,handicap moteur,76399901,"48.119634, -1.670999",Archives de Rennes,"18, avenue Jules-Ferry, 35708, Rennes",Thabor - Saint-Hélier - Alphonse Guérin,35238,35708,Rennes,Bretagne,Ille-et-Vilaine,https://www.archives.rennes.fr/,https://twitter.com/ArchivesRennes,Archives,"Les Archives de Rennes ont pour mission de conseiller les services de la Ville de Rennes, du centre communal d'action sociale et de Rennes Métropole dans la gestion, l'organisation et le partage de leurs documents papiers et électroniques.",Privilégiez les mobilités douces pour vous déplacer jusqu'aux Archives de Rennes.,,,99,Journées européennes du patrimoine 2023 : Bretagne,3301657
6081766,https://openagenda.com/jep/events/demonstration-participative-de-gouren-lutte-bretonne,"Démonstration participative de Gouren, lutte bretonne","Présentation et démonstration participative de Gouren, lutte bretonne animée par la Fédération de Gouren","<p>D'origine celte, pratiqué depuis des siècles, le Gouren ou la "" Lutte Bretonne"" est la lutte traditionnelle de Bretagne. Il est reconnu par le ministère de la Culture comme patrimoine culturel immatériel de la France. Aujourd'hui rénové, codifié et organisé comme un sport moderne, le Gouren véhicule des valeurs proches d'autres arts martiaux. Sa tenue, ses règles, son vocabulaire en font un sport traditionnel breton aux origines aristocratiques qui a su se démocratiser au cours de son histoire.<br />Pratiqué dans toute la Bretagne et au delà, son épicentre se situe à Ti Ar Gouren, petit centre de stages construit en 1984 par le PNRA (Parc Naturel Régional d’Armorique). Agrandi en 2007, par la <a href=""https://www.gouren.bzh/"">Fédération de Gouren</a> ses activités ont depuis pris les dimensions de celle d'un centre régional du Gouren.<br />Plusieurs animateurs professionnels et quelques bénévoles interviennent en milieu scolaire pour faire découvrir le Gouren au plus grand nombre.<br />Des compétitions sont régulièrement organisées. La saison sportive du Gouren s’étale sur deux temps : la saison d’hiver, de novembre à mai, comprend les stages de formations et une trentaine de compétitions en salles sur pallennoù, et la saison d’été, de juin à août, connaît les tournois et exhibitions en plein air, en général sur la traditionnelle piste de sciure de bois, chaque week-end et souvent dans le cadre de fêtes et festivals.<br />La présentation de l'après midi du 16 septembre après-midi se déroulera sur tapis installés dans le jardin de l'hôtel de Blossac.</p>","Présentation de ce sport inscrit au patrimoine immatériel de la France, démonstration, et possibilité de participation.",,2023-09-23T15:32:54+02:00,"Samedi 16 septembre, 14h00",2023-09-16T14:00:00+02:00,2023-09-16T18:00:00+02:00,2023-09-16T14:00:00+02:00,2023-09-16T18:00:00+02:00,"[{""begin"": ""2023-09-16T14:00:00+02:00"", ""end"": ""2023-09-16T18:00:00+02:00""}]",,,52357780,"48.111464, -1.682024",Hôtel de Blossac - Direction Régionale des Affaires Culturelles de Bretagne (DRAC),"DRAC Bretagne - 6, rue  du Chapitre CS  24405, Rennes, 35044",Quartiers Centre,35238,35000,Rennes,Bretagne,Ille-et-Vilaine,http://www.culture.gouv.fr/Regions/Drac-Bretagne,,"Château, hôtel urbain, palais, manoir;Monument historique","L'hôtel fut construit à compter de 1728 à la suite de l'incendie de Rennes de 1720, sur un dessin supposé de Jacques Gabriel.
Il présente une architecture classique unique en Bretagne, notamment pour sa superficie, la taille de son bâti, l'assemblage architectural de plusieurs bâtiments et son escalier d'honneur.
D'abord résidence de la famille de parlementaires La Bourdonnaye, comtes de Blossac, l'hôtel est loué de 1732 à 1789, pour devenir la résidence du gouverneur de la province de Bretagne.
Ségmenté en plusieurs logements de location de la révolution au XXème siècle, l'hôtel retrouve son intégrité à la suite de plusieurs campagnes de travaux de restauration et devient en 1977 le siège de la direction régionale des affaires culturelles de Bretagne (DRAC), service déconcentré du ministère de la culture.",,,,,Journées européennes du patrimoine 2023 : Bretagne,3301657
23605836,https://openagenda.com/jep/events/visite-guidee-de-linstitut-agro-campus-de-rennes,"Visite guidée de l'Institut Agro, campus de Rennes","Œuvre de l’architecte Jean-Marie Laloy, le bâtiment de cette école d’ingénieurs (1896) évoque les villas par ses matériaux, sa grille, ses palmiers. Elle abrite l’une des bibliothèques patrimon...","<p>Œuvre de l’architecte Jean-Marie Laloy, le bâtiment de cette école d’ingénieurs (1896) évoque les villas par ses matériaux, sa grille, ses palmiers. Elle abrite l’une des bibliothèques patrimoniales les plus riches de France dans le domaine agronomique.</p>",25 participants par créneau. 4 visites de 45 minutes,,2023-09-15T11:51:40+02:00,"Samedi 16 septembre, 13h30, 14h30, 15h30, 16h30",2023-09-16T13:30:00+02:00,2023-09-16T14:15:00+02:00,2023-09-16T16:30:00+02:00,2023-09-16T17:15:00+02:00,"[{""begin"": ""2023-09-16T13:30:00+02:00"", ""end"": ""2023-09-16T14:15:00+02:00""}, {""begin"": ""2023-09-16T14:30:00+02:00"", ""end"": ""2023-09-16T15:15:00+02:00""}, {""begin"": ""2023-09-16T15:30:00+02:00"", ""end"": ""2023-09-16T16:15:00+02:00""}, {""begin"": ""2023-09-16T16:30:00+02:00"", ""end"": ""2023-09-16T17:15:00+02:00""}]",mi,handicap moteur,57962873,"48.113216, -1.707757","Institut Agro Rennes-Angers, campus de Rennes","65 rue de Saint-Brieuc, 35043, Rennes",Bourg l'Évesque - La Touche - Moulin du Comte,35238,35043,Rennes,Bretagne,Ille-et-Vilaine,https://www.institut-agro-rennes-angers.fr,,Ouverture exceptionnelle;Monument historique;Édifice scolaire et éducatif,"Sur le campus de Rennes, l'Institut Agro Rennes-Angers est le cœur d'un vaste et puissant pôle d’enseignement et de recherche agronomique multidisciplinaire implanté dès 1896.
Thématiques de formation, de recherche et d'expertise Alimentation, aliment et santé / Biomathématiques / Écologie, environnement, territoires / Économie, gestion / Mer et littoral / Sciences et productions animales / Sciences et productions végétales / Sciences du sol","Bus C4, arrêt Marbeuf ou n°53, arrêt Agrocampus",,,,Journées européennes du patrimoine 2023 : Bretagne,3301657
70339160,https://openagenda.com/jep/events/decouverte-du-matrimoine-local,Découverte du matrimoine local,Journées européennes du patrimoine 2023,"<p>Cette année, les JEP deviennent les JEMP !<br />Le Département a souhaité mettre en valeur le matrimoine local à partir de cette édition 2023. Ainsi les Journées Européennes du Patrimoine s’appellent désormais les Journées Européennes du Matrimoine et du Patrimoine.</p>
<p></p>
<ul>
<li><strong>Je n’ai jamais vu plus beau visage que sa voix</strong></li>
</ul>
<p></p>
<p>Aperçu de la première étape du travail de création du collectif Micro-Sillons qui s’est donné pour ambition de recomposer les archives sonores d'Angèle Vannier, poétesse et femme de radio qui a passé la plus grande partie de sa vie à Bazouges-la-Pérouse.<br /><em>En libre accès et en continu – salle du service éducatif</em></p>
<p></p>
<ul>
<li><strong>Lectures musicales d’autrices bretonnes oubliées</strong></li>
</ul>
<p></p>
<p>La fédération des cafés librairies, Camille Kerdellant et Rozenn Fournier de la Cie KF et le musicien Alain Philippe vous convient à des lectures issues du matrimoine breton.<br /><em>Le dimanche 17 septembre 2023 à 14h30 et à 16h (lecture en LSF) - salle du service éducatif</em></p>",Programme détaillé des animations proposées sur archives.ille-et-vilaine.fr,,2023-09-19T12:47:58+02:00,16 et 17 septembre,2023-09-16T13:30:00+02:00,2023-09-16T18:00:00+02:00,2023-09-17T13:30:00+02:00,2023-09-17T18:00:00+02:00,"[{""begin"": ""2023-09-16T13:30:00+02:00"", ""end"": ""2023-09-16T18:00:00+02:00""}, {""begin"": ""2023-09-17T13:30:00+02:00"", ""end"": ""2023-09-17T18:00:00+02:00""}]",hi;mi,"handicap auditif,handicap moteur",78599250,"48.12907, -1.69268",Archives Départementales d'Ille et Vilaine,"1 rue Jacques Léonard, 35000, Rennes",Quartiers Nord-Ouest,35238,35000,Rennes,Bretagne,Ille-et-Vilaine,http://archives.ille-et-vilaine.fr/fr,https://www.facebook.com/archives35/,Archives,,,,,,Journées européennes du patrimoine 2023 : Bretagne,3301657
29200084,https://openagenda.com/jep/events/visite-chefs-doeuvre-en-anecdotes,Visite Chefs-d’œuvre en anecdotes,Journées européennes du patrimoine 2023,"<p>Chefs-d’œuvre en anecdotes</p>
<p></p>
<p>Venez découvrir ou re-découvrir les chefs-d’œuvre du musée à travers des anecdotes</p>",,,2023-09-19T12:50:20+02:00,16 et 17 septembre,2023-09-16T11:00:00+02:00,2023-09-16T11:30:00+02:00,2023-09-17T16:00:00+02:00,2023-09-17T16:30:00+02:00,"[{""begin"": ""2023-09-16T11:00:00+02:00"", ""end"": ""2023-09-16T11:30:00+02:00""}, {""begin"": ""2023-09-17T14:30:00+02:00"", ""end"": ""2023-09-17T15:00:00+02:00""}, {""begin"": ""2023-09-17T16:00:00+02:00"", ""end"": ""2023-09-17T16:30:00+02:00""}]",,,8034754,"48.10987, -1.67549",Musée des Beaux-Arts,"20, Quai Émile Zola, 35000 Rennes",Quartiers Centre,35238,35000,Rennes,Bretagne,Ille-et-Vilaine,http://www.mbar.org,https://mba.rennes.fr/fichier/rte/PROG_septembre2018.pdf,"Musée, salle d'exposition;Musée de France","Le musée des beaux-arts de Rennes est, comme la plupart des musées de France, une création révolutionnaire. Constitué en 1794 à partir des œuvres saisies dans les édifices religieux et civils de la ville, le musée des beaux-arts tire cependant la plus grande partie de ses richesses du fabuleux cabinet de curiosités de Christophe-Paul de Robien (1698-1756), président au Parlement de Bretagne. Cette collection encyclopédique était l'une des plus riches d'Europe : peintures, sculptures, antiquités égyptiennes, grecques et surtout celtiques, objets d'art provenant de tous les continents, ainsi qu'un exceptionnel ensemble de dessins où se côtoient Léonard de Vinci, Botticelli, Dürer et Rembrandt. Entre 1801 et 1811, des envois de l'Etat viennent compléter le fonds initial et apportent des œuvres de première importance, issues des confiscations révolutionnaires parisiennes et des conquêtes des armées françaises que le Muséum Central du Louvre ne pouvait plus contenir. Ainsi, de grands chefs-d'œuvre illustrant les différentes écoles de peinture européennes entrent dans la collection : Véronèse, Persée délivrant Andromède, Rubens, La Chasse au tigre ou Le Brun avec la gigantesque Descente de Croix de la chapelle de Versailles. Au XIXe siècle, les achats réalisés par l'Etat aux Salons enrichissent le musée d'œuvres significatives des courants officiels, en particulier l'extravagant tableau d'Edouard Toudouze, Eros et Aphrodite. L'installation en 1855 du musée dans un nouveau bâtiment abritant aussi l'Université suscite des donations et legs importants : Le don d'Eugène Froment (Amaury-Duval, Portrait d'Isaure Chassériau) et le legs de Paul Lucas qui dote le musée d'une collection de Primitifs italiens. 
Endommagé par la Seconde Guerre mondiale, le musée des beaux-arts de Rennes est l'objet d'une rénovation en 1957, accompagnée d'une active politique d'acquisitions qui fait entrer la collection dans la modernité : les Impressionnistes avec Gustave Caillebotte, Les Périssoires et l'Ecole de Pont-Aven, Emile Bernard, L'Arbre jaune, Paul Sérusier, Solitude et la Marine bleue de Georges Lacombe. Depuis vingt ans, le musée a constitué un ensemble modeste mais représentatif des divers courants artistiques du XXe siècle, pour lesquels on compte quelques chefs-d'œuvre : Frantisek Kupka, Bleus mouvants, Pablo Picasso, Baigneuse à Dinard, Yves Tanguy, L'Inspiration, etc. La collection d'art contemporain s'est développée selon deux axes principaux : les artistes originaires de la Bretagne, comme les Affichistes et les différents courants de l'abstraction de Sam Francis à Aurelie Nemours.",,,,,Journées européennes du patrimoine 2023 : Bretagne,3301657
61211969,https://openagenda.com/jep/events/visite-guidee-du-centre-bourg-de-vezin-le-coquet,Visite guidée du centre-bourg de Vezin le Coquet,Journées européennes du patrimoine 2023,"<p><strong>L'organisation sociale du bourg de Vezin-le-Coquet en 1815</strong><br />A l'occasion des Journées Européennes du Patrimoine, le groupe Vezin Histoire et Patrimoine organise une visite singulière du bourg, en révélant les bâtiments datant de plus de deux siècles et dissimulés dans l'urbanisme d'aujourd'hui.<br />1815 marque la fin de deux périodes terribles et magnifiques, tout d'abord la période révolutionnaire qui a mis fin à l'ancien régime et qui a enflammé les esprits, ensuite le premier empire et ses élans conquérants bien sûr mais qui a aussi marqué notre pays par la puissance de son administration.<br />Dans quel état se trouve notre toute nouvelle commune, à quoi ressemble-t-elle, qui sont ses habitants, comment s'organise à cette époque la vie sociale de ce monde paysan ? Un examen des plans cadastraux établis en 1812 et 1813 précédera la promenade dans le bourg de Vezin.</p>","Rdv à 14h30 - Salle du conseil municipal.
Entrée libre",,2023-09-23T16:48:13+02:00,"Dimanche 17 septembre, 14h30",2023-09-17T14:30:00+02:00,2023-09-17T16:00:00+02:00,2023-09-17T14:30:00+02:00,2023-09-17T16:00:00+02:00,"[{""begin"": ""2023-09-17T14:30:00+02:00"", ""end"": ""2023-09-17T16:00:00+02:00""}]",,,51235811,"48.119102, -1.755146",Mairie de Vezin-le-Coquet,"8, rue de Rennes 35132 Vezin-le-Coquet",,35353,35132,Vezin-le-Coquet,Bretagne,Ille-et-Vilaine,https://www.ville-vezinlecoquet.fr/,,"Archives;Édifice rural;Lieu de pouvoir, édifice judiciaire","Le groupe Vezin Histoire et Patrimoine organise une visite singulière du bourg, en révélant les bâtiments datant de plus de deux siècles et dissimulés dans l'urbanisme d'aujourd'hui. 
1815 marque la fin de deux périodes terribles et magnifiques, tout d'abord la période révolutionnaire qui a mis fin à l'ancien régime et qui a enflammé les esprits, ensuite le premier empire et ses élans conquérants bien sûr mais qui a aussi marqué notre pays par la puissance de son administration. Dans quel état se trouve notre toute nouvelle commune, à quoi ressemble-t-elle, qui sont ses habitants, comment s'organise à cette époque la vie sociale de ce monde paysan ?",RDV salle du conseil municipal - Parking centre ville,,,,Journées européennes du patrimoine 2023 : Bretagne,3301657
58768816,https://openagenda.com/jep/events/exposition-sculpteur-dhistoires-bande-dessinee-et-histoire-17,"Exposition ""Sculpteur d'Histoire(s)"" - Bande dessinée et Histoire #17",Journées européennes du patrimoine 2023,"<p><strong>Découverte de l’exposition « Sculpteur d’Histoire(s) »</strong><br />Bande dessinée et Histoire #17<br />La nouvelle exposition des Archives départementales est consacrée à la vie et à l’œuvre de l’abbé Fouré. À travers une sélection d’archives et des illustrations inédites, le public fait connaissance avec le créateur des rochers sculptés de Rothéneuf à Saint-Malo.<br /><em>L’exposition sera visible jusqu’au 12 janvier 2024.<br />Visite libre et une visite en LSF le samedi à 16h et le dimanche à 17h15</em><br />Programme détaillé des animations proposées sur <a href=""http://archives.ille-et-vilaine.fr"">archives.ille-et-vilaine.fr</a></p>","Visite libre et une visite en LSF le samedi à 16h et le dimanche à 17h15
Tout public – en continu - salle d’exposition / Visites en LSF sur inscription par mail :",,2023-09-19T12:47:40+02:00,16 et 17 septembre,2023-09-16T13:30:00+02:00,2023-09-16T18:00:00+02:00,2023-09-17T13:30:00+02:00,2023-09-17T18:00:00+02:00,"[{""begin"": ""2023-09-16T13:30:00+02:00"", ""end"": ""2023-09-16T18:00:00+02:00""}, {""begin"": ""2023-09-17T13:30:00+02:00"", ""end"": ""2023-09-17T18:00:00+02:00""}]",hi;mi,"handicap auditif,handicap moteur",78599250,"48.12907, -1.69268",Archives Départementales d'Ille et Vilaine,"1 rue Jacques Léonard, 35000, Rennes",Quartiers Nord-Ouest,35238,35000,Rennes,Bretagne,Ille-et-Vilaine,http://archives.ille-et-vilaine.fr/fr,https://www.facebook.com/archives35/,Archives,,,,,,Journées européennes du patrimoine 2023 : Bretagne,3301657
