Rentrée universitaire,catégorie d'établissement,secteur d'établissement,code UAI de l'établissement,sigle de l'établissement,libellé de l'établissement,libellé complémentaire de l'établissement,Code UAI de la composante,sigle de la composante,libellé de la composante,libellé complémentaire de la composante,id région,région,id académie,académie,id département,département,id unité urbaine,unité urbaine,code commune,Commune,gps,degetu,degre_etudes,nombre total d’étudiants inscrits hors doubles inscriptions université/CPGE,dont femmes,dont hommes
2023,Écoles d'architecture,Public,0350089G,EC ART PU,ECOLE NAT. SUP. ARCHITECTURE,DE BRETAGNE,0350089G,EC ART PU,ECOLE NAT. SUP. ARCHITECTURE,DE BRETAGNE,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.119332287323736, -1.6834495168778594",5.0,BAC + 5,156,97,59
2023,Écoles supérieures artistiques et culturelles,Privé,0352253J,EC ART PR,ECOLE TECHNIQUE PRIVEE,MJM GRAPHIC DESIGN,0352253J,EC ART PR,ECOLE TECHNIQUE PRIVEE,MJM GRAPHIC DESIGN,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11519114649456, -1.6660295349759653",2.0,BAC + 2,77,59,18
2023,Écoles supérieures artistiques et culturelles,Privé,0352253J,EC ART PR,ECOLE TECHNIQUE PRIVEE,MJM GRAPHIC DESIGN,0352253J,EC ART PR,ECOLE TECHNIQUE PRIVEE,MJM GRAPHIC DESIGN,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11519114649456, -1.6660295349759653",3.0,BAC + 3,53,32,21
2023,Écoles supérieures artistiques et culturelles,Public,0352845C,PT SUP - PESSV,LE PONT SUPERIEUR,PESSV BRETAGNE - PAYS DE LOIRE,0352845C,PT SUP - PESSV,LE PONT SUPERIEUR,PESSV BRETAGNE - PAYS DE LOIRE,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.087854740700195, -1.6563033752353826",2.0,BAC + 2,18,12,6
2023,Écoles supérieures artistiques et culturelles,Public,0352854M,ESA RENNES,ECOLE SUPERIEURE D'ART,EESAB SITE DE RENNES,0352854M,ESA RENNES,ECOLE SUPERIEURE D'ART,EESAB SITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11425841018578, -1.677250348749074",1.0,BAC + 1,63,45,18
2023,Autres écoles de spécialités diverses,Privé,0350998V,CFA,CTRE DE FORMATION D'APPRENTIS,DE LA CMA BRETAGNE - FACULTE D,0350998V,CFA,CTRE DE FORMATION D'APPRENTIS,DE LA CMA BRETAGNE - FACULTE D,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35047,Bruz,,2.0,BAC + 2,28,0,28
2023,Autres écoles de spécialités diverses,Privé,0351002Z,ANT CFA,ANTENNE DE CFA,BATIMENT D'ILLE ET VILAINE,0351002Z,ANT CFA,ANTENNE DE CFA,BATIMENT D'ILLE ET VILAINE,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35189,Montgermont,,2.0,BAC + 2,24,1,23
2023,Autres écoles de spécialités diverses,Privé,0352449X,OF CFA,ORGANISME FORMATION-CFA,I.N.H.N.I.,0352449X,OF CFA,ORGANISME FORMATION-CFA,I.N.H.N.I.,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35047,Bruz,,1.0,BAC + 1,26,7,19
2023,Autres écoles de spécialités diverses,Privé,0352477C,LISAA RENNES,INST SUPERIEUR ARTS APPLIQUES,GALILEO GLOBAL EDUCATION,0352477C,LISAA RENNES,INST SUPERIEUR ARTS APPLIQUES,GALILEO GLOBAL EDUCATION,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.10852341255922, -1.6811101748086739",1.0,BAC + 1,151,119,32
2023,Autres écoles de spécialités diverses,Privé,0352711G,EC SUP PR,ECOLE,FORMATIVES,0352711G,EC SUP PR,ECOLE,FORMATIVES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.112856599689984, -1.661359766196587",1.0,BAC + 1,60,56,4
2023,Autres écoles de spécialités diverses,Privé,0352813T,EC TECH PR,ECOLE TECHNIQUE PRIVEE,AFOREM,0352813T,EC TECH PR,ECOLE TECHNIQUE PRIVEE,AFOREM,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.09727691341803, -1.6293395448196226",1.0,BAC + 1,111,81,30
2023,Autres écoles de spécialités diverses,Privé,0352906U,FORM CONT,ALTICOME,ALTICOME,0352906U,FORM CONT,ALTICOME,ALTICOME,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35051,Cesson-Sévigné,,2.0,BAC + 2,58,26,32
2023,Autres écoles de spécialités diverses,Privé,0352930V,DC RENNES,ECOLE TECH SUP PRIVEE INFORMAT,DIGITAL CAMPUS RENNES,0352930V,DC RENNES,ECOLE TECH SUP PRIVEE INFORMAT,DIGITAL CAMPUS RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.105555197439145, -1.6787462103972417",2.0,BAC + 2,36,12,24
2023,Autres écoles de spécialités diverses,Privé,0352930V,DC RENNES,ECOLE TECH SUP PRIVEE INFORMAT,DIGITAL CAMPUS RENNES,0352930V,DC RENNES,ECOLE TECH SUP PRIVEE INFORMAT,DIGITAL CAMPUS RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.105555197439145, -1.6787462103972417",3.0,BAC + 3,17,8,9
2023,Autres écoles de spécialités diverses,Privé,0353009F,OF-CFA,OF-CFA,IHECF - AFTEC,0353009F,OF-CFA,OF-CFA,IHECF - AFTEC,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35047,Bruz,,2.0,BAC + 2,34,24,10
2023,Autres écoles de spécialités diverses,Privé,0353075C,EC TECH SUP PR,ECOLE TECHNIQUE SUPERIEURE PRI,YNOV CAMPUS - RENNES,0353075C,EC TECH SUP PR,ECOLE TECHNIQUE SUPERIEURE PRI,YNOV CAMPUS - RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.103605726926126, -1.6818224056411755",2.0,BAC + 2,62,27,35
2023,Autres écoles de spécialités diverses,Privé,035P0006,nan,MYDIGITALSCHOOL,SITE DE BRUZ,035P0006,nan,MYDIGITALSCHOOL,SITE DE BRUZ,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35047,Bruz,,2.0,BAC + 2,37,11,26
2023,Autres écoles de spécialités diverses,Privé,035P0006,nan,MYDIGITALSCHOOL,SITE DE BRUZ,035P0006,nan,MYDIGITALSCHOOL,SITE DE BRUZ,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35047,Bruz,,4.0,BAC + 4,34,21,13
2023,Autres écoles de spécialités diverses,Privé,035P0006,nan,MYDIGITALSCHOOL,SITE DE BRUZ,035P0006,nan,MYDIGITALSCHOOL,SITE DE BRUZ,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35047,Bruz,,5.0,BAC + 5,53,25,28
2023,Autres écoles de spécialités diverses,Privé,0922467G,EPSI,ETAB SUPERIEUR TECHNIQUE PR,E P S I,0352999V,EC SUP TECH PR,ECOLE SUPERIEURE TECHNIQUE PRI,EPSI RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.1318432054475, -1.7065205826837138",2.0,BAC + 2,9,1,8
2023,Autres écoles de spécialités diverses,Privé,0922467G,EPSI,ETAB SUPERIEUR TECHNIQUE PR,E P S I,0352999V,EC SUP TECH PR,ECOLE SUPERIEURE TECHNIQUE PRI,EPSI RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.1318432054475, -1.7065205826837138",3.0,BAC + 3,33,3,30
2023,Autres écoles de spécialités diverses,Public,0352494W,CFPPA,C F P P A,LEGTA THEODORE MONOD,0352494W,CFPPA,C F P P A,LEGTA THEODORE MONOD,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35302,Le Rheu,35240,Le Rheu,,1.0,BAC + 1,13,0,13
2023,Autres écoles de spécialités diverses,Public,0352494W,CFPPA,C F P P A,LEGTA THEODORE MONOD,0352494W,CFPPA,C F P P A,LEGTA THEODORE MONOD,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35302,Le Rheu,35240,Le Rheu,,2.0,BAC + 2,13,5,8
2023,Autre établissements d'enseignement universitaire,Privé,0352349N,INST UNIV PR,INSTITUT CATHOLIQUE DE RENNES,nan,0352349N,INST UNIV PR,INSTITUT CATHOLIQUE DE RENNES,nan,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35047,Bruz,"48.04865603301857, -1.7447916361905316",1.0,BAC + 1,281,189,92
2023,Autre établissements d'enseignement universitaire,Privé,0352349N,INST UNIV PR,INSTITUT CATHOLIQUE DE RENNES,nan,0352349N,INST UNIV PR,INSTITUT CATHOLIQUE DE RENNES,nan,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35047,Bruz,"48.04865603301857, -1.7447916361905316",5.0,BAC + 5,33,29,4
