Region,Code_Departement,Code_INSEE_commune,Nom_commune,Population_municipale_01_01_2023,Code_SIREN_EPCI,Nom_EPCI,EPCI_SRU,Code_unite_urbaine,Nom_unite_urbaine,UU_SRU,Commune_isolee_article_L_302_5_CCH,Commune_entree_au_01_01_2022,Commune_entree_au_01_01_2023,Nombre_lls_ Inventaire_au_01_01_2022,Taux_SRU_au_01_01_2022,Commune_carencee_2023_2025,Commune_exemptee_2023_2025,Taux_cible_commune_2023_2025,Commune_deficitaire_2023
Bretagne,35,35001,ACIGNE,6865,243500139,RENNES METROPOLE,1,35213,Acigné,0,0,0,0,509,"17,10 %",0,0,20 %,1
Bretagne,35,35024,BETTON,12637,243500139,RENNES METROPOLE,1,35701,Rennes,1,0,0,0,956,"17,20 %",0,0,20 %,1
Bretagne,35,35032,BOURGBARRE,4579,243500139,RENNES METROPOLE,1,35124,Bourgbarré,0,0,0,0,289,"15,92 %",0,0,20 %,1
Bretagne,35,35047,BRUZ,19090,243500139,RENNES METROPOLE,1,35701,Rennes,1,0,0,0,1706,"19,01 %",0,0,20 %,1
Bretagne,35,35051,CESSON-SEVIGNE,17316,243500139,RENNES METROPOLE,1,35701,Rennes,1,0,0,0,1872,"22,26 %",0,0,20 %,0
Bretagne,35,35055,CHANTEPIE,10236,243500139,RENNES METROPOLE,1,35701,Rennes,1,0,0,0,1352,"26,35 %",0,0,20 %,0
Bretagne,35,35059,CHAPELLE-DES-FOUGERETZ,4628,243500139,RENNES METROPOLE,1,35701,Rennes,1,0,0,0,375,"19,45 %",0,0,20 %,1
Bretagne,35,35066,CHARTRES-DE-BRETAGNE,8190,243500139,RENNES METROPOLE,1,35701,Rennes,1,0,0,0,903,"22,06 %",0,0,20 %,0
Bretagne,35,35076,CHAVAGNE,4268,243500139,RENNES METROPOLE,1,35122,Chavagne,0,0,0,0,337,"17,33 %",0,0,20 %,1
Bretagne,35,35120,GEVEZE,5685,243500139,RENNES METROPOLE,1,35203,Gévezé,0,0,0,0,358,"14,82 %",0,0,20 %,1
Bretagne,35,35131,HERMITAGE,4647,243500139,RENNES METROPOLE,1,35302,Le Rheu,0,0,0,0,568,"27,44 %",0,0,20 %,0
Bretagne,35,35139,LAILLE,5162,243500139,RENNES METROPOLE,1,35201,Laillé,0,0,0,0,199,"9,37 %",0,0,20 %,1
Bretagne,35,35189,MONTGERMONT,3564,243500139,RENNES METROPOLE,1,35701,Rennes,1,0,1,0,369,"21,68 %",0,0,20 %,0
Bretagne,35,35196,MORDELLES,7485,243500139,RENNES METROPOLE,1,35216,Mordelles,0,0,0,0,596,"16,15 %",0,0,20 %,1
Bretagne,35,35206,NOYAL-CHATILLON-SUR-SEICHE,7318,243500139,RENNES METROPOLE,1,35701,Rennes,1,0,0,0,771,"22,37 %",0,0,20 %,0
Bretagne,35,35208,ORGERES,5341,243500139,RENNES METROPOLE,1,35129,Orgères,0,0,0,0,479,"20,68 %",0,0,20 %,0
Bretagne,35,35210,PACE,12004,243500139,RENNES METROPOLE,1,35701,Rennes,1,0,0,0,840,"17,50 %",0,0,20 %,1
Bretagne,35,35238,RENNES,222485,243500139,RENNES METROPOLE,1,35701,Rennes,1,0,0,0,34362,"30,75 %",0,0,20 %,0
Bretagne,35,35240,RHEU,9247,243500139,RENNES METROPOLE,1,35302,Le Rheu,0,0,0,0,1016,"24,67 %",0,0,20 %,0
Bretagne,35,35245,ROMILLE,4085,243500139,RENNES METROPOLE,1,35118,Romillé,0,0,0,0,148,"8,80 %",0,0,20 %,1
Bretagne,35,35275,SAINT-GILLES,5312,243500139,RENNES METROPOLE,1,35132,Saint-Gilles,0,0,0,0,555,"24,20 %",0,0,20 %,0
Bretagne,35,35278,SAINT-GREGOIRE,9881,243500139,RENNES METROPOLE,1,35701,Rennes,1,0,0,0,550,"12,47 %",0,0,20 %,1
Bretagne,35,35281,SAINT-JACQUES-DE-LA-LANDE,13955,243500139,RENNES METROPOLE,1,35701,Rennes,1,0,0,0,1845,"28,34 %",0,0,20 %,0
Bretagne,35,35334,THORIGNE-FOUILLARD,8584,243500139,RENNES METROPOLE,1,35701,Rennes,1,0,0,0,652,"18,33 %",0,0,20 %,1
Bretagne,35,35352,VERN-SUR-SEICHE,8289,243500139,RENNES METROPOLE,1,35219,Vern-sur-Seiche,0,0,0,0,621,"17,36 %",0,0,20 %,1
Bretagne,35,35353,VEZIN-LE-COQUET,6234,243500139,RENNES METROPOLE,1,35701,Rennes,1,0,0,0,566,"24,13 %",0,0,20 %,0
Bretagne,35,35363,PONT-PEAN,4389,243500139,RENNES METROPOLE,1,35701,Rennes,1,0,0,0,278,"14,88 %",0,0,20 %,1
Bretagne,35,35088,CORPS-NUDS,3526,243500139,RENNES METROPOLE,1,35110,Corps-Nuds,0,0,0,1,Pas d'inventaire,Pas d'inventaire,0,0,20 %,0
