Département,id_BNLC,id_Local,nom_lieu,ad_lieu,com_lieu,insee,type
35,35022-C-002,C-002,Intercommunale,Rennes Métropole,Bécherel,35022,Aire de covoiturage
35,35024-C-001,C-001,La Haute Plesse,La Haute Plesse,BETTON,35024,Aire de covoiturage
35,35047-C-001,C-001,La Louvière,La Louvière,BRUZ,35047,Aire de covoiturage
35,35051-C-001,C-001,Vaux,Porte des Longchamps,Cesson-Sévigné,35051,Aire de covoiturage
35,35059-C-001,C-001,Parking salle de sport,Rue de Rennes,LA CHAPELLE-DES-FOUGERETZ,35059,Aire de covoiturage
35,35066-C-001,C-001,Fontenay,Rond point pôle sud,Chartres-de-Bretagne,35066,Aire de covoiturage
35,35076-C-001,C-001,Echangeur N24,Echangeur N24 (D334xD288),Chavagne,35076,Aire de covoiturage
35,35088-C-001,C-001,La Lande du feu,La Lande du feu,Corps-Nuds,35088,Aire de covoiturage
35,35132-C-001,C-001,Cimetière,D155,Hirel,35132,Aire de covoiturage
35,35135-C-001,C-001,Rue du lavoir,Rue du lavoir,Irodouër,35135,Aire de covoiturage
35,35136-C-001,C-001,Aire de covoiturage Janzé Nord,Le Hardier,JANZE,35136,Aire de covoiturage
35,35136-C-002,C-002,L'Aubinière Janzé Nord,Rue Jean-Marie Lacire,Janzé,35136,Aire de covoiturage
35,35136-C-005,C-005,Champs-Blancs Janzé Est,sortie D41 Rd point D777,Janzé,35136,Aire de covoiturage
35,35136-C-003,C-003,Le Hardier,ZA le bois du teillay,JANZE,35136,Aire de covoiturage
35,35139-C-001,C-001,La lande de villiers,Bout de lande,Laillé,35139,Aire de covoiturage
35,35139-C-002,C-002,Rue de la halte/Landret,Rue de la Halte,Laillé,35139,Aire de covoiturage
35,35150-C-001,C-001,Villeneuve,VC face à la Zone de la Pilais,Lécousse,35150,Aire de covoiturage
35,35206-C-002,C-002,Rue Lavoisier,Rue Lavoisier,Noyal-Châtillon-sur-Seiche,35206,Aire de covoiturage
35,35210-C-004,C-004,Cimetière,Boulevard du Duc Jean V,Pacé,35210,Aire de covoiturage
35,35210-C-005,C-005,Les Sorinais,Rond point des Sorinais,Pacé,35210,Aire de covoiturage
35,35235-C-001,C-001,Paimbaudière,Rond-Point Rannée,RANNEE,35235,Aire de covoiturage
35,35238-C-002,C-002,La Brandais,La Brandais,Rennes,35238,Aire de covoiturage
35,35240-C-002,C-002,Pont d'avoine,16 rue nationale,Le Rheu,35240,Aire de covoiturage
35,35275-C-001,C-001,Fouaye,Fouaye,Saint-Gilles,35275,Aire de covoiturage
35,35278-C-002,C-002,Rue d'Ouessant,Rue d'Ouessant,Saint-Grégoire,35278,Aire de covoiturage
35,35334-C-002,C-002,Porte de Tizé,Porte de Tizé - rocade Est,Thorigné-Fouillard,35334,Aire de covoiturage
35,35352-C-002,C-002,Les Orgeries,Les Orgeries,Vern-sur-Seiche,35352,Aire de covoiturage
