CODGEO25,DEP,LIBGEO,Code EPCI,Libellé EPCI,Zonage TLV 2013,Zonage TLV 2023,Zonage TLV post décret 22/12/2025
30258,30,Saint-Gilles,CA de Nîmes Métropole,243000643,Non TLV,3. Non tendue,3. Non tendue
35001,35,Acigné,Rennes Métropole,243500139,Non TLV,3. Non tendue,3. Non tendue
35022,35,Bécherel,Rennes Métropole,243500139,Non TLV,3. Non tendue,3. Non tendue
35024,35,Betton,Rennes Métropole,243500139,Non TLV,1. Zone tendue,1. Zone tendue
35032,35,Bourgbarré,Rennes Métropole,243500139,Non TLV,3. Non tendue,3. Non tendue
35039,35,Brécé,Rennes Métropole,243500139,Non TLV,3. Non tendue,3. Non tendue
35047,35,Bruz,Rennes Métropole,243500139,Non TLV,1. Zone tendue,1. Zone tendue
35051,35,Cesson-Sévigné,Rennes Métropole,243500139,Non TLV,1. Zone tendue,1. Zone tendue
35055,35,Chantepie,Rennes Métropole,243500139,Non TLV,1. Zone tendue,1. Zone tendue
35058,35,La Chapelle-Chaussée,Rennes Métropole,243500139,Non TLV,3. Non tendue,3. Non tendue
35059,35,La Chapelle-des-Fougeretz,Rennes Métropole,243500139,Non TLV,1. Zone tendue,1. Zone tendue
35065,35,La Chapelle-Thouarault,Rennes Métropole,243500139,Non TLV,3. Non tendue,3. Non tendue
35066,35,Chartres-de-Bretagne,Rennes Métropole,243500139,Non TLV,1. Zone tendue,1. Zone tendue
35076,35,Chavagne,Rennes Métropole,243500139,Non TLV,3. Non tendue,3. Non tendue
35079,35,Chevaigné,Rennes Métropole,243500139,Non TLV,3. Non tendue,3. Non tendue
35080,35,Cintré,Rennes Métropole,243500139,Non TLV,3. Non tendue,3. Non tendue
35081,35,Clayes,Rennes Métropole,243500139,Non TLV,3. Non tendue,3. Non tendue
35088,35,Corps-Nuds,Rennes Métropole,243500139,Non TLV,3. Non tendue,3. Non tendue
35120,35,Gévezé,Rennes Métropole,243500139,Non TLV,3. Non tendue,3. Non tendue
35131,35,L'Hermitage,Rennes Métropole,243500139,Non TLV,3. Non tendue,3. Non tendue
35139,35,Laillé,Rennes Métropole,243500139,Non TLV,3. Non tendue,3. Non tendue
35144,35,Langan,Rennes Métropole,243500139,Non TLV,3. Non tendue,3. Non tendue
35180,35,Miniac-sous-Bécherel,Rennes Métropole,243500139,Non TLV,3. Non tendue,3. Non tendue
35189,35,Montgermont,Rennes Métropole,243500139,Non TLV,1. Zone tendue,1. Zone tendue
35196,35,Mordelles,Rennes Métropole,243500139,Non TLV,3. Non tendue,3. Non tendue
35204,35,Nouvoitou,Rennes Métropole,243500139,Non TLV,3. Non tendue,3. Non tendue
35206,35,Noyal-Châtillon-sur-Seiche,Rennes Métropole,243500139,Non TLV,1. Zone tendue,1. Zone tendue
35208,35,Orgères,Rennes Métropole,243500139,Non TLV,3. Non tendue,3. Non tendue
35210,35,Pacé,Rennes Métropole,243500139,Non TLV,1. Zone tendue,1. Zone tendue
35216,35,Parthenay-de-Bretagne,Rennes Métropole,243500139,Non TLV,3. Non tendue,3. Non tendue
35238,35,Rennes,Rennes Métropole,243500139,Non TLV,1. Zone tendue,1. Zone tendue
35240,35,Le Rheu,Rennes Métropole,243500139,Non TLV,3. Non tendue,3. Non tendue
35245,35,Romillé,Rennes Métropole,243500139,Non TLV,3. Non tendue,3. Non tendue
35250,35,Saint-Armel,Rennes Métropole,243500139,Non TLV,3. Non tendue,3. Non tendue
35266,35,Saint-Erblon,Rennes Métropole,243500139,Non TLV,3. Non tendue,3. Non tendue
35275,35,Saint-Gilles,Rennes Métropole,243500139,Non TLV,3. Non tendue,3. Non tendue
35278,35,Saint-Grégoire,Rennes Métropole,243500139,Non TLV,1. Zone tendue,1. Zone tendue
35281,35,Saint-Jacques-de-la-Lande,Rennes Métropole,243500139,Non TLV,1. Zone tendue,1. Zone tendue
35315,35,Saint-Sulpice-la-Forêt,Rennes Métropole,243500139,Non TLV,3. Non tendue,3. Non tendue
35334,35,Thorigné-Fouillard,Rennes Métropole,243500139,Non TLV,1. Zone tendue,1. Zone tendue
35351,35,Le Verger,Rennes Métropole,243500139,Non TLV,3. Non tendue,3. Non tendue
35352,35,Vern-sur-Seiche,Rennes Métropole,243500139,Non TLV,3. Non tendue,3. Non tendue
35353,35,Vezin-le-Coquet,Rennes Métropole,243500139,Non TLV,1. Zone tendue,1. Zone tendue
35363,35,Pont-Péan,Rennes Métropole,243500139,Non TLV,1. Zone tendue,1. Zone tendue
36196,36,Saint-Gilles,CC Marche Occitane - Val d'Anglin,200035137,Non TLV,3. Non tendue,3. Non tendue
50483,50,Saint-Gilles,CA Saint-Lô Agglo,200066389,Non TLV,3. Non tendue,3. Non tendue
51484,51,Saint-Gilles,CU du Grand Reims,200067213,Non TLV,3. Non tendue,3. Non tendue
53042,53,Brecé,CC du Bocage Mayennais,245300389,Non TLV,3. Non tendue,3. Non tendue
53214,53,Saint-Erblon,CC du Pays de Craon,200048551,Non TLV,3. Non tendue,3. Non tendue
56205,56,Saint-Armel,CA Golfe du Morbihan - Vannes Agglomération,200067932,Non TLV,2. Zone touristique et tendue,2. Zone touristique et tendue
61317,61,Orgères,CC des Vallées d'Auge et du Merlerault,200069458,Non TLV,3. Non tendue,3. Non tendue
61321,61,Pacé,CU d'Alençon,246100663,Non TLV,3. Non tendue,3. Non tendue
71425,71,Saint-Gilles,CA Le Grand Chalon,247100589,Non TLV,3. Non tendue,3. Non tendue
81253,81,Saint-Grégoire,CC Val 81,248100497,Non TLV,3. Non tendue,3. Non tendue
