id_zone,INSEE_C,LIBGEO,EPCI,DEP,REG,loypredm2,lwr.IPm2,upr.IPm2,TYPPRED,nbobs_com,nbobs_mail,R2_adj
1065,35079,Chevaigné,243500139,35,53,"10,2676936338686","8,67333987993103","12,1551252479944",maille,56,602,"0,850910382160831"
1267,35039,Brécé,243500139,35,53,"11,1125800052077","9,75869398832246","12,6542992863505",maille,28,902,"0,9151860659837"
1359,35132,Hirel,243500782,35,53,"10,8786903954701","9,02582791002475","13,1119168125341",maille,3,657,"0,792031756986428"
1380,35208,Orgères,243500139,35,53,"11,2936905581607","9,61044803619381","13,2717481997855",commune,255,505,"0,817841542537667"
1380,35139,Laillé,243500139,35,53,"11,0460604820521","9,39614596938253","12,9856914282453",commune,121,505,"0,817841542537667"
1455,35190,Monthault,200072452,35,53,"5,98345579349679","4,57274183303761","7,82938213875672",maille,8,495,"0,696591196796536"
1504,35200,Moutiers,200039022,35,53,"8,16672133578111","6,51960395032052","10,2299676306294",maille,17,599,"0,78011538761282"
1866,35022,Bécherel,243500139,35,53,"9,98661218600457","8,363849988368","11,9242242618361",maille,69,477,"0,838888375647382"
1866,35135,Irodouër,200038990,35,53,"9,86137116071296","8,26608319815248","11,7645369443023",commune,112,477,"0,838888375647382"
1866,35180,Miniac-sous-Bécherel,243500139,35,53,"9,98661218600457","8,363849988368","11,9242242618361",maille,2,477,"0,838888375647382"
2007,35363,Pont-Péan,243500139,35,53,"11,508060815611","10,0460519721311","13,1828368102407",commune,292,1213,"0,87725503130996"
2007,35206,Noyal-Châtillon-sur-Seiche,243500139,35,53,"12,0923951270452","10,5515024681672","13,858312628911",commune,921,1213,"0,87725503130996"
2037,35204,Nouvoitou,243500139,35,53,"11,6356853699367","10,1253530743831","13,3713039963702",maille,43,625,"0,885004865970007"
2037,35352,Vern-sur-Seiche,243500139,35,53,"12,1033555055117","10,5376179505281","13,9017390059637",commune,582,625,"0,885004865970007"
2058,35051,Cesson-Sévigné,243500139,35,53,"12,7489552976458","10,9284145719005","14,8727759284762",commune,2114,2598,"0,895656050836347"
2058,35334,Thorigné-Fouillard,243500139,35,53,"11,7889817612202","10,0843316709128","13,7817850009095",commune,484,2598,"0,895656050836347"
2138,35055,Chantepie,243500139,35,53,"12,4710516215381","10,6948358692443","14,5422641776417",commune,1462,1462,"0,863813801205124"
2295,35001,Acigné,243500139,35,53,"12,3091169592623","10,5608257917378","14,3468288659145",commune,470,818,"0,893763658499413"
2333,35032,Bourgbarré,243500139,35,53,"11,2839808120449","9,78864311849254","13,007750045157",commune,150,681,"0,878498890735048"
2333,35250,Saint-Armel,243500139,35,53,"11,7245878925822","10,152113797281","13,5406245434032",commune,186,681,"0,878498890735048"
2333,35266,Saint-Erblon,243500139,35,53,"12,1885978710718","10,5745075434539","14,0490625641156",commune,250,681,"0,878498890735048"
2333,35088,Corps-Nuds,243500139,35,53,"11,1741799270427","9,690005457209","12,8856787122892",maille,82,681,"0,878498890735048"
2443,35275,Saint-Gilles,243500139,35,53,"11,377268274518","9,77786359041565","13,2382940499635",commune,328,682,"0,83304022089558"
2443,35131,L'Hermitage,243500139,35,53,"11,3857059841443","9,77969304890233","13,2554570076134",commune,307,682,"0,83304022089558"
2443,35081,Clayes,243500139,35,53,"11,4271963450096","9,81121808514905","13,3093378593894",maille,6,682,"0,83304022089558"
2443,35216,Parthenay-de-Bretagne,243500139,35,53,"11,4271963450096","9,81121808514905","13,3093378593894",maille,41,682,"0,83304022089558"
2516,35047,Bruz,243500139,35,53,"12,0930469444965","10,2931944745394","14,2076189042702",commune,2910,2910,"0,899342113568267"
2569,35281,Saint-Jacques-de-la-Lande,243500139,35,53,"12,7055192402843","10,5752412914577","15,2649206496718",commune,1674,1674,"0,825956824673127"
2708,35076,Chavagne,243500139,35,53,"11,8300044572152","10,1331677385422","13,8109828109749",commune,289,1921,"0,864017509433479"
2708,35353,Vezin-le-Coquet,243500139,35,53,"12,7108087016049","10,8927021015713","14,8323764243482",commune,518,1921,"0,864017509433479"
2708,35240,Le Rheu,243500139,35,53,"12,2318935202495","10,4845867268895","14,2703973926792",commune,933,1921,"0,864017509433479"
2727,35238,Rennes,243500139,35,53,"13,9729292328284","11,1267769355577","17,5471075295574",commune,47499,47499,"0,846362222457566"
2817,35278,Saint-Grégoire,243500139,35,53,"12,9383488746135","10,9126387755183","15,3400909756827",commune,1048,1048,"0,887284954455019"
2870,35065,La Chapelle-Thouarault,243500139,35,53,"11,2660490353328","9,20004684343075","13,7960015885302",maille,25,960,"0,82426494603154"
2870,35080,Cintré,243500139,35,53,"11,2660490353328","9,20004684343075","13,7960015885302",maille,40,960,"0,82426494603154"
2870,35196,Mordelles,243500139,35,53,"12,6300311341023","10,2671480167893","15,5367085569959",commune,872,960,"0,82426494603154"
2870,35351,Le Verger,243500139,35,53,"11,2660490353328","9,20004684343075","13,7960015885302",maille,23,960,"0,82426494603154"
291,35150,Lécousse,200072452,35,53,"9,01669898637767","7,43938261910105","10,9284418847069",maille,24,779,"0,814698856631757"
291,35310,Saint-Sauveur-des-Landes,200072452,35,53,"9,01669898637767","7,43938261910105","10,9284418847069",maille,9,779,"0,814698856631757"
2927,35066,Chartres-de-Bretagne,243500139,35,53,"12,2620798130403","10,6392981086867","14,1323797684179",commune,1175,1175,"0,899327544824476"
633,35170,Mecé,200039022,35,53,"8,46687449954202","6,68358381987786","10,7259766201758",maille,1,2772,"0,828482446752174"
660,35144,Langan,243500139,35,53,"10,7777064397585","9,00298678125919","12,9022688718605",maille,29,650,"0,824548181084031"
660,35058,La Chapelle-Chaussée,243500139,35,53,"10,7777064397585","9,00298678125919","12,9022688718605",maille,19,650,"0,824548181084031"
660,35120,Gévezé,243500139,35,53,"12,0016223479715","10,0225333629059","14,3715100531795",commune,350,650,"0,824548181084031"
660,35245,Romillé,243500139,35,53,"10,7920639845928","9,01455109891004","12,9200715343028",commune,247,650,"0,824548181084031"
686,35160,Loutehel,200043990,35,53,"7,59344974124902","6,05968391806149","9,5154268362104",maille,10,555,"0,784691866156039"
704,35230,Poilley,200072452,35,53,"9,27058969975388","7,21206065810308","11,916681993602",maille,0,556,"0,73149682652499"
715,35136,Janzé,243500634,35,53,"10,3543869246963","8,33093885588455","12,869297259407",commune,840,946,"0,798719406842768"
759,35315,Saint-Sulpice-la-Forêt,243500139,35,53,"9,57912002661608","8,29008995003792","11,0685820102468",maille,17,1343,"0,90844744441457"
759,35024,Betton,243500139,35,53,"11,6616053968056","10,0919156019695","13,4754436912121",commune,1295,1343,"0,90844744441457"
788,35235,Rannée,200039022,35,53,"7,47511037896821","5,8209122673104","9,59940171088969",maille,8,475,"0,734486289663693"
826,35189,Montgermont,243500139,35,53,"12,517960950464","10,9284579793907","14,3386511301823",commune,410,2112,"0,910601109310443"
826,35210,Pacé,243500139,35,53,"12,120266571001","10,6099607451249","13,845561287267",commune,1347,2112,"0,910601109310443"
826,35059,La Chapelle-des-Fougeretz,243500139,35,53,"12,0129163024073","10,5136983430429","13,7259176913836",commune,355,2112,"0,910601109310443"
