siren,nomUniteLegale,denominationUniteLegale,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,nombrePeriodesEtablissement,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,complementAdresse2Etablissement,numeroVoie2Etablissement,indiceRepetition2Etablissement,typeVoie2Etablissement,libelleVoie2Etablissement,codePostal2Etablissement,libelleCommune2Etablissement,libelleCommuneEtranger2Etablissement,distributionSpeciale2Etablissement,codeCommune2Etablissement,codeCedex2Etablissement,libelleCedex2Etablissement,codePaysEtranger2Etablissement,libellePaysEtranger2Etablissement,dateDebut,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,geo_score,geo_type,geo_adresse,geo_id,geo_ligne,geo_l4,geo_l5,geometry,quadkey
820026672,JOUANOLLE,,00015,82002667200015,O,2016-05-01,,,,2018-04-10 16:03:09+00:00,True,1,,60,B,RUE,ORGERES,35230,BOURGBARRE,,,35032,,,,,,,,,,,,,,,,,,,2016-05-01,A,,,,,01.11Z,NAFRev2,N,0.79,housenumber,60bis Rue d'Orgères 35230 Bourgbarré,35032_0125_00060_bis,G,60BIS RUE D ORGERES,,b'\x01\x01\x00\x00\x00\xf6\x97\xdd\x93\x87\x05\xfa\xbf\xe8\xa5bc^\xffG@',0313311033232
483483657,GUILLOU,,00076,48348365700076,O,2015-08-01,,,,2015-08-27 10:30:09+00:00,True,1,,6,B,RUE,ROMILLE,35850,GEVEZE,,,35120,,,,,,,,,,,,,,,,,,,2015-08-01,A,,,,,86.90E,NAFRev2,N,0.83,housenumber,6bis Rue de Romillé 35850 Gévezé,35120_0025_00006_bis,G,6BIS RUE DE ROMILLE,,b'\x01\x01\x00\x00\x00\xe4\xf4\xf5|\xcd\xb2\xfc\xbfZ\x9b\xc6\xf6Z\x1cH@',0313311032111
498301522,JOYEAU,,00039,49830152200039,O,2011-11-15,,,,2021-02-23 14:06:06+00:00,True,1,,6,,RUE,ROMILLE,35850,GEVEZE,,,35120,,,,,,,,,,,,,,,,,,,2011-11-15,A,,,,,86.90D,NAFRev2,N,0.95,housenumber,6 Rue de Romillé 35850 Gévezé,35120_0025_00006,G,6 RUE DE ROMILLE,,b'\x01\x01\x00\x00\x00\xa3\x04\xfd\x85\x1e\xb1\xfc\xbf~\x8e\x8f\x16g\x1cH@',0313311032111
823797287,FOUCHER,,00013,82379728700013,O,2015-08-31,,,,2016-11-18 09:30:38+00:00,True,1,RESIDENCE DU GUILDO,,,RUE,ROMILLE,35850,GEVEZE,,,35120,,,,,,,,,,,,,,,,,,,2015-08-31,A,,,,,68.20A,NAFRev2,N,0.95,street,Rue de Romillé 35850 Gévezé,35120_0025,G,RUE DE ROMILLE,,b'\x01\x01\x00\x00\x00X\x1a\xf8Q\r\xbb\xfc\xbf\xccB;\xa7Y\x1cH@',0313311032111
263504433,,CENTRE COMMUNAL D ACTION SOCIALE,00016,26350443300016,O,1985-03-19,NN,,,2010-06-26 03:08:54+00:00,True,4,MAIRIE,12,,RUE,ROMILLE,35850,LANGAN,,,35144,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,88.99B,NAFRev2,N,0.94,housenumber,12 Rue de Romillé 35850 Langan,35144_0025_00012,G,12 RUE DE ROMILLE,,b'\x01\x01\x00\x00\x00\xd5\xe9@\xd6S\xab\xfd\xbf\xe6\xcf\xb7\x05K\x1fH@',0313311030323
263505596,,CAISSE DES ECOLES,00019,26350559600019,O,1993-01-19,NN,,,2010-06-26 03:08:56+00:00,True,4,MAIRIE,12,,RUE,ROMILLE,35850,LANGAN,,,35144,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,88.99B,NAFRev2,N,0.94,housenumber,12 Rue de Romillé 35850 Langan,35144_0025_00012,G,12 RUE DE ROMILLE,,b'\x01\x01\x00\x00\x00\xd5\xe9@\xd6S\xab\xfd\xbf\xe6\xcf\xb7\x05K\x1fH@',0313311030323
801184763,,CLUB DE LA GAITE,00010,80118476300010,O,1977-09-02,,,,2014-03-21 14:51:00+00:00,True,1,MAIRIE,12,,RUE,ROMILLE,35850,LANGAN,,,35144,,,,,,,,,,,,,,,,,,,1977-09-02,A,,,,,94.99Z,NAFRev2,N,0.94,housenumber,12 Rue de Romillé 35850 Langan,35144_0025_00012,G,12 RUE DE ROMILLE,,b'\x01\x01\x00\x00\x00\xd5\xe9@\xd6S\xab\xfd\xbf\xe6\xcf\xb7\x05K\x1fH@',0313311030323
829457795,,COMITE DES FETES DE LANGAN,00013,82945779500013,O,1969-08-12,,,,2017-05-05 15:57:32+00:00,True,1,,12,,RUE,ROMILLE,35850,LANGAN,,,35144,,,,,,,,,,,,,,,,,,,1969-08-12,A,,,,,94.99Z,NAFRev2,N,0.94,housenumber,12 Rue de Romillé 35850 Langan,35144_0025_00012,G,12 RUE DE ROMILLE,,b'\x01\x01\x00\x00\x00\xd5\xe9@\xd6S\xab\xfd\xbf\xe6\xcf\xb7\x05K\x1fH@',0313311030323
878174622,LEFETZ,,00018,87817462200018,O,2019-11-01,,,,2019-10-17 08:33:34+00:00,True,1,,9,C,RUE,ROMILLE,35850,LANGAN,,,35144,,,,,,,,,,,,,,,,,,,2019-11-01,A,,,,,71.12B,NAFRev2,N,0.94,interpolation,9 Rue de Romillé 35850 Langan,,G,7 RUE DE ROMILLE,,b'\x01\x01\x00\x00\x00\xe7\x8aRB\xb0\xaa\xfd\xbfj3NCT\x1fH@',0313311030323
213501448,,COMMUNE DE LANGAN,00012,21350144800012,O,1983-03-01,11,2021,,2023-11-30 10:18:14+00:00,True,3,,12,,RUE,ROMILLE,35850,LANGAN,,,35144,,,,,,,,,,,,,,,,,,,2008-01-01,A,MAIRIE,,,,84.11Z,NAFRev2,O,0.94,housenumber,12 Rue de Romillé 35850 Langan,35144_0025_00012,G,12 RUE DE ROMILLE,,b'\x01\x01\x00\x00\x00\xd5\xe9@\xd6S\xab\xfd\xbf\xe6\xcf\xb7\x05K\x1fH@',0313311030323
