codgeo,nb_vp,nb_vp_rechargeables_el,date_arrete
35001,6300,65,2021-03-31
35001,6290,76,2021-06-30
35001,6320,79,2021-09-30
35022,801,0,2020-12-31
35022,813,1,2021-06-30
35022,846,7,2022-06-30
35022,843,11,2023-06-30
35024,10968,88,2020-12-31
35024,11220,143,2021-12-31
35024,11407,236,2023-03-31
35024,11503,305,2023-12-31
35032,4428,81,2022-12-31
35032,4482,97,2023-06-30
35032,4542,103,2023-09-30
35039,2077,28,2021-09-30
35039,2137,60,2022-09-30
35039,2158,67,2022-12-31
35047,16275,121,2020-12-31
35047,16716,174,2021-03-31
35047,17319,248,2021-06-30
35047,18037,484,2022-03-31
35047,18129,501,2022-06-30
35047,18080,526,2022-09-30
35047,18037,543,2022-12-31
35055,9217,75,2021-03-31
35055,9384,91,2021-09-30
35055,9477,116,2022-03-31
35055,9482,126,2022-09-30
35055,9467,148,2023-03-31
35055,9480,157,2023-06-30
35055,9527,160,2023-09-30
35058,1320,7,2021-03-31
35058,1333,12,2022-03-31
35058,1343,19,2022-09-30
35059,4357,49,2021-03-31
35059,4355,60,2021-09-30
35059,4360,67,2021-12-31
35059,4372,84,2022-09-30
35059,4382,93,2022-12-31
35059,4442,118,2023-09-30
35065,2250,10,2021-09-30
35065,2300,19,2022-09-30
35065,2305,26,2023-06-30
35065,2315,29,2023-09-30
35066,7745,47,2020-12-31
35066,7785,56,2021-06-30
35066,7864,69,2021-12-31
35066,7868,75,2022-03-31
35066,7952,78,2022-06-30
35066,7963,120,2023-03-31
35066,8004,125,2023-06-30
35076,4017,49,2022-03-31
35076,4133,74,2023-09-30
35079,2190,18,2021-06-30
35079,2220,41,2022-06-30
35079,2222,44,2022-09-30
35079,2198,49,2022-12-31
35080,2169,5,2020-12-31
35080,2176,6,2021-03-31
35080,2198,9,2021-06-30
35080,2223,13,2021-12-31
35080,2240,18,2022-03-31
35080,2242,25,2022-09-30
35080,2266,37,2023-09-30
35080,2288,39,2023-12-31
35081,812,4,2020-12-31
35081,810,4,2021-03-31
35081,826,5,2021-12-31
35081,814,10,2022-09-30
35088,3212,35,2021-12-31
35088,3239,39,2022-03-31
35088,3252,41,2022-06-30
35088,3260,45,2022-09-30
35088,3326,58,2023-12-31
35120,4903,26,2020-12-31
35120,4925,31,2021-03-31
35120,4995,47,2021-12-31
35120,5053,61,2022-06-30
35120,5179,94,2023-03-31
35120,5264,131,2023-12-31
35131,4156,16,2021-03-31
35131,4263,35,2022-06-30
35132,1663,8,2022-06-30
35132,1718,21,2023-12-31
35135,2290,8,2021-06-30
35135,2299,10,2021-12-31
35135,2319,15,2022-06-30
35135,2322,23,2022-12-31
35135,2330,34,2023-12-31
35136,8165,43,2021-06-30
35136,8286,66,2022-03-31
35136,8307,79,2022-06-30
35136,8361,89,2022-12-31
35136,8435,110,2023-06-30
35136,8491,121,2023-09-30
35139,4975,25,2020-12-31
35139,4992,47,2021-09-30
35139,5075,71,2022-09-30
35139,5106,88,2023-03-31
35139,5188,115,2023-12-31
35144,1094,1,2020-12-31
35144,1109,4,2021-06-30
35144,1130,11,2023-03-31
35144,1136,16,2023-12-31
35150,3479,30,2021-06-30
35150,3679,80,2023-09-30
35160,269,0,2021-03-31
35160,275,1,2021-09-30
35160,283,3,2023-06-30
35170,624,3,2020-12-31
35170,618,6,2021-12-31
35170,630,7,2022-09-30
35170,626,7,2022-12-31
35170,615,9,2023-03-31
35170,622,9,2023-06-30
35170,636,9,2023-09-30
35170,633,9,2023-12-31
35180,806,0,2020-12-31
35180,806,1,2021-12-31
35180,816,1,2022-03-31
35180,822,2,2022-06-30
35180,819,4,2023-03-31
35180,828,5,2023-06-30
35180,827,5,2023-09-30
35189,3512,40,2021-03-31
35189,3527,40,2021-06-30
35189,3551,54,2021-12-31
35189,3571,105,2023-12-31
35190,286,1,2020-12-31
35190,279,1,2021-09-30
35190,286,1,2022-06-30
35190,284,3,2023-06-30
35196,7356,59,2021-12-31
35196,7369,69,2022-03-31
35196,7566,121,2023-09-30
35200,898,3,2022-03-31
35200,907,4,2022-06-30
35200,917,6,2022-09-30
35200,926,8,2023-03-31
35200,945,10,2023-12-31
35204,3313,28,2020-12-31
35204,3545,87,2023-12-31
35206,7169,47,2021-03-31
35206,7259,67,2021-12-31
35206,7471,113,2022-12-31
35206,7584,138,2023-06-30
35206,7675,142,2023-09-30
35208,4700,30,2020-12-31
35208,4750,39,2021-03-31
35208,4793,45,2021-06-30
35208,4841,55,2021-09-30
35208,4858,61,2022-03-31
35208,4909,75,2022-09-30
35208,4929,84,2023-03-31
35208,5036,108,2023-12-31
35210,11164,199,2022-06-30
35210,11023,239,2022-12-31
35216,1479,4,2020-12-31
35216,1534,19,2022-06-30
35216,1541,28,2023-06-30
35230,399,3,2020-12-31
35230,410,4,2022-03-31
35230,423,10,2023-12-31
35235,1189,2,2020-12-31
35235,1208,2,2021-06-30
35235,1211,5,2021-12-31
35235,1205,9,2022-06-30
35235,1224,12,2023-09-30
35238,157314,1954,2022-09-30
35238,157266,2370,2023-03-31
35238,157749,2596,2023-06-30
35240,8244,76,2021-09-30
35240,8284,91,2021-12-31
35245,3857,22,2020-12-31
35245,3891,30,2021-03-31
35245,3956,33,2021-09-30
35245,3988,61,2022-09-30
35245,3996,66,2022-12-31
35245,4059,82,2023-09-30
35250,2141,13,2021-09-30
