Identifiant action de formation,Langues vivantes 1 et 2,Identifiant et fiche onisep lieu de cours,UAI lieu de cours,Libellé lieu de cours,Adresse lieu de cours,Boîte postale lieu de cours,Code postal lieu de cours,Commune lieu de cours,Département lieu de cours,Région lieu de cours,Académie lieu de cours,AF date création,AF date de modification
AF.8863,"LV1 : anglais / LV2 : allemand, espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9376,0352589Z,Collège Jean Moulin,"Place Léopold Sédar Senghor, Saint Jacques de la Lande",BP 49219,35136,Saint-Jacques-de-la-Lande,Ille-et-Vilaine,Bretagne,Rennes,06/06/2020,12/04/2024
AF.55725,"LV1 : anglais / LV2 : allemand, espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13898,0351882F,Collège la Roche aux Fées,Rue Anatole le Braz,BP 1,35240,Retiers,Ille-et-Vilaine,Bretagne,Rennes,06/06/2020,06/06/2020
AF.37629,"LV1 : anglais / LV2 : allemand, espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4101,0352071L,Collège Joséphine Bakhita,29 boulevard Émile Combes,CS 96702,35000,Rennes,Ille-et-Vilaine,Bretagne,Rennes,06/06/2020,06/06/2020
AF.9026,"LV1 : anglais / LV2 : allemand, espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5314,0350855P,Collège Sainte-Croix,3 rue du Prieure,BP 26,35410,Châteaugiron,Ille-et-Vilaine,Bretagne,Rennes,06/06/2020,09/04/2024
AF.93441,LV1 : anglais / LV2 : espagnol,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.21623,0352972R,Collège Saint-Louis - La Hublais,Avenue de la Hublais,,35510,Cesson-Sévigné,Ille-et-Vilaine,Bretagne,Rennes,05/10/2020,28/10/2020
AF.4164,"LV1 : anglais / LV2 : allemand, espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11813,0350767U,Collège Saint-Magloire,2 rue du Chanoine Boursier,BP 70,35120,Dol-de-Bretagne,Ille-et-Vilaine,Bretagne,Rennes,06/06/2020,06/06/2020
AF.8851,"LV1 : anglais / LV2 : allemand, espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11816,0350891D,Collège Saint-Joseph La Salle,Rue Saint-Jean-Baptiste de la Salle,BP 2,35190,Tinténiac,Ille-et-Vilaine,Bretagne,Rennes,06/06/2020,06/06/2020
AF.3272,"LV1 : anglais / LV2 : allemand, espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17499,0350781J,Collège Notre-Dame du Vieux cours,11 rue de Plélo,,35000,Rennes,Ille-et-Vilaine,Bretagne,Rennes,06/06/2020,06/06/2020
AF.4184,"LV1 : anglais / LV2 : allemand, espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10251,0350963G,Collège les Hautes Ourmes,7 avenue de Pologne,BP 80426,35204,Rennes,Ille-et-Vilaine,Bretagne,Rennes,06/06/2020,06/06/2020
AF.37614,"LV1 : anglais / LV2 : allemand, espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6256,0351849V,Collège Amand Brionne,27 rue de Rennes,BP 95025,35250,Saint-Aubin-d'Aubigné,Ille-et-Vilaine,Bretagne,Rennes,06/06/2020,06/06/2020
AF.49006,"LV1 : anglais / LV2 : allemand, espagnol, italien",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4104,0352260S,Collège François Truffaut,Rue de la Rabine,CS 893138,35830,Betton,Ille-et-Vilaine,Bretagne,Rennes,06/06/2020,06/06/2020
AF.37769,"LV1 : anglais / LV2 : allemand, espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2934,0350057X,Collège Jacques Prévert,Rue René Cutte,BP 3,35850,Romillé,Ille-et-Vilaine,Bretagne,Rennes,06/06/2020,12/04/2024
AF.51092,"LV1 : anglais / LV2 : allemand, chinois, espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16977,0352760K,Collège Germaine Tillion,Biardel,,35520,La Mézière,Ille-et-Vilaine,Bretagne,Rennes,06/06/2020,06/06/2020
AF.54869,"LV1 : anglais / LV2 : allemand, chinois, espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13742,0350835T,Collège La Tour d'Auvergne La Salle,6 rue de la Santé,,35000,Rennes,Ille-et-Vilaine,Bretagne,Rennes,06/06/2020,06/06/2020
AF.79485,"LV1 : anglais / LV2 : allemand, espagnol, italien",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3070,0352958A,Collège Françoise Élie,8 rue de la Costardais,,35310,Bréal-sous-Montfort,Ille-et-Vilaine,Bretagne,Rennes,06/06/2020,06/06/2020
AF.37630,"LV1 : anglais / LV2 : allemand, espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16128,0352248D,Collège Victor Segalen,34 rue Jules Ferry,,35410,Châteaugiron,Ille-et-Vilaine,Bretagne,Rennes,06/06/2020,06/06/2020
AF.21340,"LV1 : anglais / LV2 : allemand, espagnol, italien",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4697,0352030S,Collège Morvan Lebesque,34 avenue Beausejour,BP 116,35310,Mordelles,Ille-et-Vilaine,Bretagne,Rennes,06/06/2020,06/06/2020
AF.79126,"LV1 : anglais / LV2 : allemand, espagnol, italien",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15694,0352691K,Collège Andrée Récipon,6 rue de Pont Péan,,35230,Orgères,Ille-et-Vilaine,Bretagne,Rennes,06/06/2020,06/06/2020
AF.75595,"LV1 : anglais / LV2 : allemand, chinois, espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17551,0353083L,"Collège Saint-Paul (annexe du collège Saint-Joseph, Bruz)",22 avenue de la Mare Guesclin,,35230,Saint-Erblon,Ille-et-Vilaine,Bretagne,Rennes,06/06/2020,06/06/2020
AF.34673,"LV1 : allemand, anglais / LV2 : allemand, anglais, espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19075,0351926D,Centre médical et pédagogique,41 avenue des Buttes de Coësmes,,35700,Rennes,Ille-et-Vilaine,Bretagne,Rennes,06/06/2020,06/06/2020
