bss_id,params_depassement,max_mesure_per_param_depassement,nb_depassement_per_param,max_mesure_per_param_depassement_date,params_quantif,nb_quantif_per_param,famille,x,y,nom_commune,num_departement,alerte_nitrates,count_params_potabilite,codes_masse_eau_edl,count_params_depassement
BSS000XMWA,,,,,6276|6854;;;;1340;1386|1337|1338|1369|1375|1385|7073,1|1;;;;9;2|4|4|4|4|4|4,0;1;2;;4;5,-1.687,48.167,Saint-Grégoire,35,1,0,GG015,0
BSS000ZNFG,,,,,1105|1263|1107|1108|1109|1830|1832|6276|6800|6853|6894|6895|7727|7729|7735;5347|5977|1390|1399|2575|5299|5978|5979|6025|6219|6560|6561|6830;1517|1618;5354|6520|6751;1433|1335|1339|1340;1382|1386|1388|1337|1338|1362|1369|1370|1375|1376|1383|1385|1389|1392|1395|1396|7073,1|8|15|18|3|11|12|2|1|1|1|6|1|1|1;1|1|1|2|2|1|5|1|4|2|3|9|9;2|1;1|2|2;27|18|5|42;21|18|10|33|33|25|29|16|32|20|27|33|15|29|13|26|30,0;1;2;3;4;5,-1.716,48.027,Bruz,35,24,0,GG015,0
BSS000XMWB,,,,,1832|6276|6800;;;;1340;1386|1337|1338|1369|1375|1385|7073,1|1|2;;;;7;4|4|4|4|4|4|4,0;1;2;;4;5,-1.69,48.165,Saint-Grégoire,35,0,0,GG015,0
BSS002GVGE,1907;;;;;,0.245;;;;;,1;;;;;,2016;;;;;,1263|1109|1763|1830|1877|2011|6276;;2013;;1340;1337|1338|1362|1375|7073,10|1|1|7|1|7|10;;1;;8;8|8|8|8|7,0;1;2;;4;5,4.395,43.664,Saint-Gilles,30,8,0,DG101,1
BSS000XMZL,;;;;;1386,;;;;;23,;;;;;1,;;;;;2017,;;;;;1337|1338|1375|7073,;;;;;1|1|1|1,0;1;;;4;5,-1.655,48.195,Betton,35,0,1,GG015,1
BSS002GVEP,;6219;;;;,;6.76;;;;,;3;;;;,;2023;;;;,1263|1109|1141|1221|1678|1814|1830|1877|2011|2045|6276|6384|8865;1462|2610|2766|5347|6616|5299|5978;;6755;1433|1335|1340;1382|1386|1337|1338|1362|1369|1375|1385|1389|1392|1396|7073,40|32|1|1|1|1|12|1|24|2|11|2|1;3|2|4|1|2|3|10;;1;14|5|39;1|1|39|39|12|1|39|3|3|3|3|19,0;1;2;3;4;5,4.394,43.664,Saint-Gilles,30,39,0,DG101,1
BSS002GVFU,;;;;1340;,;;;;82.5;,;;;;26;,;;;;2020;,;;;;;,;;;;;,;;;;4;,4.374,43.688,Saint-Gilles,30,0,0,DG101,1
BSS000XNNN,1832;;;;;,0.12;;;;;,2;;;;;,2017;;;;;,1796|6276|6853|6854;;;;1335|1339;1386|1337|1338|1369|1375|7073,9|7|1|2;;;;7|2;7|7|7|7|7|7,0;1;2;;4;5,-1.748,48.085,Rennes,35,0,0,GG015,1
BSS000ZNFA,1763;;;;;,0.29;;;;;,7;;;;;,2017;;;;;,6276;1286|2963;;;1340;1337|1338|1369|1375|1385|7073,6;7|7;;;8;7|7|6|7|7|7,0;1;2;;4;5,-1.725,48.042,Chartres-de-Bretagne,35,0,0,GG015,1
BSS000VSAV,;;;;;1386,;;;;;25.4,;;;;;2,;;;;;2016,6276|6800|6854|6895;;;;1335;1337|1338|1369|1375|7073,1|1|1|1;;;;1;4|4|4|4|4,0;1;2;;4;5,-1.861,48.263,La Chapelle-Chaussée,35,0,1,GG015,1
BSS000XNMF,1832;;;;;,0.1;;;;;,1;;;;;,2017;;;;;,1796|6276|6853|6854;;;;1335|1339|1340;1386|1337|1338|1369|1375|7073,8|7|2|2;;;;7|2|5;7|7|7|1|7|7,0;1;2;;4;5,-1.748,48.085,Rennes,35,0,0,GG015,1
BSS000XNPE,1796|1832;;;;1335;,0.148|0.18;;;;4.51;,1|10;;;;7;,2020|2021;;;;2021;,1177|6276|6800|6853|6854|6894|6895;;;;1340;1386|1337|1338|1369|1375|7073,7|7|1|2|2|1|1;;;;1;7|7|7|7|7|7,0;1;2;;4;5,-1.749,48.085,Rennes,35,0,1,GG015,3
BSS000ZNQX,1263|2011|6276;;;;;,0.12|0.195|0.51;;;;;,1|2|2;;;;;,2019|2021|2021;;;;;,1177|1107|1108|1109|1763|1830|1832|7717;1272|1286|2963;;;1340;1337|1338|1369|1375|1385|7073,8|9|9|9|2|1|7|1;6|5|6;;;10;4|4|4|4|4|4,0;1;2;;4;5,-1.712,48.037,Bruz,35,9,0,GG015,3
BSS002GVHN,1141|1221|1965|2011;;;;;,0.51|0.26|0.75|0.13;;;;;,1|1|1|2;;;;;,2017|2017|2017|2018;;;;;,1113|1263|2076|1107|1108|1109|1506|1666|1678|1830|1877|1905|2045|2929|6276|1907;1462|2610|2766|5347|6616|7594|1390|1399|1752|5978|6219|6560|6561|6618|6830;;5350;1433|1335|1340;1382|1386|1388|1337|1338|1362|1369|1370|1375|1383|1385|1389|1392|1395|1396|7073,6|34|1|37|34|27|1|19|1|28|1|1|31|2|7|1;4|3|2|3|2|1|1|3|4|9|4|1|1|1|4;;1;12|3|35;6|5|2|34|34|9|6|1|34|6|6|6|6|2|6|14,0;1;2;3;4;5,4.44,43.681,Saint-Gilles,30,35,0,DG323,4
BSS000XMVZ,;1292|2925;;;1335|1339|1340;,;0.92|1.9;;;0.8|17.3|61;,;1|1;;;1|2|40;,;2022|2022;;;2022|2022|2016;,1107|1108|1506|6393|6800|6854|6895|7727;1278|1549|1924|1958|2610|2766|5977|1390|1399|1497|1959|5299|5978|6025|6561|6618|6830;1517|1621|1118|1191|1204|1524|1537|1618|1623|1453;5350|5354|5424|6520|6751;1433;1382|1386|1388|1337|1338|1362|1369|1370|1375|1376|1383|1385|1389|1392|1395|1396|7073,7|16|1|1|3|3|1|1;1|4|2|1|3|1|1|1|3|1|1|2|1|1|1|1|1;5|1|1|4|1|7|6|1|2|2;2|1|1|1|1;14;28|30|29|30|30|20|17|18|30|1|29|26|7|28|1|26|27,0;1;2;3;4;5,-1.655,48.195,Betton,35,0,0,GG015,5
