X,Y,objectid,nomstr,adr,ville,cp,web,tel,mail,equip,statut,nbani,jrhrouv,tarif,acc,acclib,deptech,rechemp,cpbur,cpweb,fabnum,demdemat,atcultnum,accindi,acccoll,createur,date_creation,editeur,der_date_edit,etiserv,etiacc,source,wifi,actj,actsen,actrechemp,actretempfem,actpersetr,acctspublic,cdag,etiact,globalid,idet,olundi,omardi,omercredi,ojeudi,ovendredi,osamedi,odimanche,hlundm,hlunfm,hlundam,hlunfam,hmardm,hmarfm,hmardam,hmarfam,hmerdm,hmerfm,hmerdam,hmerfam,hjeudm,hjeufm,hjeudam,hjeufam,hvendm,hvenfm,hvendam,hvenfam,hsamdm,hsamfm,hsamdam,hsamfam,hdimdm,hdimfm,hdimdam,hdimfam,hvac,parc_acces,parc_diag,parc_sensib,parc_assist,parc_former,parc_orient
355573.547300072,6787494.04420117,1,Pôle Emploi Agence Rennes Est,"22, rue du Bignon",RENNES,35000,http://www.pole-emploi.fr,3949,ale.rennesest@pole-emploi.fr,,Etablissement de l'Etat,0,"Du lundi au vendredi : 8h30-12h30 en accès libre - lundi, mardi, mercredi : 12h30-16h30 sur rendez-vous, vendredi : 12h30-15h30, jeudi après-midi fermé",,,,,,,,,,,,,CG35Admin,2023/11/02 07:35:45.664+00,CG35Admin,2023/11/02 07:35:45.664+00,,,cplt_WTC,,,,,,,,7,,747b5eb3-5955-4be8-aeb1-9eac9cb58484,EN-422-7-35000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349391.308900069,6788079.93600117,35,UEAJ Rennes,16 square louis et maurice de broglie,RENNES,35000,,0299309040,ueaj-rennes@justice.fr,,,1,,,,,,,,,,,,,,CG35Admin,2023/11/02 07:35:45.664+00,CG35Admin,2023/11/02 07:35:45.664+00,,,NETPUBLIC,,,,,,,,7,,b6b0e009-e58b-46b9-bf67-6ef6490296a0,EN-296-7-35000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355844.42750007,6790078.49850117,39,TéléFab Rennes,2 rue de la châtaigneraie,CESSON-SEVIGNE,35510,http://telefab.fr,,contact@telefab.fr,,,0,,,,,,,,,1,,,,,CG35Admin,2023/11/02 07:35:45.664+00,CG35Admin,2023/11/02 07:35:45.664+00,"Fabrication numérique (Fablab ,imprimante 3D,…)",,maplabbzh,,,,,,,,7,,f424de3e-48ae-4132-8a24-f1ab61b5ccf2,EN-350-7-35510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349303.520200069,6790677.46670116,53,Archipel Habitat - Agence Rennes ouest,25 bis rue de Gascogne,RENNES,35000,http://www.archipel-habitat.fr,0299339087,contact@archipel-habitat.fr,,Collectivité publique,0,Lundi au vendredi : 8h30-17h,,,,,,,,,,,,,CG35Admin,2023/11/02 07:35:45.664+00,CG35Admin,2023/11/02 07:35:45.664+00,,,cplt_WTC,,,,,,,,7,,dfe06081-7076-4708-99d2-9c807fcad9a1,EN-497-7-35000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349598.816700066,6789983.15990116,56,SA HLM Les Foyers,"5, rue de Vezin",RENNES,35000,http://www.sahlm-lesfoyers.com,0299845555,contact@sahlm-lesfoyers.com,,Acteur privé,0,"Lundi au vendredi : 8h15-12h30, 13h30-18h",,,,,,,,,,,,,CG35Admin,2023/11/02 07:35:45.664+00,CG35Admin,2023/11/02 07:35:45.664+00,,,cplt_WTC,,,,,,,,7,,1baed497-4354-40a9-9564-aeaa50241d7a,EN-486-7-35000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352078.57090007,6788598.28010117,59,Chambre de métiers et de l'artisanat d'Ille-et-Vilaine (CMA),"2, cours des Alliés",RENNES,35000,http://www.cma35.bzh,0299653200,clea@cma-rennes.fr,,Acteur privé,0,"Lundi au jeudi : 8h30-17h30, vendredi : 10h-17h30",,,,,,,,,,,,,CG35Admin,2023/11/02 07:35:45.664+00,CG35Admin,2023/11/02 07:35:45.664+00,,,cplt_WTC,,,,,,,,7,,6cdde80f-2d7f-4c4e-b7f8-e7d5390e326e,EN-500-7-35000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353979.09160007,6787426.65300117,65,Aiguillon Construction,"117, rue de Vern",RENNES,35200,http://www.aiguillon-construction.fr,0299264444,contact@aiguillon.com,,Collectivité publique,0,Lundi au vendredi : 8h30-12h00 et 13h30-18h,,,,,,,,,,,,,CG35Admin,2023/11/02 07:35:45.664+00,CG35Admin,2023/11/02 07:35:45.664+00,,,cplt_WTC,,,,,,,,7,,98a35d22-f063-44cf-8f17-123947235daf,EN-495-7-35200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353601.739300066,6791158.67000116,66,Espacil Habitat - Agence Rennes Nord,7 rue Poullart des Places,RENNES,35700,https://www.espacil-habitat.fr/,0223200220,,,Structure associative,0,,,,,,,,,,,,,,CG35Admin,2023/11/02 07:35:45.664+00,CG35Admin,2023/11/02 07:35:45.664+00,,,cplt_WTC,,,,,,,,7,,01953bb6-abf0-41a2-ac0e-40cf43027f2c,EN-494-7-35700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354399.127600068,6786604.06100117,69,Espacil Habitat - Agence Rennes Sud,207 rue de Vern,RENNES,35200,https://www.espacil-habitat.fr/,0299507768,,,Structure associative,0,,,,,,,,,,,,,,CG35Admin,2023/11/02 07:35:45.664+00,CG35Admin,2023/11/02 07:35:45.664+00,,,cplt_WTC,,,,,,,,7,,b1786425-3d03-473e-9802-63d0cab33f8f,EN-493-7-35200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349829.536600071,6790512.44240117,72,Espacil Habitat - Agence Rennes Ouest,27 avenue Winston Churchill,RENNES,35000,https://www.espacil-habitat.fr/,0299598257,,,Structure associative,0,,,,,,,,,,,,,,CG35Admin,2023/11/02 07:35:45.664+00,CG35Admin,2023/11/02 07:35:45.664+00,,,cplt_WTC,,,,,,,,7,,c806b4fc-4ef3-4664-833a-eb02e4c3e975,EN-492-7-35000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356415.460300066,6791957.31100116,73,Espacil Habitat - Agence La Bretilienne,15 rue Claude Chappe,CESSON-SEVIGNE,35510,https://www.espacil-habitat.fr/,0299283986,,,Structure associative,0,,,,,,,,,,,,,,CG35Admin,2023/11/02 07:35:45.664+00,CG35Admin,2023/11/02 07:35:45.664+00,,,cplt_WTC,,,,,,,,7,,93b6d63a-3d42-4c29-972f-97e04e1d686d,EN-491-7-35510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356162.735500069,6788122.73590117,85,ETIC-CENTER COWORK,9 rue des charmilles,CESSON-SEVIGNE,35510,,0223355210,coworking@etic-center.com,,,0,,,,,,,,,,,,,,CG35Admin,2023/11/02 07:35:45.664+00,CG35Admin,2023/11/02 07:35:45.664+00,,,NETPUBLIC,,,,,,,,7,,551fc1fe-7c2e-4f32-b973-62ae50f1542e,EN-352-7-35510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355299.509600067,6788035.01290117,86,Secours populaire français - fédération d'Ille-et-Vilaine,"14, rue des veyettes",RENNES,35000,http://www.spf35.org,0299533141,contact@spf35.org,,Structure associative,0,"Lundi au vendredi : 9h-12h00, 14h-17h00",,,,,,,,,,,,,CG35Admin,2023/11/02 07:35:45.664+00,CG35Admin,2023/11/02 07:35:45.664+00,,,cplt_WTC,,,,,,,,7,,2c035e95-69b6-4449-ad00-f2c35751d632,EN-462-7-35000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352857.531500066,6790671.87020116,90,Cadets de Bretagne,139 rue d'Antrain,RENNES,35700,https://cadets.fr/,06 77 76 96 93,accueil@cadets.fr,"7 ordinateurs portables, une imprimante, un smartphone, un vidéo-projecteur.",Structure associative,1,,Gratuit,"Bus C3, arrêt Volney. Ligne B du métro, arrête Gros-Chêne. À 10 minutes à pied du centre-ville.",1,1,1,1,1,0,1,1,1,1,CG35Admin,2023/11/02 07:35:45.664+00,CG35Admin,2023/11/02 07:35:45.664+00,"Accès libre - Dépannage technique - Recherche d’emploi - Compétences bureautiques - Compétence de base internet - Aide aux démarches administratives dématérialisées - Ateliers culture numérique (photo, réseaux sociaux)",Individuel et Collectif,,1,1,1,1,,1,1,7,Jeunes - Séniors - Demandeurs d'emploi - Personnes étrangères,145f469f-789e-4376-8528-537cca9cade8,EN-969-7-35700,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1
352238.190400066,6789534.96850117,93,Muséomix Ouest,Musée de la bretagne 10 cours des alliés,RENNES,35000,http://www.museomix.org,,,,,0,,,,,,,,,1,,,,,CG35Admin,2023/11/02 07:35:45.664+00,CG35Admin,2023/11/02 07:35:45.664+00,"Fabrication numérique (Fablab ,imprimante 3D,…)",,maplabbzh,,,,,,,,7,,db3df945-58fe-4589-b52f-e1e8e7079bf3,EN-291-7-35000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
