Code département,Libellé département,Code commune,Libellé commune,Code BV,Inscrits,Votants,% Votants,Abstentions,% Abstentions,Exprimés,% Exprimés/inscrits,% Exprimés/votants,Blancs,% Blancs/inscrits,% Blancs/votants,Nuls,% Nuls/inscrits,% Nuls/votants,Numéro de panneau 1,Nuance candidat 1,Nom candidat 1,Prénom candidat 1,Sexe candidat 1,Voix 1,% Voix/inscrits 1,% Voix/exprimés 1,Elu 1,Numéro de panneau 2,Nuance candidat 2,Nom candidat 2,Prénom candidat 2,Sexe candidat 2,Voix 2,% Voix/inscrits 2,% Voix/exprimés 2,Elu 2,Numéro de panneau 3,Nuance candidat 3,Nom candidat 3,Prénom candidat 3,Sexe candidat 3,Voix 3,% Voix/inscrits 3,% Voix/exprimés 3,Elu 3,Numéro de panneau 4,Nuance candidat 4,Nom candidat 4,Prénom candidat 4,Sexe candidat 4,Voix 4,% Voix/inscrits 4,% Voix/exprimés 4,Elu 4,Numéro de panneau 5,Nuance candidat 5,Nom candidat 5,Prénom candidat 5,Sexe candidat 5,Voix 5,% Voix/inscrits 5,% Voix/exprimés 5,Elu 5,Numéro de panneau 6,Nuance candidat 6,Nom candidat 6,Prénom candidat 6,Sexe candidat 6,Voix 6,% Voix/inscrits 6,% Voix/exprimés 6,Elu 6,Numéro de panneau 7,Nuance candidat 7,Nom candidat 7,Prénom candidat 7,Sexe candidat 7,Voix 7,% Voix/inscrits 7,% Voix/exprimés 7,Elu 7,Numéro de panneau 8,Nuance candidat 8,Nom candidat 8,Prénom candidat 8,Sexe candidat 8,Voix 8,% Voix/inscrits 8,% Voix/exprimés 8,Elu 8,Numéro de panneau 9,Nuance candidat 9,Nom candidat 9,Prénom candidat 9,Sexe candidat 9,Voix 9,% Voix/inscrits 9,% Voix/exprimés 9,Elu 9,Numéro de panneau 10,Nuance candidat 10,Nom candidat 10,Prénom candidat 10,Sexe candidat 10,Voix 10,% Voix/inscrits 10,% Voix/exprimés 10,Elu 10,Numéro de panneau 11,Nuance candidat 11,Nom candidat 11,Prénom candidat 11,Sexe candidat 11,Voix 11,% Voix/inscrits 11,% Voix/exprimés 11,Elu 11,Numéro de panneau 12,Nuance candidat 12,Nom candidat 12,Prénom candidat 12,Sexe candidat 12,Voix 12,% Voix/inscrits 12,% Voix/exprimés 12,Elu 12,Numéro de panneau 13,Nuance candidat 13,Nom candidat 13,Prénom candidat 13,Sexe candidat 13,Voix 13,% Voix/inscrits 13,% Voix/exprimés 13,Elu 13,Numéro de panneau 14,Nuance candidat 14,Nom candidat 14,Prénom candidat 14,Sexe candidat 14,Voix 14,% Voix/inscrits 14,% Voix/exprimés 14,Elu 14,Numéro de panneau 15,Nuance candidat 15,Nom candidat 15,Prénom candidat 15,Sexe candidat 15,Voix 15,% Voix/inscrits 15,% Voix/exprimés 15,Elu 15,Numéro de panneau 16,Nuance candidat 16,Nom candidat 16,Prénom candidat 16,Sexe candidat 16,Voix 16,% Voix/inscrits 16,% Voix/exprimés 16,Elu 16,Numéro de panneau 17,Nuance candidat 17,Nom candidat 17,Prénom candidat 17,Sexe candidat 17,Voix 17,% Voix/inscrits 17,% Voix/exprimés 17,Elu 17,Numéro de panneau 18,Nuance candidat 18,Nom candidat 18,Prénom candidat 18,Sexe candidat 18,Voix 18,% Voix/inscrits 18,% Voix/exprimés 18,Elu 18,Numéro de panneau 19,Nuance candidat 19,Nom candidat 19,Prénom candidat 19,Sexe candidat 19,Voix 19,% Voix/inscrits 19,% Voix/exprimés 19,Elu 19
35,Ille-et-Vilaine,35001,Acigné,1,928,706,"76,08%",222,"23,92%",695,"74,89%","98,44%",8,"0,86%","1,13%",3,"0,32%","0,42%",1,EXG,DEFRANCE,Florence,FEMININ,6,"0,65%","0,86%",,2,LR,DECOURCELLE,Christophe,MASCULIN,55,"5,93%","7,91%",,3,ENS,MAILLART-MÉHAIGNERIE,Laurence,FEMININ,231,"24,89%","33,24%",,4,RN,VANHAECKE,Bérénice,FEMININ,122,"13,15%","17,55%",,5,UG,LAHAIS,Tristan,MASCULIN,281,"30,28%","40,43%",,6,ECO,HANNE,Olivier,MASCULIN,0,"0,00%","0,00%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Ille-et-Vilaine,35001,Acigné,2,912,707,"77,52%",205,"22,48%",696,"76,32%","98,44%",9,"0,99%","1,27%",2,"0,22%","0,28%",1,EXG,DEFRANCE,Florence,FEMININ,5,"0,55%","0,72%",,2,LR,DECOURCELLE,Christophe,MASCULIN,44,"4,82%","6,32%",,3,ENS,MAILLART-MÉHAIGNERIE,Laurence,FEMININ,223,"24,45%","32,04%",,4,RN,VANHAECKE,Bérénice,FEMININ,103,"11,29%","14,80%",,5,UG,LAHAIS,Tristan,MASCULIN,321,"35,20%","46,12%",,6,ECO,HANNE,Olivier,MASCULIN,0,"0,00%","0,00%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Ille-et-Vilaine,35001,Acigné,3,956,727,"76,05%",229,"23,95%",712,"74,48%","97,94%",10,"1,05%","1,38%",5,"0,52%","0,69%",1,EXG,DEFRANCE,Florence,FEMININ,16,"1,67%","2,25%",,2,LR,DECOURCELLE,Christophe,MASCULIN,30,"3,14%","4,21%",,3,ENS,MAILLART-MÉHAIGNERIE,Laurence,FEMININ,265,"27,72%","37,22%",,4,RN,VANHAECKE,Bérénice,FEMININ,113,"11,82%","15,87%",,5,UG,LAHAIS,Tristan,MASCULIN,287,"30,02%","40,31%",,6,ECO,HANNE,Olivier,MASCULIN,1,"0,10%","0,14%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Ille-et-Vilaine,35001,Acigné,4,914,730,"79,87%",184,"20,13%",717,"78,45%","98,22%",10,"1,09%","1,37%",3,"0,33%","0,41%",1,EXG,DEFRANCE,Florence,FEMININ,12,"1,31%","1,67%",,2,LR,DECOURCELLE,Christophe,MASCULIN,38,"4,16%","5,30%",,3,ENS,MAILLART-MÉHAIGNERIE,Laurence,FEMININ,208,"22,76%","29,01%",,4,RN,VANHAECKE,Bérénice,FEMININ,130,"14,22%","18,13%",,5,UG,LAHAIS,Tristan,MASCULIN,329,"36,00%","45,89%",,6,ECO,HANNE,Olivier,MASCULIN,0,"0,00%","0,00%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Ille-et-Vilaine,35001,Acigné,5,914,743,"81,29%",171,"18,71%",728,"79,65%","97,98%",12,"1,31%","1,62%",3,"0,33%","0,40%",1,EXG,DEFRANCE,Florence,FEMININ,11,"1,20%","1,51%",,2,LR,DECOURCELLE,Christophe,MASCULIN,41,"4,49%","5,63%",,3,ENS,MAILLART-MÉHAIGNERIE,Laurence,FEMININ,202,"22,10%","27,75%",,4,RN,VANHAECKE,Bérénice,FEMININ,101,"11,05%","13,87%",,5,UG,LAHAIS,Tristan,MASCULIN,373,"40,81%","51,24%",,6,ECO,HANNE,Olivier,MASCULIN,0,"0,00%","0,00%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Ille-et-Vilaine,35001,Acigné,6,871,655,"75,20%",216,"24,80%",640,"73,48%","97,71%",12,"1,38%","1,83%",3,"0,34%","0,46%",1,EXG,DEFRANCE,Florence,FEMININ,9,"1,03%","1,41%",,2,LR,DECOURCELLE,Christophe,MASCULIN,38,"4,36%","5,94%",,3,ENS,MAILLART-MÉHAIGNERIE,Laurence,FEMININ,224,"25,72%","35,00%",,4,RN,VANHAECKE,Bérénice,FEMININ,96,"11,02%","15,00%",,5,UG,LAHAIS,Tristan,MASCULIN,272,"31,23%","42,50%",,6,ECO,HANNE,Olivier,MASCULIN,1,"0,11%","0,16%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Ille-et-Vilaine,35022,Bécherel,1,494,383,"77,53%",111,"22,47%",377,"76,32%","98,43%",4,"0,81%","1,04%",2,"0,40%","0,52%",1,RN,D'ORSANNE,Virginie,FEMININ,101,"20,45%","26,79%",,2,ENS,FAILLÉ,Charlotte,FEMININ,89,"18,02%","23,61%",,3,EXG,AMISSE,Jean-Louis,MASCULIN,8,"1,62%","2,12%",,4,UG,ROUAUX,Claudia,FEMININ,164,"33,20%","43,50%",,5,REG,GUIHARD,Mathieu,MASCULIN,4,"0,81%","1,06%",,6,DVD,ROULET,Victor,MASCULIN,11,"2,23%","2,92%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Ille-et-Vilaine,35024,Betton,1,825,639,"77,45%",186,"22,55%",629,"76,24%","98,44%",4,"0,48%","0,63%",6,"0,73%","0,94%",1,EXG,DEFRANCE,Florence,FEMININ,9,"1,09%","1,43%",,2,LR,DECOURCELLE,Christophe,MASCULIN,38,"4,61%","6,04%",,3,ENS,MAILLART-MÉHAIGNERIE,Laurence,FEMININ,202,"24,48%","32,11%",,4,RN,VANHAECKE,Bérénice,FEMININ,87,"10,55%","13,83%",,5,UG,LAHAIS,Tristan,MASCULIN,291,"35,27%","46,26%",,6,ECO,HANNE,Olivier,MASCULIN,2,"0,24%","0,32%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Ille-et-Vilaine,35024,Betton,2,949,722,"76,08%",227,"23,92%",711,"74,92%","98,48%",7,"0,74%","0,97%",4,"0,42%","0,55%",1,EXG,DEFRANCE,Florence,FEMININ,4,"0,42%","0,56%",,2,LR,DECOURCELLE,Christophe,MASCULIN,45,"4,74%","6,33%",,3,ENS,MAILLART-MÉHAIGNERIE,Laurence,FEMININ,252,"26,55%","35,44%",,4,RN,VANHAECKE,Bérénice,FEMININ,145,"15,28%","20,39%",,5,UG,LAHAIS,Tristan,MASCULIN,265,"27,92%","37,27%",,6,ECO,HANNE,Olivier,MASCULIN,0,"0,00%","0,00%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Ille-et-Vilaine,35024,Betton,3,829,629,"75,87%",200,"24,13%",617,"74,43%","98,09%",7,"0,84%","1,11%",5,"0,60%","0,79%",1,EXG,DEFRANCE,Florence,FEMININ,5,"0,60%","0,81%",,2,LR,DECOURCELLE,Christophe,MASCULIN,38,"4,58%","6,16%",,3,ENS,MAILLART-MÉHAIGNERIE,Laurence,FEMININ,201,"24,25%","32,58%",,4,RN,VANHAECKE,Bérénice,FEMININ,108,"13,03%","17,50%",,5,UG,LAHAIS,Tristan,MASCULIN,265,"31,97%","42,95%",,6,ECO,HANNE,Olivier,MASCULIN,0,"0,00%","0,00%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
