Code département,Libellé département,Code commune,Libellé commune,Code BV,Inscrits,Votants,% Votants,Abstentions,% Abstentions,Exprimés,% Exprimés/inscrits,% Exprimés/votants,Blancs,% Blancs/inscrits,% Blancs/votants,Nuls,% Nuls/inscrits,% Nuls/votants,Numéro de panneau 1,Nuance candidat 1,Nom candidat 1,Prénom candidat 1,Sexe candidat 1,Voix 1,% Voix/inscrits 1,% Voix/exprimés 1,Elu 1,Numéro de panneau 2,Nuance candidat 2,Nom candidat 2,Prénom candidat 2,Sexe candidat 2,Voix 2,% Voix/inscrits 2,% Voix/exprimés 2,Elu 2,Numéro de panneau 3,Nuance candidat 3,Nom candidat 3,Prénom candidat 3,Sexe candidat 3,Voix 3,% Voix/inscrits 3,% Voix/exprimés 3,Elu 3,Numéro de panneau 4,Nuance candidat 4,Nom candidat 4,Prénom candidat 4,Sexe candidat 4,Voix 4,% Voix/inscrits 4,% Voix/exprimés 4,Elu 4
35,Ille-et-Vilaine,35001,Acigné,0001,928,710,"76,51%",218,"23,49%",694,"74,78%","97,75%",13,"1,40%","1,83%",3,"0,32%","0,42%",3,ENS,MAILLART-MÉHAIGNERIE,Laurence,FEMININ,263,"28,34%","37,90%",,4,RN,VANHAECKE,Bérénice,FEMININ,128,"13,79%","18,44%",,5,UG,LAHAIS,Tristan,MASCULIN,303,"32,65%","43,66%",élu,,,,,,,,,
35,Ille-et-Vilaine,35001,Acigné,0002,912,700,"76,75%",212,"23,25%",678,"74,34%","96,86%",17,"1,86%","2,43%",5,"0,55%","0,71%",3,ENS,MAILLART-MÉHAIGNERIE,Laurence,FEMININ,241,"26,43%","35,55%",,4,RN,VANHAECKE,Bérénice,FEMININ,100,"10,96%","14,75%",,5,UG,LAHAIS,Tristan,MASCULIN,337,"36,95%","49,71%",élu,,,,,,,,,
35,Ille-et-Vilaine,35001,Acigné,0003,956,728,"76,15%",228,"23,85%",713,"74,58%","97,94%",12,"1,26%","1,65%",3,"0,31%","0,41%",3,ENS,MAILLART-MÉHAIGNERIE,Laurence,FEMININ,304,"31,80%","42,64%",,4,RN,VANHAECKE,Bérénice,FEMININ,93,"9,73%","13,04%",,5,UG,LAHAIS,Tristan,MASCULIN,316,"33,05%","44,32%",élu,,,,,,,,,
35,Ille-et-Vilaine,35001,Acigné,0004,914,723,"79,10%",191,"20,90%",710,"77,68%","98,20%",11,"1,20%","1,52%",2,"0,22%","0,28%",3,ENS,MAILLART-MÉHAIGNERIE,Laurence,FEMININ,227,"24,84%","31,97%",,4,RN,VANHAECKE,Bérénice,FEMININ,118,"12,91%","16,62%",,5,UG,LAHAIS,Tristan,MASCULIN,365,"39,93%","51,41%",élu,,,,,,,,,
35,Ille-et-Vilaine,35001,Acigné,0005,915,734,"80,22%",181,"19,78%",721,"78,80%","98,23%",10,"1,09%","1,36%",3,"0,33%","0,41%",3,ENS,MAILLART-MÉHAIGNERIE,Laurence,FEMININ,220,"24,04%","30,51%",,4,RN,VANHAECKE,Bérénice,FEMININ,109,"11,91%","15,12%",,5,UG,LAHAIS,Tristan,MASCULIN,392,"42,84%","54,37%",élu,,,,,,,,,
35,Ille-et-Vilaine,35001,Acigné,0006,871,666,"76,46%",205,"23,54%",659,"75,66%","98,95%",5,"0,57%","0,75%",2,"0,23%","0,30%",3,ENS,MAILLART-MÉHAIGNERIE,Laurence,FEMININ,258,"29,62%","39,15%",,4,RN,VANHAECKE,Bérénice,FEMININ,102,"11,71%","15,48%",,5,UG,LAHAIS,Tristan,MASCULIN,299,"34,33%","45,37%",élu,,,,,,,,,
35,Ille-et-Vilaine,35022,Bécherel,0001,494,376,"76,11%",118,"23,89%",369,"74,70%","98,14%",6,"1,21%","1,60%",1,"0,20%","0,27%",1,RN,D'ORSANNE,Virginie,FEMININ,100,"20,24%","27,10%",,2,ENS,FAILLÉ,Charlotte,FEMININ,85,"17,21%","23,04%",,4,UG,ROUAUX,Claudia,FEMININ,184,"37,25%","49,86%",élu,,,,,,,,,
35,Ille-et-Vilaine,35024,Betton,0001,826,630,"76,27%",196,"23,73%",621,"75,18%","98,57%",8,"0,97%","1,27%",1,"0,12%","0,16%",3,ENS,MAILLART-MÉHAIGNERIE,Laurence,FEMININ,226,"27,36%","36,39%",,4,RN,VANHAECKE,Bérénice,FEMININ,76,"9,20%","12,24%",,5,UG,LAHAIS,Tristan,MASCULIN,319,"38,62%","51,37%",élu,,,,,,,,,
35,Ille-et-Vilaine,35024,Betton,0002,949,716,"75,45%",233,"24,55%",700,"73,76%","97,77%",13,"1,37%","1,82%",3,"0,32%","0,42%",3,ENS,MAILLART-MÉHAIGNERIE,Laurence,FEMININ,288,"30,35%","41,14%",,4,RN,VANHAECKE,Bérénice,FEMININ,122,"12,86%","17,43%",,5,UG,LAHAIS,Tristan,MASCULIN,290,"30,56%","41,43%",élu,,,,,,,,,
35,Ille-et-Vilaine,35024,Betton,0003,830,618,"74,46%",212,"25,54%",606,"73,01%","98,06%",7,"0,84%","1,13%",5,"0,60%","0,81%",3,ENS,MAILLART-MÉHAIGNERIE,Laurence,FEMININ,231,"27,83%","38,12%",,4,RN,VANHAECKE,Bérénice,FEMININ,101,"12,17%","16,67%",,5,UG,LAHAIS,Tristan,MASCULIN,274,"33,01%","45,21%",élu,,,,,,,,,
