Identifiant,URL,Titre,Description,Description longue,Détail des conditions,Mots clés,Dernière mise à jour,Résumé horaires,Première date - Début,Première date - Fin,Dernière date - Début,Dernière date - Fin,Code d'accessibilité,Accessibilité,Identifiant du lieu,Coordonnées géographiques,Nom du lieu,Adresse,Arrondissement,Code INSEE,Code postal,Ville,Région,Département,Pays,Site web du lieu,Liens du lieu,Tags du lieu,Description du lieu,Accès / Itinéraire,Lien d'accès en ligne,Age minimum,Age maximum,Agenda d'origine (titre),Agenda d'origine (uid),Catégorie,Nom du pays
30990334,https://openagenda.com/jep/events/chiffre-decryptez-devinez-defendez-entrez-dans-le-jeu-du-secret,"Chiffré / Décryptez, devinez, défendez : entrez dans le jeu du secret","Cette année le musée des Transmissions vous invite à explorer le thème ""CHIFFRÉ"" avec un programme interactif et captivant : ""Décryptez, devinez, défendez : entrez dans le jeu du secret"". Plongez du …","Cette année le musée des Transmissions vous invite à explorer le thème ""CHIFFRÉ"" avec un programme interactif et captivant : ""Décryptez, devinez, défendez : entrez dans le jeu du secret"". Plongez dans l'univers fascinant du chiffrement à travers des visites guidées, des tables rondes avec des experts, un escape game immersif et des jeux chiffrés pour tous les âges.<br>Une journée inoubliable de découvertes et de défis vous attend.",parking gratuit,,2025-07-15T14:21:04+00:00,20 et 21 septembre,2025-09-20T08:00:00+00:00,2025-09-20T16:00:00+00:00,2025-09-21T08:00:00+00:00,2025-09-21T16:00:00+00:00,,,99798460,"48.120438, -1.624003",Espace Ferrié - Musée des transmissions,"6 avenue de la Boulais, 35510 Cesson-Sévigné",,35051,35510,Cesson-Sévigné,Bretagne,Ille-et-Vilaine,FR,http://www.espaceferrie.fr,,"Édifice industriel, scientifique et technique;Urbanisme et espaces aménagés",Musée dédié aux Télécoms. L'Espace Ferrié montre de façon ludique et interactive l'évolution historique et technologique des moyens de communication civils et militaires.,Accès métro ou bus : Métro - Ligne B puis 10 mn de marche  / Ligne de bus : Numéro C4 - Arrêt Becquerel ou Atalante puis 5 - 10mn de marche environ suivant l'arrêt,,,,Journées européennes du patrimoine 2025 : Bretagne,8474967,,France (Métropole)
74235417,https://openagenda.com/jep/events/1153893,"""Nous sommes tous""",\- spectacle (à partir 12 ans) -,"- spectacle (à partir 12 ans) -<br>En 1986, Guillaume a 16 ans. « Première, deuxième, troisième génération, nous sommes tous des enfants d’immigrés ! » Mais elle vient d’où sa troisième génération à lui ? Il a besoin de le savoir. Alors il s’y met. Il se lance dans la généalogie. Pour savoir. D’où il vient. Le Brésil ? Le Mali ? La Suisse ? La Thaïlande ? Quel ailleurs ? En 2025 il a 55 ans, et beaucoup de choses à raconter.<br><em>Organisé en partenariat avec la Compagnie La Bricole.</em>","Gratuit, réservation obligatoire en ligne.",,2025-07-25T07:05:28+00:00,"Samedi 20 septembre, 18h00",2025-09-20T16:00:00+00:00,2025-09-20T17:30:00+00:00,2025-09-20T16:00:00+00:00,2025-09-20T17:30:00+00:00,mi,handicap moteur,76399901,"48.119676, -1.671044",Archives municipales,"18 Avenue Jules Ferry, 35700 Rennes, France",Thabor - Saint-Hélier - Alphonse Guérin,35238,35700,Rennes,Bretagne,Ille-et-Vilaine,FR,http://www.archives.rennes.fr,https://twitter.com/ArchivesRennes,Archives,,Privilégiez les mobilités douces pour vous déplacer jusqu'aux Archives de Rennes.,,,,Journées européennes du patrimoine 2025 : Bretagne,8474967,,France (Métropole)
24869914,https://openagenda.com/jep/events/escape-game-8471362,Escape-game,"Arriverez-vous à vous échapper de ce nouvel escape game au sein des Archives ? Oui, à condition de décrypter des énigmes et de résoudre des mystères en lien avec l’histoire et les archives…","Arriverez-vous à vous échapper de ce nouvel escape game au sein des Archives ? Oui, à condition de décrypter des énigmes et de résoudre des mystères en lien avec l’histoire et les archives…","Nombre limité de places / À partir de 10 ans (accompagné d’un adulte) - 
Durée entre 30 et 40 minutes - Sur inscription :",,2025-07-25T07:05:53+00:00,20 et 21 septembre,2025-09-20T11:30:00+00:00,2025-09-20T16:00:00+00:00,2025-09-21T11:30:00+00:00,2025-09-21T16:00:00+00:00,,,78599250,"48.128973, -1.693851",Archives départementales d'Ille et Vilaine,"1 Rue Jacques Léonard, 35000 Rennes, France",Quartiers Nord-Ouest,35238,35000,Rennes,Bretagne,Ille-et-Vilaine,FR,https://archives.ille-et-vilaine.fr,https://www.facebook.com/archives35/,Archives,,,,,,Journées européennes du patrimoine 2025 : Bretagne,8474967,,France (Métropole)
79462308,https://openagenda.com/jep/events/poussez-les-portes-des-archives-departementales-dille-et-vilaine,Poussez les portes des Archives départementales d'Ille-et-Vilaine,Suivez un∙e archiviste passionné∙e pour découvrir les secrets du bâtiment et des archives qui sont conservées dans ces murs.,"Suivez un∙e archiviste passionné∙e pour découvrir les secrets du bâtiment et des archives qui sont conservées dans ces murs.<br>Deux visites ludiques, adaptées aux enfants, seront proposées chaque après-midi.","Visites Jeune Public : Sur inscription à l’accueil le jour-même, enfants de 8 à 12 ans accompagnés d’un adulte ; Rdv dans le hall principal du bâtiment.",,2025-07-25T08:58:07+00:00,20 et 21 septembre,2025-09-20T11:30:00+00:00,2025-09-20T16:00:00+00:00,2025-09-21T11:30:00+00:00,2025-09-21T16:00:00+00:00,,,78599250,"48.128973, -1.693851",Archives départementales d'Ille et Vilaine,"1 Rue Jacques Léonard, 35000 Rennes, France",Quartiers Nord-Ouest,35238,35000,Rennes,Bretagne,Ille-et-Vilaine,FR,https://archives.ille-et-vilaine.fr,https://www.facebook.com/archives35/,Archives,,,,,,Journées européennes du patrimoine 2025 : Bretagne,8474967,,France (Métropole)
83883870,https://openagenda.com/jep/events/visite-de-la-peniche-spectacle,Visite de la Péniche Spectacle,"Embarquez à bord des Péniches La Dame Blanche et L’Arbre d’eau ! Construites à l’origine pour naviguer et transporter du sable, ces bateaux ont été transformés en 1985 en véritable salles de et lieu …","Embarquez à bord des Péniches La Dame Blanche et L’Arbre d’eau ! Construites à l’origine pour naviguer et transporter du sable, ces bateaux ont été transformés en 1985 en véritable salles de spectacle flottantes et lieu d’exposition. Depuis, elles accueillent artistes, publics et curieux-ses pour partager des moments de culture, de spectacles et d’émotions.<br>Venez découvrir l’histoire de leurs métamorphoses, les coulisses, le projet et échangez avec ceux et celles qui font vivre ces lieux chaque jour. Musiques, et autres clins d'œil culturels ponctueront les visites.",Accès libre et gratuit,,2025-06-17T16:56:20+00:00,"Samedi 20 septembre, 14h00",2025-09-20T12:00:00+00:00,2025-09-20T15:00:00+00:00,2025-09-20T12:00:00+00:00,2025-09-20T15:00:00+00:00,,,63406766,"48.109489, -1.686421",La Péniche Spectacle,30 quai Saint Cyr 35 000 Rennes,Bourg l'Évesque - La Touche - Moulin du Comte,35238,35000,Rennes,Bretagne,Ille-et-Vilaine,FR,https://penichespectacle.com/pages/la-peniche-spectacle-86.php#p86,https://openagenda.com/fr/p-niche-spectacle,"Lieu de culture, spectacles, sports et loisirs","Ce lieu nomade largue les amarres aux beaux jours pour naviguer sur les canaux d'Ille-et-Vilaine et de la Région. Ces escales artistiques permettent la rencontre de nouveaux publics.
A bord de la Péniche Spectacle réside également en permanence une compagnie de Théâtre : le Théâtre du Pré Perché",,,,,Journées européennes du patrimoine 2025 : Bretagne,8474967,,France (Métropole)
51861769,https://openagenda.com/jep/events/visite-de-la-chapelle-1947300,Visite de la chapelle,Visite libre de la chapelle de Saint-Vincent.,Visite libre de la chapelle de Saint-Vincent.<br>Possibilité de visiter également l'orgue,gratuit,,2025-07-11T16:31:53+00:00,20 et 21 septembre,2025-09-20T12:00:00+00:00,2025-09-20T15:30:00+00:00,2025-09-21T12:00:00+00:00,2025-09-21T15:30:00+00:00,,,94552408,"48.113603, -1.664913",Chapelle Saint-Vincent - Providence de Rennes,57 rue de Paris 35000 Rennes,Thabor - Saint-Hélier - Alphonse Guérin,35238,35000,Rennes,Bretagne,Ille-et-Vilaine,FR,http://www.saintvincent-rennes.org,,Édifice religieux,"La chapelle a été construite après l'ensemble scolaire en 1926 par Henri Mellet, dans un style néo-roman, néo-byzantin. Elle comporte de nombreux vitraux et un belvédère très visible dans le paysage rennais, notamment du Thabor.",La ligne C5 dessert Saint-Vincent. Parking possible via le 57 rue de Paris. Marches pour acceder à la chapelle,,,,Journées européennes du patrimoine 2025 : Bretagne,8474967,,France (Métropole)
37319617,https://openagenda.com/jep/events/concert-dharmonie-7597070,Concert d'harmonie,"Concert de l'Harmonie Musique &Co : Musique du Monde, Musique de Films , Variétés.....","Concert de l'Harmonie Musique &amp;Co : Musique du Monde, Musique de Films , Variétés.....",,,2025-07-22T09:25:23+00:00,"Samedi 20 septembre, 15h00",2025-09-20T13:00:00+00:00,2025-09-20T14:00:00+00:00,2025-09-20T13:00:00+00:00,2025-09-20T14:00:00+00:00,,,2435868,"48.104017, -1.673155",Gare SNCF de Rennes - Bretagne,19 pl de la gare 35000 Rennes,Centre,35238,35000,Rennes,Bretagne,Ille-et-Vilaine,FR,,https://www.garesetconnexions.sncf/fr/gare/frrns/rennes/actualites,"Patrimoine ferroviaire, des transports et du génie civil",Gare SNCF,"train, metro, bus",,,,Journées européennes du patrimoine 2025 : Bretagne,8474967,,France (Métropole)
28006794,https://openagenda.com/jep/events/sncf-reseau-decouvrez-le-centre-operationnel-de-gestion-des-circulation-de-rennes,SNCF Réseau : Découvrez le Centre Opérationnel de Gestion des Circulations de Rennes,"À l’occasion des Journées Européennes du Patrimoine, le COGC de Rennes vous ouvre exceptionnellement ses portes.","À l’occasion des Journées Européennes du Patrimoine, le COGC de Rennes vous ouvre exceptionnellement ses portes.<br>Rencontrez les régulateurs et Chefs Circulation, ces professionnels passionnés qui assurent chaque jour la circulation et la régulation des trains en toute sécurité.<br><strong>Au programme :</strong><br>• Présentation du métier de régulateur, Chef Circulation<br>• Découverte des installations techniques (Tour de contrôle ferroviaire)<br>• Échanges avec les agents SNCF Réseau<br><strong>Une immersion unique au cœur des infrastructures ferroviaires !</strong>","En cas d'incidents sur le réseau, les visites sont susceptibles d’être suspendues. Inscription sur https://affluences.com à partir du 5 septembre 2025. Rendez-vous sur https://patrimoine.sncf.com pour retrouver le programme complet des JEP SNCF",,2025-07-22T09:49:12+00:00,20 et 21 septembre,2025-09-20T08:00:00+00:00,2025-09-20T09:00:00+00:00,2025-09-21T14:00:00+00:00,2025-09-21T15:00:00+00:00,,,85290869,"48.103625, -1.674272",COGC de Rennes,22 Boulevard de Beaumont 35000 Rennes,Thabor - Saint-Hélier - Alphonse Guérin,35238,35000,Rennes,Bretagne,Ille-et-Vilaine,FR,,,"Édifice industriel, scientifique et technique;Patrimoine ferroviaire, des transports et du génie civil",,,,,,Journées européennes du patrimoine 2025 : Bretagne,8474967,,France (Métropole)
87429708,https://openagenda.com/jep/events/ouverture-exceptionnelle-9118934,Ouverture exceptionnelle,Journées européennes du patrimoine 2025,"À l’occasion des Journées Européennes du Patrimoine, le Manoir du Plessis Beaucé ouvre ses portes pour la toute première fois.<br>Venez découvrir : 
<ul>
<li>Son logis-porche médiéval (1381-1385), unique en Bretagne</li>
<li>Son manoir du XVe siècle et l’histoire de la famille de Beaucé</li>
</ul>
 Cette ouverture est aussi l’occasion de présenter notre projet de restauration pour sauver ce trésor patrimonial. <em>Une cagnotte participative sera bientôt lancée.</em><br><strong>Une visite, mais aussi une belle aventure collective pour préserver notre histoire !</strong>","gratuit, visite libre",,2025-08-26T10:47:36+00:00,20 et 21 septembre,2025-09-20T12:00:00+00:00,2025-09-20T16:00:00+00:00,2025-09-21T12:00:00+00:00,2025-09-21T16:00:00+00:00,,,6296982,"48.180841, -1.741449",Manoir du Plessis Beaucé,Le Haut Plessix 35520 La Chapelle-des-Fougeretz,,35059,35520,La Chapelle-des-Fougeretz,Bretagne,Ille-et-Vilaine,FR,http://www.manoirduplessisbeauce.com,https://pop.culture.gouv.fr/notice/merimee/IA35014561,"Monument historique;Château, hôtel urbain, palais, manoir","Manoir du Haut Plessix (dit aussi le Plessis Beaucé) – La Chapelle-des-Fougeretz
Daté du XIVe et XVe siècle, il abrite le dernier logis-porche médiéval en pans de bois encore debout en Bretagne (1381-1385) et un manoir du XVe siècle marqué par l’histoire de la famille de Beaucé. 
Un patrimoine rare, aujourd’hui au cœur d’un projet de restauration et de sauvegarde.",,,,,Journées européennes du patrimoine 2025 : Bretagne,8474967,,France (Métropole)
81525333,https://openagenda.com/jep/events/fleurs-revoltees-acier-hacke-naomi-maury,"Fleurs révoltées, Acier hacké - Naomi Maury","Le centre d'art contemporain 40mcube vous accueille à l'occasion des Journées européennes du patrimoine 2025, et vous pourrez découvrir l'exposition Fleurs révoltées, Acier hacké, de Naomi Maury.","Le centre d'art contemporain 40mcube vous accueille à l'occasion des Journées européennes du patrimoine 2025, et vous pourrez découvrir l'exposition <a href=""https://www.40mcube.org/fleurs-revoltees-acier-hacke-2/""><em>Fleurs révoltées, Acier hacké</em></a>, de Naomi Maury.<br>L'artiste crée un environnement immersif qu’elle imagine comme une forêt d’exosquelettes. Ses sculptures mêlent halos lumineux, os en céramique, formes tubulaires en inox cintré, et compositions sonores donnant à entendre des personnes en situation de handicap, des soignantes et soignants, et des travailleuses et travailleurs dont le corps a été abimé par leur métier. Elle interroge ainsi les notions de pouvoir et d’hybridation, invitant à réfléchir à nos corps et leurs évolutions.",,,2025-05-15T14:54:25+00:00,20 et 21 septembre,2025-09-20T12:00:00+00:00,2025-09-20T17:00:00+00:00,2025-09-21T12:00:00+00:00,2025-09-21T17:00:00+00:00,ii;mi;vi;hi;pi,"handicap intellectuel,handicap moteur,handicap visuel,handicap auditif,handicap psychique",21369635,"48.109752, -1.666246",40mcube,48 avenue Sergent Maginot 35000 Rennes,Thabor - Saint-Hélier - Alphonse Guérin,35238,35000,Rennes,Bretagne,Ille-et-Vilaine,FR,https://www.40mcube.org/,https://www.instagram.com/40mcube/;https://www.facebook.com/40mcube;https://fr.linkedin.com/company/40mcube,"Lieu de culture, spectacles, sports et loisirs","Venez découvrir les expositions présentées par 40mcube !

Le Centre d’art contemporain d’intérêt national 40mcube réunit à Rennes un espace d’exposition, un atelier de production d’œuvres, un lieu de résidence pour artistes et pour commissaires d’exposition, un organisme de formation professionnelle, et le bureau Bretagne de la Société des Nouveaux commanditaires.

40mcube produit des œuvres, les diffuse sous forme d’expositions ou d’interventions dans l’espace public, met en place des résidences d’artistes, accompagne la commande d’œuvres, en réalise la promotion et la médiation auprès des publics.

40mcube occupe à Rennes des locaux rassemblant un espace d’exposition de 170 m2, un atelier de production, des bureaux et des salles de réunion.","Métro : ligne B, station Saint-Germain ou ligne A, station République
Bus : lignes C4 ou C6, arrêt Pont de Châteaudun
Vélostar : station Pont de Châteaudun

Accessible pour les personnes à mobilité réduite",,,,Journées européennes du patrimoine 2025 : Bretagne,8474967,,France (Métropole)
