UAI,Libellé,Adresse,Enseignements,Langues,Code departement,Département,Code region,Région,Code academie,Académie,Commune,Type d'établissement,Position,Secteur de l'établissement
0351906G,Collège Bourgchevreuil,1 boulevard des Metairies,LV1,Anglais,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Cesson-Sévigné,Collège,"48.11950506421491, -1.6005197238771154",Public
0351906G,Collège Bourgchevreuil,1 boulevard des Metairies,LV2,Chinois,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Cesson-Sévigné,Collège,"48.11950506421491, -1.6005197238771154",Public
0352319F,Collège Saint-Gabriel,59 avenue le Brix,LV1,Anglais,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Pacé,Collège,"48.15345837379055, -1.7723000917146485",Privé
0352319F,Collège Saint-Gabriel,59 avenue le Brix,LV2,Chinois,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Pacé,Collège,"48.15345837379055, -1.7723000917146485",Privé
0353006C,Collège Léontine Dolivet,99 rue de la Chalotais,LV1,Anglais,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Cesson-Sévigné,Collège,"48.12960422275401, -1.5973038324695294",Privé
0353006C,Collège Léontine Dolivet,99 rue de la Chalotais,LV2,Espagnol,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Cesson-Sévigné,Collège,"48.12960422275401, -1.5973038324695294",Privé
0350852L,Collège Saint-Joseph,22 avenue de la Mare Guesclin,LV2,Espagnol,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Saint-Erblon,Collège,"48.02520405429156, -1.745639588615377",Privé
0352069J,Collège Saint-Vincent Providence,57 rue de Paris,LV2,Allemand,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Collège,"48.11363570912166, -1.6651100452186143",Privé
0350895H,Collège Rosa Parks,10 rue de Gascogne,LV2,Allemand,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Collège,"48.121201797651814, -1.7146799912092223",Public
0352541X,Collège Théodore Monod,Chemin de Seiche,LV1,Anglais,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Vern-sur-Seiche,Collège,"48.04268888855317, -1.6105197686960293",Public
0350759K,Collège Échange,30 rue de Dinan,LV2,Espagnol,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Collège,"48.115879734200085, -1.6834300763512902",Public
0350759K,Collège Échange,30 rue de Dinan,LV2,Turc,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Collège,"48.115879734200085, -1.6834300763512902",Public
0350026N,Lycée Jean Macé,10 rue Jean Macé,LV1,Anglais,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.11708078639708, -1.6702996079259038",Public
0352030S,Collège Morvan Lebesque,34 avenue Beausejour,LV1,Anglais,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Mordelles,Collège,"48.07273530878959, -1.840130398044565",Public
0352030S,Collège Morvan Lebesque,34 avenue Beausejour,LV2,Italien,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Mordelles,Collège,"48.07273530878959, -1.840130398044565",Public
0350836U,Collège Saint-Martin - Quartier Sainte-Geneviève,14 D rue Guinguene,LV2,Espagnol,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Collège,"48.099055736554845, -1.6854604057056215",Privé
0351852Y,Collège de Fontenay,35 rue Antoine Châtel,LV1,Anglais,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Chartres-de-Bretagne,Collège,"48.0415527618465, -1.6978431215445224",Public
0352070K,Collège Assomption,18 boulevard Painleve,LV2,Espagnol,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Collège,"48.122379250771374, -1.6589194034352441",Privé
0352070K,Collège Assomption,18 boulevard Painleve,LV2,Japonais,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Collège,"48.122379250771374, -1.6589194034352441",Privé
0352274G,Collège Françoise Dolto,53 avenue le Brix,LV2,Allemand,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Pacé,Collège,"48.15269869519049, -1.7712695048918636",Public
0353083L,"Collège Saint-Paul (annexe du collège Saint-Joseph, Bruz)",22 avenue de la Mare Guesclin,LV2,Allemand,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Saint-Erblon,Collège,,Privé
0353083L,"Collège Saint-Paul (annexe du collège Saint-Joseph, Bruz)",22 avenue de la Mare Guesclin,LV2,Chinois,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Saint-Erblon,Collège,,Privé
0353083L,"Collège Saint-Paul (annexe du collège Saint-Joseph, Bruz)",22 avenue de la Mare Guesclin,LV2,Espagnol,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Saint-Erblon,Collège,,Privé
0350783L,Lycée Saint-Martin - quartier Sainte-Geneviève,14 D rue Ginguené,LV1,Anglais,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.099055736554845, -1.6854604057056215",Privé
0350783L,Lycée Saint-Martin - quartier Sainte-Geneviève,14 D rue Ginguené,LV2,Espagnol,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.099055736554845, -1.6854604057056215",Privé
0352009U,Lycée Victor et Hélène Basch,15 avenue Charles Tillon,LV2,Espagnol,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.126584334179064, -1.6893397892166615",Public
0350030T,Lycée polyvalent Pierre Mendès France,34 rue Bahon Rault,LV2,Allemand,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Rennes,Lycée,"48.13456382981909, -1.6824696947334972",Public
0350700W,Lycée agricole Théodore Monod,55 avenue de la Bouvardière,LV1,Anglais,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Le Rheu,Lycée,"48.09938946437969, -1.8092498270455981",Public
0350700W,Lycée agricole Théodore Monod,55 avenue de la Bouvardière,LV1,Allemand,35,Ille-et-Vilaine,53,Bretagne,14,Rennes,Le Rheu,Lycée,"48.09938946437969, -1.8092498270455981",Public
