nom_du_projet,resume_du_projet,montant_engage,numero_dossier_ds,numero_ej,numero_operateur,operateur,demarche,nom_region,nom_departement,code_departement,siret_beneficiaire,raison_sociale_beneficiaire,forme_juridique_beneficiaire,code_commune,nom_commune
Réhabilitation complète d'un immeuble du 16ème siècle situé en secteur OPAH de Rennes,"Il s’agit d’une opération de réhabilitation d’une copropriété dégradée située dans le centre ancien de Rennes. Elle est portée par l’entreprise sociale pour l’habitat ESPACIL HABITAT. L’immeuble sera composé d'un commerce au RDC et sous-sol, et de 5 logements sociaux destinés aux actifs de moins de 30 ans dans les niveaux supérieurs. 
Le bâtiment fait partie de la zone concernée par l’OPAH de Rennes.  L’immeuble dont l’origine date du 16ème siècle est composé de murs en pans de bois. Le bâtiment est aujourd’hui très dégradé et fait l’objet d’un arrêté de mise en péril depuis 2010.  
Le projet consiste en la sauvegarde et la réhabilitation complète du bâtiment.  Il s’agit d’une opération de préservation du patrimoine qui mettra en œuvre les techniques de construction du bâtiment existant .
",171729.00,16162823,2104754649,,,Friche – recyclage foncier,Bretagne,Ille-et-Vilaine,35,30249439800035,ESPACIL HABITAT SA D'HABITATIONS A LOYER MODERE,SA de HLM à conseil d'administration,35238,Rennes
Bruz - Requalification de la place de Bretagne,"Afin de conforter son attractivité commerciale et de requalifier l'espace public en redonnant leur place aux modes actifs, tout en maintenant l'usage de stationnement, Rennes Métropole a le projet de requalifier la place de Bretagne à Bruz. 
Aujourd'hui, du fait de sa fonction parking, l'ensemble de la place est presque totalement imperméable en enrobé.
Le projet prévoit la création de deux larges noues en rives Est et Ouest qui permettent, d'une part d'écarter les zones piétonnes le long des façades commerçantes par rapport au parking central et d'autre part de recueillir les eaux surfaciques sur 4 sous bassins versant sur chaque rive, pour les infiltrer. Un raccordement au réseau en surverse est toutefois prévu. 
88% des surfaces du périmètre seront déconnectées, par infiltration majoritairement dans les espaces verts, dont 580m² supplémentaires seront créés pour passer de 3 à 11% sur le périmètre.
",33671.00,21080612,2104051107,REG-2025-03857,Loire-Bretagne,Renaturation,Bretagne,Ille-et-Vilaine,35,24350013900189,RENNES METROPOLE,Métropole,35047,Bruz
Rennes - Sécurisation du carrefour Patton/Rochester - déconnexion des eaux pluviales,"La présente opération a pour but de sécuriser le carrefour situé à l'intersection du boulevard d'Armorique et des avenues Patton et Rochester. En effet, celui-ci était pointé dans le recensement des carrefours à feux dangereux sur Rennes. L'opération consistera à réduire la largeur des voies, assurer une continuité sécurisée pour les cycles / piétons , et intégrer la dimension urbaine et paysagère. De plus, et afin de satisfaire un objectif stratégique de Rennes Métropole de désimperméabilisation,  le boulevard d'Armorique a été  ajouté dans le périmètre (33 160 m²).
 75% de la surface (24 400m²) est actuellement imperméable et raccordée au réseau eaux pluviales. Il est prévu de déconnecter 39 % de cette surface, en perméabilisant directement 4 365 m², soit une augmentation de 50%, presque intégralement végétalisée, et d'infiltrer 5 168 m² de surfaces de voirie par ruissellement vers des espaces infiltrants végétalisés.",124662.00,22998533,2104051107,REG-2025-03799,Agence de l'eau,Renaturation,Bretagne,Ille-et-Vilaine,35,24350013900189,RENNES METROPOLE,Métropole,35238,Rennes
Végétalisation du groupe scolaire Sonia Delaunay ,"Ce projet poursuit 3 objectifs :
1/s'adapter aux effets du changement climatique et améliorer la biodiversité par la diminution des surfaces minérales au profit des végétaux et plantation d'arbres pour lutter contre les ilots de chaleur et créer de l'ombre, objectif à atteindre : canopée devrait représenter 36% des surfaces de la cour versus 21% aujourd'hui 

2/désimperméabilisation permettant une meilleure gestion des eaux pluviales (zone de noue et jardins de pluie)

3/ Améliorer le confort, lutter contre ilot de chaleur, espaces ludiques sur surfaces naturelles. Le projet s'inscrit parallèlement autant que possible dans une démarche de préservation des ressources locales (réemploi sur site)",30130.00,23031782,2104051107,REG-2025-03188,Agence de l'eau,Renaturation,Bretagne,Ille-et-Vilaine,35,21350238800019,COMMUNE DE RENNES,Commune et commune nouvelle,35238,Rennes
Végétalisation de la cour élémentaire Torigné,"Ce projet poursuit 3 objectifs :
1/s'adapter aux effets du changement climatique et améliorer la biodiversité par la diminution des surfaces minérales au profit des végétaux et plantation d'arbres pour lutter contre les ilots de chaleur et créer de l'ombre, objectif à atteindre : canopée devrait représenter 65% des surfaces de la cour versus 45% aujourd'hui ;
2/désimperméabilisation permettant une meilleure gestion des eaux pluviales (retenue d'eau au point bas actuel de la cour)
3/ Améliorer le confort, lutter contre ilot de chaleur, espaces ludiques sur surfaces naturelles le projet s'inscrit parallèlement autant que possible dans une démarche de préservation des ressources locales (réemploi sur site)",62608.00,23032198,2104051107,REG-2025-03795,Agence de l'eau,Renaturation,Bretagne,Ille-et-Vilaine,35,21350238800019,COMMUNE DE RENNES,Commune et commune nouvelle,35238,Rennes
"Rénovation thermique d'un bâtiment communal afin d'y créer, au rez-de chaussée, un commerce et, à l’étage, une salle de réunion pour les associations ","Dans une optique de revitalisation du centre-bourg d’Hirel et eu égard à la proximité immédiate de commerces et du futur secteur d’urbanisation du Douviou (30 logements), l'équipe municipale souhaite procéder à la rénovation thermique d'un bien situé au « 10, Rue des Tourailles »  acquis en 2021. La volonté est d’y créer, au rez-de-chaussée, un commerce (à ce jour, le projet cible est un cabinet d’institut de bien être) et, indépendamment à l’étage, une salle de réunion pour les associations. Le local commercial resterait la propriété de la commune qui le louerait au commerçant, assurant ainsi la pérennité de la destination de ce local.
La réalisation de l’aménagement devra permettre d’atteindre un bâtiment ""durable"" exemplaire.
",57750.00,23153984,2104718180,,,Rénovation bâtiment,Bretagne,Ille-et-Vilaine,35,21350132300017,COMMUNE DE HIREL,Commune et commune nouvelle,35132,Hirel
ZAC multisites de Bruz,"Afin de définir un projet urbain global cadrant la production de logement sur la commune, et de réaliser prioritairement la mutation du secteur de la Gare de Bruz, la Ville engage une ZAC sur 7 secteurs de la commune. Tous ces secteurs ont vocation à accueillir du logement, portant à environ 2 000 logements le potentiel de production sur le périmètre étudié. 
- 5 secteurs sont en renouvellement urbain afin de répondre aux enjeux de limitation de l'étalement urbain et de travailler sur l'adaptation aux changements climatiques : Gare, Maison des associations, Haye de Pan, Noë, Grand Pâtis
- 2 secteurs sont en extension urbaine, les dernières pour la commune, afin de chercher un équilibre économique au projet urbain global : Mons, les Rosiers.
Le présent dossier développe les données à l’échelle du projet urbain global (ZAC), précise les données sur les secteurs en friche (RU) et le secteur Gare sur lequel porte les dépenses éligibles. ",600000.00,23214765,2104775493,,,Friche – recyclage foncier,Bretagne,Ille-et-Vilaine,35,21350047300011,COMMUNE DE BRUZ,Commune et commune nouvelle,35047,Bruz
"au 03 juin 2025, 20 dossiers  ADS en cours d'instruction pour 1 835 logements",,658764.00,23712300,2104809124,,,Maires batisseurs,Bretagne,Ille-et-Vilaine,35,21350238800019,COMMUNE DE RENNES,Commune et commune nouvelle,35238,Rennes
Programmation d'une opération pour 42 logements dont 10 logements sociaux ,,35000.00,23851386,2104809129,,,Maires batisseurs,Bretagne,Ille-et-Vilaine,35,21350131500013,COMMUNE DE L HERMITAGE,Commune et commune nouvelle,35131,L'Hermitage
Végétalisation et désimperméabilisation de la cour de l'école élémentaire du Chevré,"Les cours de récréation sont souvent des espaces peu variés, bitumés et/ou enclavés, générant des frustrations sociales, des nuisances sonores et devenant des îlots de chaleur lors des fortes températures. Ce sont également des microcosmes sociaux où se jouent des dynamiques qui seront à l'œuvre dans la société (rapports de domination d'âge, de compétition...) 
Avec la collaboration active des parents d'élèves, enseignants et élèves, ce cadre récréatif  a été repensé, afin de répondre aux enjeux climatiques du 21ème siècle, avec des strates végétales pour plus de biodiversité, des matériaux pour une meilleur prise en compte de la gestion de l'eau, mais aussi avec des diversités d'espaces, du mobilier et des aménagements plus inclusifs pour un impact positif sur le développement de l’enfant (son imaginaire, son autonomie, sa confiance en lui) et sur les relations entre enfants (apaisement, rapport aux genre plus égalitaires, coopération…).

",40109.00,23924938,2104051107,REG-2025-04452,Loire-Bretagne,Renaturation,Bretagne,Ille-et-Vilaine,35,21350001000011,COMMUNE DE ACIGNE,Commune et commune nouvelle,35001,Acigné
