Nom membre,Siren membre,N° INSEE,"Population totale
2021(INSEE)","Surface
(km²)","Lien Page
Wikipedia",Nom de l'AOM,"N° SIREN
AOM","Forme juridique
De l'AOM",Plan,"Comité des
Partenaires","Bassin de mobilité
1","Bassin de mobilité
2",Région siège,Département siège,Nom du groupement,"N° SIREN
Groupement",Id réseau,"Nature juridique
Du groupement","Lien
Banatic","Nombre
De membres","Population totale
2019 (Banatic)",
Irodouër,213501356,35135,156,23.54,Voir la fiche,CC de Saint-Méen Montauban,200038990,CC,,,,,53 - Bretagne,35 - Ille-et-Vilaine,CC de Saint-Méen Montauban,200038990,1382,CC,Voir la fiche,17,27513,
Mecé,213501703,35170,88,15.63,Voir la fiche,CA Vitré Communauté,200039022,CA,,Installé,,,53 - Bretagne,35 - Ille-et-Vilaine,CA Vitré Communauté,200039022,175,CA,Voir la fiche,46,84349,
Moutiers,213502008,35200,159,17.64,Voir la fiche,CA Vitré Communauté,200039022,CA,,Installé,,,53 - Bretagne,35 - Ille-et-Vilaine,CA Vitré Communauté,200039022,175,CA,Voir la fiche,46,84349,
Rannée,213502354,35235,1786,51.95,Voir la fiche,CA Vitré Communauté,200039022,CA,,Installé,,,53 - Bretagne,35 - Ille-et-Vilaine,CA Vitré Communauté,200039022,175,CA,Voir la fiche,46,84349,
Loutehel,213501604,35160,332,7.21,Voir la fiche,CC Vallons de Haute-Bretagne Communauté,200043990,CC,PDMS ou apparenté en cours d'élaboration,,,,53 - Bretagne,35 - Ille-et-Vilaine,CC Vallons de Haute-Bretagne Communauté,200043990,1383,CC,Voir la fiche,18,45173,
Lécousse,213501505,35150,159,11.07,Voir la fiche,CA Fougères Agglomération,200072452,CA,PDMS ou apparenté adopté,Installé,,,53 - Bretagne,35 - Ille-et-Vilaine,CA Fougères Agglomération,200072452,170,CA,Voir la fiche,28,57220,
Monthault,213501901,35190,77,8.2,Voir la fiche,CA Fougères Agglomération,200072452,CA,PDMS ou apparenté adopté,Installé,,,53 - Bretagne,35 - Ille-et-Vilaine,CA Fougères Agglomération,200072452,170,CA,Voir la fiche,28,57220,
Poilley,213502305,35230,224,10.78,Voir la fiche,CA Fougères Agglomération,200072452,CA,PDMS ou apparenté adopté,Installé,,,53 - Bretagne,35 - Ille-et-Vilaine,CA Fougères Agglomération,200072452,170,CA,Voir la fiche,28,57220,
Saint-Sauveur-des-Landes,213503105,35310,135,18.84,Voir la fiche,CA Fougères Agglomération,200072452,CA,PDMS ou apparenté adopté,Installé,,,53 - Bretagne,35 - Ille-et-Vilaine,CA Fougères Agglomération,200072452,170,CA,Voir la fiche,28,57220,
Acigné,213500010,35001,492,29.55,Voir la fiche,Rennes Métropole,243500139,Métropole,,,,,53 - Bretagne,35 - Ille-et-Vilaine,Rennes Métropole,243500139,79,METRO,Voir la fiche,43,471952,
