id,id_ex,siret,rup_mi,gestion,date_creat,date_decla,date_publi,date_disso,nature,groupement,titre,titre_court,objet,objet_social1,objet_social2,adrs_complement,adrs_numvoie,adrs_repetition,adrs_typevoie,adrs_libvoie,adrs_distrib,adrs_codeinsee,adrs_codepostal,adrs_libcommune,adrg_declarant,adrg_complemid,adrg_complemgeo,adrg_libvoie,adrg_distrib,adrg_codepostal,adrg_achemine,adrg_pays,dir_civilite,siteweb,publiweb,observation,position,maj_time
W423002641,,,,353P,2007-08-02,2013-01-28,2007-09-01,0001-01-01,D,S,ASSOCIATION DU DESC DE MEDECINE DU SPORT ADMS,DESC DE MEDECINE DU SPORT ADMS,aider les internes et les assistants a la realisation du DESC de medecine du sport,030020,000000,,15, ,RUE,du Nivernais,,35238,35000,Rennes,,,,15 RUE DU NIVERNAIS,,35000,RENNES,FRANCE,PF,,1,,A,2013-04-02 11:26:29
W423013607,,,,353P,2020-02-10,2024-12-17,2020-02-22,0001-01-01,D,S,CITERNE,CITERNE,"editer des livres  en collaboration avec de jeunes auteurices, artistes, illustrateurrices et diffuser la jeune creation independante  organiser des evenements et ateliers de creation en rapport avec lobjet de lassociation  vendre et diffuser des objets editoriaux originaux",006010,000000,,48,,RUE,Lobineau,,35238,35000,Rennes,,,,3  RUE JAVELIN PAGNON,,42000,ST ETIENNE,FRANCE,PF,,0,,A,2025-06-18 18:00:02
W423014646,,,,353P,2022-08-07,2023-10-16,2022-08-23,0001-01-01,D,S,LES ACTIVITES DE CLEMENT ET THERY,LES ACT,organiser des animations devenements et des evenements multi-activites,006000,000000,,1,,RUE,Jean Jacques Kerouredan,,35238,35200,Rennes,,,,24  BOULEVARD ALEXANDRE DE FRAISS,,42100,ST ETIENNE,FRANCE,PF,,0,,A,2023-10-24 10:05:32
W641012087,,85061315900027,,353P,2019-04-25,2022-04-11,2019-05-04,0001-01-01,D,S,CAFOUTCHI,CAFOUTCHI,"promouvoir lexpression culturelle urbaine et rurale autour de la ville de rennes, contribuer et dynamiser la scene culturelle de la metropole rennaise, sensibiliser et promouvoir les themes de durabilite, environnement et respect de la nature propager le gout de la musique instrumentale et vocale, developper et perfectionner les dispositions musicales de tous et en particulier des jeunes,r inciter a la pratique culturelle collective",006100,024050,,13,,RUE,de la Sante,,35238,35000,Rennes,,,,13 RUE DE LA SANTE,,35000,RENNES,FRANCE,PF,,0,,A,2022-10-11 20:00:04
W561000021,0561009464,,,353P,2004-08-18,2023-02-17,2004-09-18,0001-01-01,D,S,ASSOCIATION POUR LA PROTECTION ET LOCCUPATION RAISONNEE DES TERRAINS DE LA POINTE DES CHATS ILE DE GROIX,ASSOCIATION POUR LA PROTECTION ET L...,"etudier et rechercher les voies dune occupation equilibree, concertee et durable de la pointe des chats ile de groix prenant en compte la protection des paysages, de la faune, de la flore et des activites humaines agriculture, chasse, peche, camping, randonnee en lien avec le developpement global de lile",024020,000000,M. Olivier FREZEL,19, ,SQ,L. et M. de Broglie,,35238,35000,Rennes,,,,19 SQUARE L. ET M. DE BROGLIE,,35000,RENNES,FRANCE,PM,,1,,A,2023-02-23 16:30:33
W561000398,0561010396,,,353P,2007-06-18,2026-06-17,2007-07-14,0001-01-01,D,S,CONFERENCE REGIONALE DES BATONNIERS DE LOUEST - CRBO,CONFERENCE REGIONALE DES BATONNIERS,"etude en commun de toutes questions susceptibles dinteresser directement ou indirectement  la profession davocat et la defense des interets des ordres, a raison de leur specificite geographique regionale",014000,004000,,6,,RUE,Hoche,,35238,35000,Rennes,,BARREAU DE RENNES,,6  RUE HOCHE,,35000,RENNES,FRANCE,PM,,0,creation,A,2026-06-30 07:05:42
W561000618,0561009736,,,353P,2005-06-06,2014-09-01,2005-07-09,0001-01-01,D,S,VILLAGE SOLIDAIRE BZH,VILLAGE SOLIDAIRE BZH,"regrouper, soutenir et promouvoir les acteurs engages dans une demarche socialement responsable et respectueuse de lenvironnement",014000,000000,,15,,RUE,Martenot,,35238,35000,Rennes,,,,15 RUE MARTENOT,,35000,RENNES,FRANCE,PF,,0,creation,A,2014-09-03 14:17:51
W561000808,0561010138,49292028500011,,353P,2006-10-03,2025-06-20,2006-10-21,0001-01-01,D,S,TERRE DE LIENS LIAMM AN DOUAR,TERRE DE LIENS LIAMM AN DOUAR,relier les initiatives collectives dachat et de gestion du foncier et du bati en milieu rural,014000,000000,POLE INPACT,17,,RUE,du Bas Village,CS37725,35051,35510,Cesson-Sevigne,,,,17 RUE DU BAS VILLAGE,,35577,CESSON-SEVIGNE,FRANCE,CC,,0,Reprise  =>  date ag=0000-00-00,A,2025-12-20 19:00:02
W561002179,,82385841000033,,353P,2010-05-25,2025-06-26,2010-06-19,0001-01-01,D,S,FEDERATION DES ACTEURS DE LA COORDINATION EN SANTE DE BRETAGNE,FACS BRETAGNE,"federer les acteurs de la coordination en sante bretons, cest-a-dire les reunir, les animer, promouvoir leurs actions et le cas echeant, les representer",017145,000000,,1,,RUE,J Maillard de la Gournerie,,35238,35000,Rennes,,,,1 RUE JULES MAILLARD DE LA GOURNERIE,,35000,RENNES,FRANCE,PM,,0,,A,2025-07-01 07:05:35
W561002802,0561010372,,,353P,2007-05-25,2025-12-05,2007-06-02,0001-01-01,D,S,WELCOME TO THE UNDERGROUNG KINGDON OF IVORY WITHIN UNBELIEVABLE KALEIDOSCOPIC ILLUSIONS WUKI WUKI,WELCOME TO THE UNDERGROUNG KINGDON ...,"initiation aux jeux musicaux de type arcade, pratique de ces jeux musicaux lors devenements dedies, initiation et pratique de la danse Yokakoi",006000,000000,,2,,ALL,de lequinoxe,,35278,35760,Saint-Gregoire,,,,2 ALLEE DE LEQUINOXE,,35760,SAINT-GREGOIRE,FRANCE,PM,,0,,A,2026-06-06 18:00:02
W561003823,0561008689,,,353P,2001-12-28,2011-09-19,2002-01-26,0001-01-01,D,S,OUEST PLONGEE DEVELOPPEMENT,OUEST PLONGEE DEVELOPPEMENT,"pratique de leducation physique et des sports et plus particulierement de develpper et de favoriser, par tous moyens appropries sur les plans sportifs et accessoirement artitique et scientifique, la connaissance du monde subaquatique, ainsi que celle de tous les sports et activites subaquatiques et connexes, notamment la peche sous-marine, la plongee en scaphandre, la nage avec accessoires pratiquee en mer, psisicne, lac ou eau vive",011125,000000,,31,,RUE,de la Carriere,,35238,35000,Rennes,,,,31 RUE DE LA CARRIeRE,,35000,RENNES,FRANCE,PM,,0,creation,A,2012-02-13 16:08:34
W561003869,,,,353P,2012-02-01,2025-11-20,2012-03-03,0001-01-01,D,S,LA FIB,LA FIB,federer les joueurs de belote et organiser des competitions,007005,000000,,10 Bis,,ALL,Jean-Francois le Gonidec,,35238,35000,Rennes,,,,23  RUE DINKERMANN,,35000,RENNES,FRANCE,CF,,0,,A,2025-12-02 10:05:40
W561004483,0561009656,,,353P,2005-03-24,2022-03-30,1901-07-01,2021-12-29,D,S,ARDIR BRETAGNE ASSOCIATION REGIONALE DES DIRECTEURS DE CENTRE DE FORMATION DAPPRENTIS DE BRETAGNE,ARDIR BRETAGNE ASSOCIATION REGIONALE,"representer au plan regional lensemble de ses membres et contribuer au developpemnt de lapprentissage au sein des CFA mettre en commun des experiences dans les domaines administratif pedagogique et financier de la gestion des CFA afin dameliorer la formation des apprentis et de contribuer au developpement des competences en entreprise  sassocier effectivement a tout debat, etude, reunion ou echange avec tous les interlocuteurs oncernes par toutes formations professionnelles, alternees ou en temps plein, anterieures, posterieures ou concomitantes  lapprentissage  informer les instances regionales des questions concernant le fonctionnement des CFA  intervenir en apportant son concours au plan local, regional ou national a la demande de ses membres  developper la solidarite et la defense des interets materiels et moraux de ses membres  communiquer et promouvoir a lextenr limage de lapprentissage en CFA",015010,000000,,29,,RUE,des Peupliers,,35051,35510,Cesson-Sevigne,,ASSOCIATION ARDIR,,RUE SAINT-MARCEL,,56100,LORIENT,FRANCE,CT,,0,creation,D,2022-04-05 12:45:34
W561004501,,,,353P,2012-07-20,2025-10-27,2012-08-04,0001-01-01,D,S,GOLF  BUSINESS BREIZH,GOLF  BUSINESS BREIZH,"creer un reseau de golfeurs chefs dentrprises en Bretagne parce quils y resident, y exercent leurs activites, mais aussi parce quils portent les valeurs  et lidentite de la region Bretagne historique  en incluant la Loire Atlantique  federer des responsables dentreprise chefs dentreprises, gerant de societes, presidents de societes, directeur generaux, directeurs commerciaux, directeurs financiers, professions liberales qui partagent la meme passion pour le golf, des valeurs communes de convivialite et de communication",011100,000000,,30,,RUE,du Parc,,35024,35830,Betton,,,,6 rue de Ploemeur,,56260,LARMOR PLAGE,FRANCE,PM,,0,,A,2026-04-28 18:00:02
W561004549,0561008952,,,353P,2002-11-25,2021-03-23,2003-02-01,0001-01-01,D,S,SCOPITONE ET COMPAGNIE,SCOPITONE ET COMPAGNIE,"creation, production, diffusion de spectacles vivants.",006070,000000,,8,,RUE,de la Haie de Terre,,35240,35650,Rheu,,CITE ALLENDE,,96 RUE COLBERT,,56100,LORIENT,FRANCE,PM,,0,Creation,A,2021-09-22 20:00:03
W561006218,0561009600,,,353P,1994-03-15,2025-03-07,1901-07-01,0001-01-01,D,S,PORSCHE CLUB BRETAGNE - PAYS DE LOIRE,PORSCHE CLUB BRETAGNE - PAYS DE LA LOI,"reunir les posseseurs de vehicules de marque porsche dans des activtes de loisirs, sorties touristiques et sur circuits echanges didees ayant pour theme les vehicules Porshe  organiser des manifestations diverses ayant pour theme les vehicules de marque Porshe  vendre des article au logo du club  publier un bulletin destine a informer les adherents et rendre compte des manifestations qui se sont deroulees, presentant de linteret",007000,000000,,,,RUE,la Silandiere,,35189,35760,Montgermont,,,,LA SILANDIERE,,35760,MONTGERMONT,FRANCE,PM,http:www.bretagne-paysdeloire-porscheclub.fr,0,creation,A,2025-09-06 18:00:02
W561006274,,,,353P,2014-04-03,2019-09-23,2014-04-19,0001-01-01,D,S,WILD ERMINE,WILD ERMINES,"organiser des parties de jeu de roles, grandeur nature, mettant en oeuvre des lanceurs de type airsoft et de gerer les besoins inherents a cette activite",007000,000000,,14,,RUE,de Mauconseil,,35238,35000,Rennes,,,,14 RUE DE MAUCONSEIL,,35000,RENNES,FRANCE,PM,,0,,A,2020-03-23 20:00:05
