nom_commune,cog_commune,siren_commune,nuance_politique,famille_nuance
Acigné,35001,213500010,LDVG,Gauche
Bécherel,35022,213500226,NC,Non classé
Betton,35024,213500242,LSOC,Gauche
Bourgbarré,35032,213500325,LDIV,Courants politiques divers
Brécé,35039,213500390,LNC,Non classé
Bruz,35047,213500473,LDVG,Gauche
Cesson-Sévigné,35051,213500515,LDVC,Centre
Chantepie,35055,213500556,LUG,Gauche
La Chapelle-Chaussée,35058,213500580,LNC,Non classé
La Chapelle-Des-Fougeretz,35059,213500598,,
La Chapelle-Thouarault,35065,213500655,LNC,Non classé
Chartres-De-Bretagne,35066,213500663,LDVG,Gauche
Chavagne,35076,213500762,LDVG,Gauche
Chevaigné,35079,213500796,LNC,Non classé
Cintré,35080,213500804,LNC,Non classé
Clayes,35081,213500812,NC,Non classé
Corps-Nuds,35088,213500887,LNC,Non classé
Gévezé,35120,213501208,LDVD,Droite
L'Hermitage,35131,213501315,LDVG,Gauche
Hirel,35132,213501323,LNC,Non classé
Irodouër,35135,213501356,LNC,Non classé
Janzé,35136,213501364,LDVG,Gauche
Laillé,35139,213501398,LDVG,Gauche
Langan,35144,213501448,NC,Non classé
Lécousse,35150,213501505,LNC,Non classé
Loutehel,35160,213501604,NC,Non classé
Mecé,35170,213501703,NC,Non classé
Miniac-Sous-Bécherel,35180,213501802,NC,Non classé
Montgermont,35189,213501893,LNC,Non classé
Monthault,35190,213501901,NC,Non classé
Mordelles,35196,213501968,LDIV,Courants politiques divers
Moutiers,35200,213502008,NC,Non classé
Nouvoitou,35204,213502040,LNC,Non classé
Noyal-Châtillon-Sur-Seiche,35206,213503642,LDVG,Gauche
Orgères,35208,213502081,LDIV,Courants politiques divers
Pacé,35210,213502107,LDVD,Droite
Parthenay-De-Bretagne,35216,213502164,LNC,Non classé
Poilley,35230,213502305,NC,Non classé
Rannée,35235,213502354,,
Rennes,35238,213502388,LUG,Gauche
Le Rheu,35240,213502404,,
Romillé,35245,213502453,LDIV,Courants politiques divers
Saint-Armel,35250,213502503,LNC,Non classé
Saint-Erblon,35266,213502669,LNC,Non classé
Saint-Gilles,35275,213502750,LDVG,Gauche
Saint-Grégoire,35278,213502784,,
Saint-Jacques-De-La-Lande,35281,213502818,LUG,Gauche
Saint-Sauveur-Des-Landes,35310,213503105,,
Saint-Sulpice-La-Forêt,35315,213503154,LNC,Non classé
Thorigné-Fouillard,35334,213503345,LECO,Courants politiques divers
Le Verger,35351,213503519,LNC,Non classé
Vern-Sur-Seiche,35352,213503527,LDIV,Courants politiques divers
Vezin-Le-Coquet,35353,213503535,LDVG,Gauche
Pont-Péan,35363,213503634,LDVG,Gauche
