id,teleicare_id,numero_declaration_teleicare,article_procedure,decision,date_decision,date_retrait,nom_commercial,marque,gamme,responsable_mise_sur_marche,adresse_responsable_mise_sur_marche,siret_responsable_mise_sur_marche,vat_responsable_mise_sur_marche,forme_galenique,dose_journaliere,mode_emploi,mises_en_garde,objectif_effet,aromes,facteurs_risques,populations_cibles,plantes,ingredients_inactifs,micro_organismes,additifs,nutriments,autres_ingredients_actifs,substances
273626,535,2016-5-466,Article 15,Retiré du marché,,2026-10-01,CETONES DE FRAMBOISE,,,TERRE ET NATURE,"{'code_postal': '35740', 'pays': 'FR'}",51966486600018,,Gélule,3 gélules ,3 gélules par jour à prendre avec un verre d'eau ,,[],,"[""Enfants en bas âge (1 à 3 ans)"", ""Nourrissons (moins de 1 an)""]",[],"[{""nom"": ""Rubus idaeus L."", ""partie"": ""Fruit"", ""preparation"": ""Extrait sec hydroalcoolique"", ""quantité_par_djr"": 1.2, ""unite"": ""g""}]",[],[],[],[],[],[]
273615,509,2016-5-440,Article 15,Retiré du marché,,2026-10-01,OLIVIER BIO,,,TERRE ET NATURE,"{'code_postal': '35740', 'pays': 'FR'}",51966486600018,,Gélule,6 gélules,6 gélules par jour à avaler avec un verre d'eau,,[],,"[""Enfants en bas âge (1 à 3 ans)"", ""Nourrissons (moins de 1 an)""]",[],"[{""nom"": ""Olea europaea subsp. europaea"", ""partie"": ""Feuille"", ""preparation"": ""Poudre (de plantes séchées ou broyées)"", ""quantité_par_djr"": 1500.0, ""unite"": ""mg""}]",[],[],"[""E464""]",[],[],[]
273492,368,2016-5-299,Article 16,Retiré du marché,,2026-10-01,VEINO'REGUL,,,TERRE ET NATURE,"{'code_postal': '35740', 'pays': 'FR'}",51966486600018,,Gélule,3 gélules,3 gélules par jour à avaler avec un verre d'eau,Déconseillé aux femmes enceintes.  ,"[""Circulation sanguine et lymphatique""]",,"[""Femmes enceintes""]",[],"[{""nom"": ""Hamamelis virginiana L."", ""partie"": ""Feuille"", ""preparation"": ""Extrait sec aqueux"", ""quantité_par_djr"": 300.0, ""unite"": ""mg""}, {""nom"": ""Aesculus hippocastanum L."", ""partie"": ""Graine"", ""preparation"": ""Poudre (de plantes séchées ou broyées)"", ""quantité_par_djr"": 750.0, ""unite"": ""mg""}, {""nom"": ""Vitis vinifera L."", ""partie"": ""Feuille"", ""preparation"": ""Poudre (de plantes séchées ou broyées)"", ""quantité_par_djr"": 90.0, ""unite"": ""mg""}]",[],[],"[""Hydroxypropyl Méthyl Cellulose""]",[],"[""Rutine""]",[]
273314,111,2016-12-732,Article 15,Retiré du marché,,2026-10-01,CAFE VERT EXTRAIT,,,TERRE ET NATURE,"{'code_postal': '35740', 'pays': 'FR'}",51966486600018,,Gélule,2 gélules,2 gélules par jour,Contient de la caféine.,[],,"[""Enfants (moins de 12 ans)"", ""Femmes enceintes""]",[],"[{""nom"": ""Coffea canephora Pierre ex A.Froehner"", ""partie"": ""Graine"", ""preparation"": ""Extrait sec aqueux"", ""quantité_par_djr"": 600.0, ""unite"": ""mg""}]",[],[],"[""E470b"", ""Hydroxypropyl Méthyl Cellulose""]",[],[],[]
274360,1285,2016-6-338,Article 15,Retiré du marché,,2026-10-01,PUISSANCE 5 RENFORCEE,,,TERRE ET NATURE,"{'code_postal': '35740', 'pays': 'FR'}",51966486600018,,Gélule,4 gélules,4 gélules par jour à prendre avec un verre d'eau,,"[""Autre : ""]",,[],[],"[{""nom"": ""Malpighia glabra L."", ""partie"": ""Fruit"", ""preparation"": ""Extrait sec aqueux"", ""quantité_par_djr"": 400.0, ""unite"": ""mg""}, {""nom"": ""Panax ginseng C.A.Mey."", ""partie"": ""Racine"", ""preparation"": ""Poudre (de plantes séchées ou broyées)"", ""quantité_par_djr"": 400.0, ""unite"": ""mg""}, {""nom"": ""Lepidium meyenii Walp."", ""partie"": ""Racine"", ""preparation"": ""Poudre (de plantes séchées ou broyées)"", ""quantité_par_djr"": 400.0, ""unite"": ""mg""}, {""nom"": ""Spirulina platensis (Gomont) Geitler"", ""partie"": ""Plante entière"", ""preparation"": ""Poudre (de plantes séchées ou broyées)"", ""quantité_par_djr"": 600.0, ""unite"": ""mg""}]",[],[],"[""Hydroxypropyl Méthyl Cellulose""]",[],"[""Gelée royale"", ""Taurine""]",[]
273320,121.0,2016-5-52,Article 15,Retiré du marché,,2026-10-01,AIL NOIR,,,TERRE ET NATURE,"{'code_postal': '35740', 'pays': 'FR'}",51966486600018,,Gélule,2 gélules,2 gélules par jour à prendre avec un verre d'eau,,[],,"[""Enfants en bas âge (1 à 3 ans)"", ""Nourrissons (moins de 1 an)""]",[],"[{""nom"": ""Allium sativum L."", ""partie"": ""Bulbe"", ""preparation"": ""Poudre (de plantes séchées ou broyées)"", ""quantité_par_djr"": 1.0, ""unite"": ""g""}]",[],[],"[""Hydroxypropyl Méthyl Cellulose""]",[],[],[]
273314,111.0,2016-12-732,Article 15,Retiré du marché,,2026-10-01,CAFE VERT EXTRAIT,,,TERRE ET NATURE,"{'code_postal': '35740', 'pays': 'FR'}",51966486600018,,Gélule,2 gélules,2 gélules par jour,Contient de la caféine.,[],,"[""Enfants (moins de 12 ans)"", ""Femmes enceintes""]",[],"[{""nom"": ""Coffea canephora Pierre ex A.Froehner"", ""partie"": ""Graine"", ""preparation"": ""Extrait sec aqueux"", ""quantité_par_djr"": 600.0, ""unite"": ""mg""}]",[],[],"[""E470b"", ""Hydroxypropyl Méthyl Cellulose""]",[],[],[]
274360,1285.0,2016-6-338,Article 15,Retiré du marché,,2026-10-01,PUISSANCE 5 RENFORCEE,,,TERRE ET NATURE,"{'code_postal': '35740', 'pays': 'FR'}",51966486600018,,Gélule,4 gélules,4 gélules par jour à prendre avec un verre d'eau,,"[""Autre : ""]",,[],[],"[{""nom"": ""Malpighia glabra L."", ""partie"": ""Fruit"", ""preparation"": ""Extrait sec aqueux"", ""quantité_par_djr"": 400.0, ""unite"": ""mg""}, {""nom"": ""Panax ginseng C.A.Mey."", ""partie"": ""Racine"", ""preparation"": ""Poudre (de plantes séchées ou broyées)"", ""quantité_par_djr"": 400.0, ""unite"": ""mg""}, {""nom"": ""Lepidium meyenii Walp."", ""partie"": ""Racine"", ""preparation"": ""Poudre (de plantes séchées ou broyées)"", ""quantité_par_djr"": 400.0, ""unite"": ""mg""}, {""nom"": ""Spirulina platensis (Gomont) Geitler"", ""partie"": ""Plante entière"", ""preparation"": ""Poudre (de plantes séchées ou broyées)"", ""quantité_par_djr"": 600.0, ""unite"": ""mg""}]",[],[],"[""Hydroxypropyl Méthyl Cellulose""]",[],"[""Gelée royale"", ""Taurine""]",[]
273626,535.0,2016-5-466,Article 15,Retiré du marché,,2026-10-01,CETONES DE FRAMBOISE,,,TERRE ET NATURE,"{'code_postal': '35740', 'pays': 'FR'}",51966486600018,,Gélule,3 gélules ,3 gélules par jour à prendre avec un verre d'eau ,,[],,"[""Enfants en bas âge (1 à 3 ans)"", ""Nourrissons (moins de 1 an)""]",[],"[{""nom"": ""Rubus idaeus L."", ""partie"": ""Fruit"", ""preparation"": ""Extrait sec hydroalcoolique"", ""quantité_par_djr"": 1.2, ""unite"": ""g""}]",[],[],[],[],[],[]
274413,1355.0,2016-6-408,Article 16,Retiré du marché,,2026-10-01,DEFENSES NATURELLES RENFORCEES,,,TERRE ET NATURE,"{'code_postal': '35740', 'pays': 'FR'}",51966486600018,,Gélule,4 gélules,4 gélules par jour à prendre avec un verre d'eau,,"[""Immunité""]",,[],[],"[{""nom"": ""Aphanizomenon flos-aquae Ralfs ex Bornet & Flahault"", ""partie"": ""Plante entière"", ""preparation"": ""Poudre (de plantes séchées ou broyées)"", ""quantité_par_djr"": 440.0, ""unite"": ""mg""}, {""nom"": ""Grifola frondosa(Dicks.) Gray"", ""partie"": ""Carpophore"", ""preparation"": ""Poudre (de plantes séchées ou broyées)"", ""quantité_par_djr"": 280.0, ""unite"": ""mg""}, {""nom"": ""Malpighia glabra L."", ""partie"": ""Fruit"", ""preparation"": ""Extrait sec aqueux"", ""quantité_par_djr"": 400.0, ""unite"": ""mg""}, {""nom"": ""Ganoderma lucidum(Curtis ex Fr.) P.Karst."", ""partie"": ""Carpophore"", ""preparation"": ""Poudre (de plantes séchées ou broyées)"", ""quantité_par_djr"": 280.0, ""unite"": ""mg""}, {""nom"": ""Lentinula edodes(Berk.) Pegler"", ""partie"": ""Carpophore"", ""preparation"": ""Poudre (de plantes séchées ou broyées)"", ""quantité_par_djr"": 480.0, ""unite"": ""mg""}, {""nom"": ""Spirulina platensis (Gomont) Geitler"", ""partie"": ""Plante entière"", ""preparation"": ""Poudre (de plantes séchées ou broyées)"", ""quantité_par_djr"": 440.0, ""unite"": ""mg""}]",[],[],"[""Hydroxypropyl Méthyl Cellulose""]",[],[],[]
