Code INSEE commune ou arrondissement,Commune ou arrondissement,Source,Location intermédiaire,Location sociale,Location très sociale
36196,Saint-Gilles,Loyer CDL,"4,64","3,82",3
50483,Saint-Gilles,Loyer CDL,"6,03","4,96","3,9"
51484,Saint-Gilles,Loyer CDL,"6,46","5,32","4,18"
53042,Brecé,Loyer CDL,"4,95","4,07","3,2"
53214,Saint-Erblon,Loyer CDL,"5,31","4,37","3,44"
61317,Orgères,Loyer CDL,"5,01","4,12","3,24"
81253,Saint-Grégoire,Loyer CDL,"6,35","5,23","4,11"
30258,Saint-Gilles,Loyer OLL,"9,29","7,65","6,01"
35001,Acigné,Loyer OLL,"8,1","6,67","5,24"
35022,Bécherel,Loyer OLL,"8,1","6,67","5,24"
35024,Betton,Loyer OLL,"9,1","7,5","5,89"
35032,Bourgbarré,Loyer OLL,"8,1","6,67","5,24"
35039,Brécé,Loyer OLL,"8,1","6,67","5,24"
35047,Bruz,Loyer OLL,"9,1","7,5","5,89"
35051,Cesson-Sévigné,Loyer OLL,"9,74","8,02","6,3"
35055,Chantepie,Loyer OLL,"9,74","8,02","6,3"
35058,La Chapelle-Chaussée,Loyer OLL,"8,1","6,67","5,24"
35059,La Chapelle-des-Fougeretz,Loyer OLL,"8,1","6,67","5,24"
35065,La Chapelle-Thouarault,Loyer OLL,"8,1","6,67","5,24"
35066,Chartres-de-Bretagne,Loyer OLL,"9,1","7,5","5,89"
35076,Chavagne,Loyer OLL,"8,1","6,67","5,24"
35079,Chevaigné,Loyer OLL,"8,1","6,67","5,24"
35080,Cintré,Loyer OLL,"8,1","6,67","5,24"
35081,Clayes,Loyer OLL,"8,1","6,67","5,24"
35088,Corps-Nuds,Loyer OLL,"8,1","6,67","5,24"
35120,Gévezé,Loyer OLL,"8,1","6,67","5,24"
35131,L'Hermitage,Loyer OLL,"8,1","6,67","5,24"
35139,Laillé,Loyer OLL,"8,1","6,67","5,24"
35144,Langan,Loyer OLL,"8,1","6,67","5,24"
35180,Miniac-sous-Bécherel,Loyer OLL,"8,1","6,67","5,24"
35189,Montgermont,Loyer OLL,"8,1","6,67","5,24"
35196,Mordelles,Loyer OLL,"9,1","7,5","5,89"
35204,Nouvoitou,Loyer OLL,"8,1","6,67","5,24"
35206,Noyal-Châtillon-sur-Seiche,Loyer OLL,"8,1","6,67","5,24"
35208,Orgères,Loyer OLL,"8,1","6,67","5,24"
35210,Pacé,Loyer OLL,"9,1","7,5","5,89"
35216,Parthenay-de-Bretagne,Loyer OLL,"8,1","6,67","5,24"
35238,Rennes,Loyer OLL,"11,52","9,49","7,45"
35240,Le Rheu,Loyer OLL,"9,1","7,5","5,89"
35245,Romillé,Loyer OLL,"8,1","6,67","5,24"
35250,Saint-Armel,Loyer OLL,"8,1","6,67","5,24"
35266,Saint-Erblon,Loyer OLL,"8,1","6,67","5,24"
35275,Saint-Gilles,Loyer OLL,"8,1","6,67","5,24"
35278,Saint-Grégoire,Loyer OLL,"9,74","8,02","6,3"
35281,Saint-Jacques-de-la-Lande,Loyer OLL,"9,74","8,02","6,3"
35315,Saint-Sulpice-la-Forêt,Loyer OLL,"8,1","6,67","5,24"
35334,Thorigné-Fouillard,Loyer OLL,"8,1","6,67","5,24"
35351,Le Verger,Loyer OLL,"8,1","6,67","5,24"
35352,Vern-sur-Seiche,Loyer OLL,"9,1","7,5","5,89"
35353,Vezin-le-Coquet,Loyer OLL,"8,1","6,67","5,24"
35363,Pont-Péan,Loyer OLL,"8,1","6,67","5,24"
56205,Saint-Armel,Loyer OLL,"8,83","7,27","5,71"
61321,Pacé,Loyer OLL,"7,37","6,07","4,77"
71425,Saint-Gilles,Loyer OLL,"8,01","6,6","5,18"
