Code INSEE commune ou arrondissement,Commune ou arrondissement,Source,Location intermédiaire,Location sociale,Location très sociale,
35001,Acigné,Loyer OLL,"8,37","6,89","5,41",
35022,Bécherel,Loyer OLL,"8,37","6,89","5,41",
35024,Betton,Loyer OLL,"9,4","7,74","6,08",
35032,Bourgbarré,Loyer OLL,"8,37","6,89","5,41",
35039,Brécé,Loyer OLL,"8,37","6,89","5,41",
35047,Bruz,Loyer OLL,"9,4","7,74","6,08",
35051,Cesson-Sévigné,Loyer OLL,"10,06","8,28","6,51",
35055,Chantepie,Loyer OLL,"10,06","8,28","6,51",
35058,La Chapelle-Chaussée,Loyer OLL,"8,37","6,89","5,41",
35059,La Chapelle-Des-Fougeretz,Loyer OLL,"8,37","6,89","5,41",
35065,La Chapelle-Thouarault,Loyer OLL,"8,37","6,89","5,41",
35066,Chartres-De-Bretagne,Loyer OLL,"9,4","7,74","6,08",
35076,Chavagne,Loyer OLL,"8,37","6,89","5,41",
35079,Chevaigné,Loyer OLL,"8,37","6,89","5,41",
35080,Cintré,Loyer OLL,"8,37","6,89","5,41",
35081,Clayes,Loyer OLL,"8,37","6,89","5,41",
35088,Corps-Nuds,Loyer OLL,"8,37","6,89","5,41",
35120,Gévezé,Loyer OLL,"8,37","6,89","5,41",
35131,L'hermitage,Loyer OLL,"8,37","6,89","5,41",
35139,Laillé,Loyer OLL,"8,37","6,89","5,41",
35144,Langan,Loyer OLL,"8,37","6,89","5,41",
35180,Miniac-Sous-Bécherel,Loyer OLL,"8,37","6,89","5,41",
35189,Montgermont,Loyer OLL,"8,37","6,89","5,41",
35196,Mordelles,Loyer OLL,"9,4","7,74","6,08",
35204,Nouvoitou,Loyer OLL,"8,37","6,89","5,41",
35206,Noyal-Châtillon-Sur-Seiche,Loyer OLL,"8,37","6,89","5,41",
35208,Orgères,Loyer OLL,"8,37","6,89","5,41",
35210,Pacé,Loyer OLL,"9,4","7,74","6,08",
35216,Parthenay-De-Bretagne,Loyer OLL,"8,37","6,89","5,41",
35238,Rennes,Loyer OLL,"11,89","9,79","7,7",
35240,Le Rheu,Loyer OLL,"9,4","7,74","6,08",
35245,Romillé,Loyer OLL,"8,37","6,89","5,41",
35250,Saint-Armel,Loyer OLL,"8,37","6,89","5,41",
35266,Saint-Erblon,Loyer OLL,"8,37","6,89","5,41",
35275,Saint-Gilles,Loyer OLL,"8,37","6,89","5,41",
35278,Saint-Grégoire,Loyer OLL,"10,06","8,28","6,51",
35281,Saint-Jacques-De-La-Lande,Loyer OLL,"10,06","8,28","6,51",
35315,Saint-Sulpice-La-Forêt,Loyer OLL,"8,37","6,89","5,41",
35334,Thorigné-Fouillard,Loyer OLL,"8,37","6,89","5,41",
35351,Le Verger,Loyer OLL,"8,37","6,89","5,41",
35352,Vern-Sur-Seiche,Loyer OLL,"9,4","7,74","6,08",
35353,Vezin-Le-Coquet,Loyer OLL,"8,37","6,89","5,41",
35363,Pont-Péan,Loyer OLL,"8,37","6,89","5,41",
36196,Saint-Gilles,Loyer CDL,"4,8","3,95","3,1",
50483,Saint-Gilles,Loyer CDL,"6,22","5,12","4,03",
51484,Saint-Gilles,Loyer CDL,"6,67","5,49","4,31",
53042,Brecé,Loyer CDL,"5,11","4,21","3,31",
53214,Saint-Erblon,Loyer CDL,"5,48","4,52","3,55",
56205,Saint Armel,Loyer OLL,"9,12","7,51","5,9",
61317,Orgères,Loyer CDL,"5,17","4,26","3,35",
61321,Pace,Loyer OLL,"7,61","6,27","4,93",
71425,Saint-Gilles,Loyer OLL,"8,27","6,81","5,35",
81253,Saint-Grégoire,Loyer CDL,"6,55","5,4","4,24",
