Code Insee,Code postal,latitude,longitude,nom commune,département,région,population 2015,population 2021
35001,35690,48.1464008617,-1.51879762112,Acigné,Ille-et-Vilaine,Bretagne,6521,6888
35022,35190,48.2965087434,-1.9428236566,Bécherel,Ille-et-Vilaine,Bretagne,678,690
35024,35830,48.1812360423,-1.64589552684,Betton,Ille-et-Vilaine,Bretagne,10879,12695
35032,35230,47.988587599,-1.62222742311,Bourgbarré,Ille-et-Vilaine,Bretagne,3841,4580
35039,35530,48.1107701278,-1.48991638652,Brécé,Ille-et-Vilaine,Bretagne,2099,2147
35047,35170,48.0261755313,-1.74817480915,Bruz,Ille-et-Vilaine,Bretagne,17978,19651
35047,35170,48.0261755313,-1.74817480915,Bruz,Ille-et-Vilaine,Bretagne,17978,19651
35051,35510,48.1202268032,-1.59714447272,Cesson-Sévigné,Ille-et-Vilaine,Bretagne,17414,17716
35055,35135,48.0817134724,-1.6038253094,Chantepie,Ille-et-Vilaine,Bretagne,10445,10232
35058,35630,48.2664350425,-1.86414756163,La Chapelle-Chaussée,Ille-et-Vilaine,Bretagne,1254,1300
35059,35520,48.1768937301,-1.74067185823,La Chapelle-des-Fougeretz,Ille-et-Vilaine,Bretagne,4806,4604
35065,35590,48.1252826202,-1.8581233152,La Chapelle-Thouarault,Ille-et-Vilaine,Bretagne,2070,2252
35066,35131,48.0451561683,-1.70650297343,Chartres-de-Bretagne,Ille-et-Vilaine,Bretagne,7355,8237
35076,35310,48.0561574005,-1.78649242036,Chavagne,Ille-et-Vilaine,Bretagne,3802,4415
35079,35250,48.2251828699,-1.63670416498,Chevaigné,Ille-et-Vilaine,Bretagne,2126,2365
35080,35310,48.108708615,-1.88667263001,Cintré,Ille-et-Vilaine,Bretagne,2236,2533
35081,35590,48.1786926288,-1.8539725616,Clayes,Ille-et-Vilaine,Bretagne,818,937
35088,35150,47.9823871404,-1.57026704551,Corps-Nuds,Ille-et-Vilaine,Bretagne,3216,3543
35120,35850,48.2133254705,-1.79930703575,Gévezé,Ille-et-Vilaine,Bretagne,5161,5890
35131,35590,48.1221023417,-1.8166504183,L'Hermitage,Ille-et-Vilaine,Bretagne,4227,4692
35132,35120,48.5948348848,-1.80915236052,Hirel,Ille-et-Vilaine,Bretagne,1368,1386
35132,35120,48.5948348848,-1.80915236052,Hirel,Ille-et-Vilaine,Bretagne,1368,1386
