ID_ITE,Date,Raison_sociale,Code_SIRET,Code_NAF,Adresse,Code_postal,Commune,Utilisation_ITE,Etat_ITE,Type_etablissement,Reception_marchandises,Expédie_marchandises,Convention_active,Circulation_récente,Date_arrêt,Regime_trains_circulaient_sur_ITE,Remplacement_transport_ferroviaire,Intérêt_reutilisation_ITE,Produit_transporté,Marchandises_reçue,Marchandises_reçues_train,Marchandises_expédiées,Marchandises_expédiées_train,Classe_tonnage,Regime_trains_circulant_sur_ITE,Locotracteur_rail,Locotracteur_rail-route,Frequence_trains,Evolution_trafic_ferroviaire_depuis_2010,Evolution_trafic_ferroviaire_depuis_2021,Nombre_de_voies,Longueur_de_la_plus_longue_voie,Possibilité_circulation_trains_entier_sur_site,Code_ligne,Pkm1,Pkm2,Pkm3,Accessibilité,Existance_voie_approche_vers_etablissement,Proprietaire_voie_d'approche,Structure_proprietaire_voie_d'approche,Nombre_de_passage_niveau_sur_voie_d'approche,Geometry
4756,2026-01-27 11:47:38,BOISSONS 2000,32181566400024	,46.34Z,"0299591434 47 Rue du Manoir de Servigné, ",35000 ,Rennes,Non,"Inutilisable (par exemple : aiguillage déposé et/ou ITE à reconstruire complètement, ...)",Site de stockage ; Site de distribution ; ,Oui,Oui,Non,,Entre 2010 et 2014,Lotissements,NA,Non,Non spécifié,"NST 4 : Produits alimentaires, boissons et tabac ; ",,"NST 4 : Produits alimentaires, boissons et tabac ; ",,Non renseigné,,,,,,,0.0,0.0,,420000,"377,823",,,,"Oui, j'en suis sûr",Je ne sais pas à qui elle appartient,,,POINT (-1.735519188982039 48.1013553803725)
4757,2026-01-27 11:15:05,AFM Recyclage	,38348263500059	,38.31Z,"0299145100 34 Rue du Manoir de Servigné, ",35000, Rennes,Non,"Inutilisable (par exemple : aiguillage déposé et/ou ITE à reconstruire complètement, ...)",Site de stockage ; ,Oui,Oui,Non,,Entre 2005 et 2010,Lotissements,NA,Non,Non spécifié,NST 14 : Matières premières secondaires ; ,,NST 14 : Matières premières secondaires ; ,,Non renseigné,,,,,,,0.0,0.0,,420000,"377,823",,,,"Oui, j'en suis sûr",Je ne sais pas à qui elle appartient,,,POINT (-1.732771021540543 48.101531582815866)
5043,2026-01-14 14:51:58,2F OUEST	,54920053300020	,46.75Z,0299644644 11 Rue de la Hautière,35590, L'Hermitage,Non,Mauvais (utilisable avec frais de maintenance élevés ou travaux de remise à niveau à prévoir),Site de production ; Site de stockage ; Site de distribution ; ,Oui,Oui,,,Entre 2014 et 2020,Lotissements,Entièrement par du transport routier ; NA,Non,,NST 8 : Produits chimiques et fibres synthétiques ; ,,NST 8 : Produits chimiques et fibres synthétiques ; ,,Non renseigné,,,,,,,1.0,100.0,,,,,,,A priori non,Je ne sais pas à qui elle appartient,,,POINT (-1.829569508492455 48.12127616021178)
5964,2025-03-11 15:36:42,OUEST FRANCE	,37771465400011	,58.13Z,"0299264317 10 Rue du Breil, ",35000 ,Rennes,Non,Mauvais (utilisable avec frais de maintenance élevés ou travaux de remise à niveau à prévoir),,,,,,Entre 2020 et 2024,Lotissements,,Oui,,,,,,Non renseigné,,,,,,,1.0,270.0,,,,,,,Possiblement oui,Je pense qu'elle appartient à notre entreprise,,,POINT (-1.62611 48.0938)
6215,2026-02-06 11:10:19,Wolseley	,21350281800247	,84.11Z,00 Boulevard Jean Mermoz	,35136	,Saint-Jacques-de-la-Lande,Non,"Inutilisable (par exemple : aiguillage déposé et/ou ITE à reconstruire complètement, ...)",,Non,Non,Non,,Entre 2010 et 2014,Lotissements,NA,Non,Non spécifié,,,,,Non renseigné,,,,,,,0.0,0.0,,468000,"376,103",,,,"Non, j'en suis sûr",,,,POINT (-1.70275 48.09)
6384,2025-09-29 11:03:30,Max Plus entreprise	,39455178200136	,70.10Z,"0299372020 5 Rue de la Hautière ZA de, ",35590 ,L'Hermitage,Non,Mauvais (utilisable avec frais de maintenance élevés ou travaux de remise à niveau à prévoir),,Non,Non,,,Entre 2010 et 2014,Lotissements,NA,Non,,,,,,Non renseigné,,,,,,,2.0,190.0,,,,,,,Possiblement oui,Je ne sais pas à qui elle appartient,,,POINT (-1.82609 48.12029)
6385,2025-09-29 11:20:02,Les Matériaux de l'Ouest	,57920080900021	,25.93Z,"0299786800 3 Rue de la Hautière, ",35590 ,L'Hermitage,Non,Mauvais (utilisable avec frais de maintenance élevés ou travaux de remise à niveau à prévoir),Site de stockage ; Site de distribution ; ,Oui,Oui,Oui,,Entre 2010 et 2014,Lotissements,NA,Non,Non spécifié,NST 9 : Autres produits minéraux non métalliques ; ,,NST 9 : Autres produits minéraux non métalliques ; ,,Non renseigné,,,,,,,1.0,160.0,,420000,0,,,,"Oui, j'en suis sûr",Je ne sais pas à qui elle appartient,,,POINT (-1.82808 48.12047)
6417,2025-10-09 15:27:09,CIMENTS RENFORCES INDUSTRIES (ETERNIT)	,51532399600055	,23.65Z,"0299848170 Rue Bahon Rault, ",35760 ,Saint-Grégoire,Non,"Inutilisable (par exemple : aiguillage déposé et/ou ITE à reconstruire complètement, ...)",Site de production ; ,Oui,Oui,Non,,Entre 2014 et 2020,Lotissements,NA,Non,Non spécifié,NST 3 : Minerais métalliques et autres produits d'extraction ; ,,NST 9 : Autres produits minéraux non métalliques ; ,,Non renseigné,,,,,,,1.0,188.0,,441000,"379,438",,,,"Non, j'en suis sûr",Je ne sais pas à qui elle appartient,,,POINT (-1.67814 48.13905)
6995,2026-04-08 16:45:21,SOCIETE LAITIÈRE DE L'HERMITAGE	,40305984300017,10.51A,"0299018787 Pl. de la Gare, ",35590 ,L'Hermitage,Non,Mauvais (utilisable avec frais de maintenance élevés ou travaux de remise à niveau à prévoir),Site de production ; Site de stockage ; ,Non,Non,Oui,,Entre 2010 et 2014,Lotissements,Entièrement_par_du_routier,Non,Non spécifié,,,,,Non renseigné,,,,,,,2.0,135.0,,420000,"385,247",,,,"Non, j'en suis sûr",,,,POINT (-1.82341 48.12501)
6996,2026-04-10 10:21:26,Ziegler France	,35450022501916,52.29B,0299787440 1 RUE DE LA HALLERAIS,35770 ,Vern-sur-Seiche,Non,"Bon (utilisable sans frais, autres que ceux de maintenance courante)",Site de transport/messagerie ; Autre ; ,Non,Non,,,Entre 2014 et 2020,Lotissements,Entièrement_par_du_routier,Oui,,,,,,Non renseigné,,,,,,,2.0,60.0,,,,,,,A priori non,,,,POINT (-1.62302 48.07476)
