date_mesure,geocode_epci,libelle_epci,type_accroche,valeur
2022-01-01T00:00:00.000,243500139,Rennes Métropole,cadre et roue,9246.0
2023-01-01T00:00:00.000,243500139,Rennes Métropole,cadre et roue,10500.0
2022-01-01T00:00:00.000,243500139,Rennes Métropole,sans accroche,4963.0
2025-01-01T00:00:00.000,243500139,Rennes Métropole,sans accroche,3825.0
2023-01-01T00:00:00.000,243500139,Rennes Métropole,cadre,621.0
2023-01-01T00:00:00.000,243500139,Rennes Métropole,sans accroche,4713.0
2024-01-01T00:00:00.000,243500139,Rennes Métropole,roue,1450.0
2023-01-01T00:00:00.000,243500139,Rennes Métropole,roue,1096.0
2024-01-01T00:00:00.000,243500139,Rennes Métropole,cadre et roue,14544.0
2024-01-01T00:00:00.000,243500139,Rennes Métropole,sans accroche,4421.0
2025-01-01T00:00:00.000,243500139,Rennes Métropole,cadre et roue,16235.0
2024-01-01T00:00:00.000,243500139,Rennes Métropole,cadre,551.0
2022-01-01T00:00:00.000,243500139,Rennes Métropole,cadre,561.0
2025-01-01T00:00:00.000,243500139,Rennes Métropole,roue,1588.0
2022-01-01T00:00:00.000,243500139,Rennes Métropole,roue,829.0
2025-01-01T00:00:00.000,243500139,Rennes Métropole,cadre,571.0
