date_mesure,geocode_commune,libelle_commune,type_eau,usage,valeur
2008-01-01,35001,Acigné,eaux douces souterraines,agriculture,0.0
2008-01-01,35001,Acigné,eaux douces souterraines,eau potable,0.0
2008-01-01,35001,Acigné,eaux douces souterraines,industrie et autres usages économiques,0.0
2008-01-01,35001,Acigné,eaux douces souterraines,refroidissement des centrales électriques,0.0
2008-01-01,35001,Acigné,eaux douces superficielles,agriculture,17300.0
2008-01-01,35001,Acigné,eaux douces superficielles,eau potable,0.0
2008-01-01,35001,Acigné,eaux douces superficielles,industrie et autres usages économiques,0.0
2008-01-01,35001,Acigné,eaux douces superficielles,refroidissement des centrales électriques,0.0
2008-01-01,35001,Acigné,eaux saumâtres,refroidissement des centrales électriques,0.0
2008-01-01,35022,Bécherel,eaux douces souterraines,agriculture,0.0
2008-01-01,35022,Bécherel,eaux douces souterraines,eau potable,281700.0
2008-01-01,35022,Bécherel,eaux douces souterraines,industrie et autres usages économiques,0.0
2008-01-01,35022,Bécherel,eaux douces souterraines,refroidissement des centrales électriques,0.0
2008-01-01,35022,Bécherel,eaux douces superficielles,agriculture,0.0
2008-01-01,35022,Bécherel,eaux douces superficielles,eau potable,0.0
2008-01-01,35022,Bécherel,eaux douces superficielles,industrie et autres usages économiques,0.0
2008-01-01,35022,Bécherel,eaux douces superficielles,refroidissement des centrales électriques,0.0
2008-01-01,35022,Bécherel,eaux saumâtres,refroidissement des centrales électriques,0.0
2008-01-01,35024,Betton,eaux douces souterraines,agriculture,0.0
2008-01-01,35024,Betton,eaux douces souterraines,eau potable,150800.0
2008-01-01,35024,Betton,eaux douces souterraines,industrie et autres usages économiques,0.0
2008-01-01,35024,Betton,eaux douces souterraines,refroidissement des centrales électriques,0.0
2008-01-01,35024,Betton,eaux douces superficielles,agriculture,0.0
2008-01-01,35024,Betton,eaux douces superficielles,eau potable,0.0
2008-01-01,35024,Betton,eaux douces superficielles,industrie et autres usages économiques,0.0
2008-01-01,35024,Betton,eaux douces superficielles,refroidissement des centrales électriques,0.0
2008-01-01,35024,Betton,eaux saumâtres,refroidissement des centrales électriques,0.0
2008-01-01,35032,Bourgbarré,eaux douces souterraines,agriculture,0.0
2008-01-01,35032,Bourgbarré,eaux douces souterraines,eau potable,0.0
2008-01-01,35032,Bourgbarré,eaux douces souterraines,industrie et autres usages économiques,0.0
2008-01-01,35032,Bourgbarré,eaux douces souterraines,refroidissement des centrales électriques,0.0
2008-01-01,35032,Bourgbarré,eaux douces superficielles,agriculture,0.0
2008-01-01,35032,Bourgbarré,eaux douces superficielles,eau potable,0.0
2008-01-01,35032,Bourgbarré,eaux douces superficielles,industrie et autres usages économiques,0.0
2008-01-01,35032,Bourgbarré,eaux douces superficielles,refroidissement des centrales électriques,0.0
2008-01-01,35032,Bourgbarré,eaux saumâtres,refroidissement des centrales électriques,0.0
2008-01-01,35039,Brécé,eaux douces souterraines,agriculture,0.0
2008-01-01,35039,Brécé,eaux douces souterraines,eau potable,0.0
2008-01-01,35039,Brécé,eaux douces souterraines,industrie et autres usages économiques,0.0
2008-01-01,35039,Brécé,eaux douces souterraines,refroidissement des centrales électriques,0.0
2008-01-01,35039,Brécé,eaux douces superficielles,agriculture,6500.0
2008-01-01,35039,Brécé,eaux douces superficielles,eau potable,0.0
2008-01-01,35039,Brécé,eaux douces superficielles,industrie et autres usages économiques,0.0
2008-01-01,35039,Brécé,eaux douces superficielles,refroidissement des centrales électriques,0.0
2008-01-01,35039,Brécé,eaux saumâtres,refroidissement des centrales électriques,0.0
2008-01-01,35047,Bruz,eaux douces souterraines,agriculture,6000.0
2008-01-01,35047,Bruz,eaux douces souterraines,eau potable,657100.0
2008-01-01,35047,Bruz,eaux douces souterraines,industrie et autres usages économiques,0.0
2008-01-01,35047,Bruz,eaux douces souterraines,refroidissement des centrales électriques,0.0
2008-01-01,35047,Bruz,eaux douces superficielles,agriculture,0.0
2008-01-01,35047,Bruz,eaux douces superficielles,eau potable,0.0
2008-01-01,35047,Bruz,eaux douces superficielles,industrie et autres usages économiques,0.0
2008-01-01,35047,Bruz,eaux douces superficielles,refroidissement des centrales électriques,0.0
2008-01-01,35047,Bruz,eaux saumâtres,refroidissement des centrales électriques,0.0
2008-01-01,35051,Cesson-Sévigné,eaux douces souterraines,agriculture,0.0
2008-01-01,35051,Cesson-Sévigné,eaux douces souterraines,eau potable,0.0
2008-01-01,35051,Cesson-Sévigné,eaux douces souterraines,industrie et autres usages économiques,0.0
2008-01-01,35051,Cesson-Sévigné,eaux douces souterraines,refroidissement des centrales électriques,0.0
2008-01-01,35051,Cesson-Sévigné,eaux douces superficielles,agriculture,0.0
2008-01-01,35051,Cesson-Sévigné,eaux douces superficielles,eau potable,0.0
2008-01-01,35051,Cesson-Sévigné,eaux douces superficielles,industrie et autres usages économiques,0.0
2008-01-01,35051,Cesson-Sévigné,eaux douces superficielles,refroidissement des centrales électriques,0.0
2008-01-01,35051,Cesson-Sévigné,eaux saumâtres,refroidissement des centrales électriques,0.0
2008-01-01,35055,Chantepie,eaux douces souterraines,agriculture,0.0
2008-01-01,35055,Chantepie,eaux douces souterraines,eau potable,0.0
2008-01-01,35055,Chantepie,eaux douces souterraines,industrie et autres usages économiques,0.0
2008-01-01,35055,Chantepie,eaux douces souterraines,refroidissement des centrales électriques,0.0
