date_mesure,geocode_epci,libelle_epci,type_eau,usage,valeur
2008-01-01,243500139,Rennes Métropole,eaux douces souterraines,agriculture,33200.0
2008-01-01,243500139,Rennes Métropole,eaux douces souterraines,eau potable,6521300.0
2008-01-01,243500139,Rennes Métropole,eaux douces souterraines,industrie et autres usages économiques,428800.0
2008-01-01,243500139,Rennes Métropole,eaux douces souterraines,refroidissement des centrales électriques,0.0
2008-01-01,243500139,Rennes Métropole,eaux douces superficielles,agriculture,160000.0
2008-01-01,243500139,Rennes Métropole,eaux douces superficielles,eau potable,17882600.0
2008-01-01,243500139,Rennes Métropole,eaux douces superficielles,industrie et autres usages économiques,38900.0
2008-01-01,243500139,Rennes Métropole,eaux douces superficielles,refroidissement des centrales électriques,0.0
2008-01-01,243500139,Rennes Métropole,eaux saumâtres,refroidissement des centrales électriques,0.0
2009-01-01,243500139,Rennes Métropole,eaux douces souterraines,agriculture,43946.0
2009-01-01,243500139,Rennes Métropole,eaux douces souterraines,eau potable,2550985.0
2009-01-01,243500139,Rennes Métropole,eaux douces souterraines,industrie et autres usages économiques,263507.0
2009-01-01,243500139,Rennes Métropole,eaux douces souterraines,refroidissement des centrales électriques,0.0
2009-01-01,243500139,Rennes Métropole,eaux douces superficielles,agriculture,111155.0
2009-01-01,243500139,Rennes Métropole,eaux douces superficielles,eau potable,0.0
2009-01-01,243500139,Rennes Métropole,eaux douces superficielles,industrie et autres usages économiques,27907.0
2009-01-01,243500139,Rennes Métropole,eaux douces superficielles,refroidissement des centrales électriques,0.0
2009-01-01,243500139,Rennes Métropole,eaux saumâtres,refroidissement des centrales électriques,0.0
2010-01-01,243500139,Rennes Métropole,eaux douces souterraines,agriculture,48802.0
2010-01-01,243500139,Rennes Métropole,eaux douces souterraines,eau potable,3044275.0
2010-01-01,243500139,Rennes Métropole,eaux douces souterraines,industrie et autres usages économiques,234401.0
2010-01-01,243500139,Rennes Métropole,eaux douces souterraines,refroidissement des centrales électriques,0.0
2010-01-01,243500139,Rennes Métropole,eaux douces superficielles,agriculture,259343.0
2010-01-01,243500139,Rennes Métropole,eaux douces superficielles,eau potable,0.0
2010-01-01,243500139,Rennes Métropole,eaux douces superficielles,industrie et autres usages économiques,28578.0
2010-01-01,243500139,Rennes Métropole,eaux douces superficielles,refroidissement des centrales électriques,0.0
2010-01-01,243500139,Rennes Métropole,eaux saumâtres,refroidissement des centrales électriques,0.0
2011-01-01,243500139,Rennes Métropole,eaux douces souterraines,agriculture,50148.0
2011-01-01,243500139,Rennes Métropole,eaux douces souterraines,eau potable,2904822.0
2011-01-01,243500139,Rennes Métropole,eaux douces souterraines,industrie et autres usages économiques,430591.0
2011-01-01,243500139,Rennes Métropole,eaux douces souterraines,refroidissement des centrales électriques,0.0
2011-01-01,243500139,Rennes Métropole,eaux douces superficielles,agriculture,241376.0
2011-01-01,243500139,Rennes Métropole,eaux douces superficielles,eau potable,0.0
2011-01-01,243500139,Rennes Métropole,eaux douces superficielles,industrie et autres usages économiques,174059.0
2011-01-01,243500139,Rennes Métropole,eaux douces superficielles,refroidissement des centrales électriques,0.0
2011-01-01,243500139,Rennes Métropole,eaux saumâtres,refroidissement des centrales électriques,0.0
2012-01-01,243500139,Rennes Métropole,eaux douces souterraines,agriculture,48847.0
2012-01-01,243500139,Rennes Métropole,eaux douces souterraines,alimentation des canaux,0.0
2012-01-01,243500139,Rennes Métropole,eaux douces souterraines,eau potable,2765684.0
2012-01-01,243500139,Rennes Métropole,eaux douces souterraines,industrie et autres usages économiques,399957.0
2012-01-01,243500139,Rennes Métropole,eaux douces souterraines,refroidissement des centrales électriques,0.0
2012-01-01,243500139,Rennes Métropole,eaux douces superficielles,agriculture,81173.0
2012-01-01,243500139,Rennes Métropole,eaux douces superficielles,alimentation des canaux,0.0
2012-01-01,243500139,Rennes Métropole,eaux douces superficielles,eau potable,0.0
2012-01-01,243500139,Rennes Métropole,eaux douces superficielles,industrie et autres usages économiques,129474.0
2012-01-01,243500139,Rennes Métropole,eaux douces superficielles,refroidissement des centrales électriques,0.0
2012-01-01,243500139,Rennes Métropole,eaux saumâtres,agriculture,0.0
2012-01-01,243500139,Rennes Métropole,eaux saumâtres,industrie et autres usages économiques,0.0
2012-01-01,243500139,Rennes Métropole,eaux saumâtres,refroidissement des centrales électriques,0.0
2013-01-01,243500139,Rennes Métropole,eaux douces souterraines,agriculture,67421.0
2013-01-01,243500139,Rennes Métropole,eaux douces souterraines,alimentation des canaux,0.0
2013-01-01,243500139,Rennes Métropole,eaux douces souterraines,eau potable,2829798.0
2013-01-01,243500139,Rennes Métropole,eaux douces souterraines,industrie et autres usages économiques,391374.0
2013-01-01,243500139,Rennes Métropole,eaux douces souterraines,refroidissement des centrales électriques,0.0
2013-01-01,243500139,Rennes Métropole,eaux douces superficielles,agriculture,188934.0
2013-01-01,243500139,Rennes Métropole,eaux douces superficielles,alimentation des canaux,0.0
2013-01-01,243500139,Rennes Métropole,eaux douces superficielles,eau potable,0.0
2013-01-01,243500139,Rennes Métropole,eaux douces superficielles,industrie et autres usages économiques,170214.0
2013-01-01,243500139,Rennes Métropole,eaux douces superficielles,refroidissement des centrales électriques,0.0
2013-01-01,243500139,Rennes Métropole,eaux saumâtres,agriculture,0.0
2013-01-01,243500139,Rennes Métropole,eaux saumâtres,industrie et autres usages économiques,0.0
2013-01-01,243500139,Rennes Métropole,eaux saumâtres,refroidissement des centrales électriques,0.0
2014-01-01,243500139,Rennes Métropole,eaux douces souterraines,agriculture,62621.0
2014-01-01,243500139,Rennes Métropole,eaux douces souterraines,alimentation des canaux,0.0
2014-01-01,243500139,Rennes Métropole,eaux douces souterraines,eau potable,3391322.0
2014-01-01,243500139,Rennes Métropole,eaux douces souterraines,industrie et autres usages économiques,348480.0
2014-01-01,243500139,Rennes Métropole,eaux douces souterraines,refroidissement des centrales électriques,0.0
2014-01-01,243500139,Rennes Métropole,eaux douces superficielles,agriculture,133491.0
2014-01-01,243500139,Rennes Métropole,eaux douces superficielles,alimentation des canaux,0.0
2014-01-01,243500139,Rennes Métropole,eaux douces superficielles,eau potable,0.0
2014-01-01,243500139,Rennes Métropole,eaux douces superficielles,industrie et autres usages économiques,139743.0
2014-01-01,243500139,Rennes Métropole,eaux douces superficielles,refroidissement des centrales électriques,0.0
2014-01-01,243500139,Rennes Métropole,eaux saumâtres,agriculture,0.0
2014-01-01,243500139,Rennes Métropole,eaux saumâtres,alimentation des canaux,0.0
2014-01-01,243500139,Rennes Métropole,eaux saumâtres,industrie et autres usages économiques,0.0
2014-01-01,243500139,Rennes Métropole,eaux saumâtres,refroidissement des centrales électriques,0.0
2015-01-01,243500139,Rennes Métropole,eaux douces souterraines,agriculture,59906.0
