date_mesure,geocode_commune,libelle_commune,mode_transport,valeur
2022-01-01T00:00:00.000,35032,Bourgbarré,Voiture,2061.292053986888
2022-01-01T00:00:00.000,35024,Betton,Marche,130.98688724953107
2022-01-01T00:00:00.000,35001,Acigné,Transports en commun,335.2947214076245
2022-01-01T00:00:00.000,35189,Montgermont,Voiture,1270.874709729992
2022-01-01T00:00:00.000,35189,Montgermont,Marche,48.57157549696192
2022-01-01T00:00:00.000,35334,Thorigné-Fouillard,Pas de transport,131.0958553663916
2022-01-01T00:00:00.000,35032,Bourgbarré,Marche,27.675430570180772
2022-01-01T00:00:00.000,35160,Loutehel,Transports en commun,4.95105697804636
2022-01-01T00:00:00.000,35204,Nouvoitou,Pas de transport,61.88587270523492
2022-01-01T00:00:00.000,35238,Rennes,Marche,11405.800908395733
2022-01-01T00:00:00.000,35024,Betton,Voiture,4439.979384206589
2022-01-01T00:00:00.000,35076,Chavagne,Pas de transport,110.86559902370358
2022-01-01T00:00:00.000,35139,Laillé,Pas de transport,79.93148480730655
2022-01-01T00:00:00.000,35334,Thorigné-Fouillard,Vélo,87.22234520567875
2022-01-01T00:00:00.000,35230,Poilley,Vélo,4.31521431092456
2022-01-01T00:00:00.000,35039,Brécé,Voiture,862.0137528440258
2022-01-01T00:00:00.000,35132,Hirel,Marche,10.150720414094511
2022-01-01T00:00:00.000,35059,La Chapelle-des-Fougeretz,Voiture,1650.5565838184816
2022-01-01T00:00:00.000,35139,Laillé,Marche,35.48601152525558
2022-01-01T00:00:00.000,35204,Nouvoitou,Voiture,1527.6925570013275
2022-01-01T00:00:00.000,35080,Cintré,Transports en commun,120.48579595237275
2022-01-01T00:00:00.000,35135,Irodouër,Transports en commun,61.985161557054404
2022-01-01T00:00:00.000,35081,Clayes,Deux-roues motorisé,5.07297172889291
2022-01-01T00:00:00.000,35001,Acigné,Deux-roues motorisé,40.03519061583576
2022-01-01T00:00:00.000,35055,Chantepie,Marche,180.5848583350374
2022-01-01T00:00:00.000,35132,Hirel,Pas de transport,10.150720414094511
2022-01-01T00:00:00.000,35230,Poilley,Deux-roues motorisé,4.46254315385766
2022-01-01T00:00:00.000,35216,Parthenay-de-Bretagne,Transports en commun,55.88265033138733
2022-01-01T00:00:00.000,35055,Chantepie,Voiture,3275.018827723019
