nofinessej,rsej,nofinesset,rset,noautor,de,libde,ta,libta,capaut,dateautor
350005179,CHRU RENNES,350012993,CENTRE DE FORMATION CHR RENNES,530502668,414,Formation DE Infirmier,34,Enseignement,150,2000-09-01
350005179,CHRU RENNES,350012993,CENTRE DE FORMATION CHR RENNES,530502669,418,Formation DE Puéricultrice,34,Enseignement,28,2000-09-01
350005179,CHRU RENNES,350012993,CENTRE DE FORMATION CHR RENNES,530502670,419,Formation DE Aide-Soignant,34,Enseignement,68,2000-09-01
350005179,CHRU RENNES,350012993,CENTRE DE FORMATION CHR RENNES,530502671,421,Formation DE ManipulateurElectro-radiologie médicale,34,Enseignement,25,2000-09-01
350005179,CHRU RENNES,350012993,CENTRE DE FORMATION CHR RENNES,530502672,425,Formation DE Infirmier Anesthésiste,34,Enseignement,25,2000-09-01
350005179,CHRU RENNES,350012993,CENTRE DE FORMATION CHR RENNES,530502673,426,Formation DE Infirmier Bloc Opératoire,34,Enseignement,28,2000-09-01
350005179,CHRU RENNES,350012993,CENTRE DE FORMATION CHR RENNES,530703018,418,Formation DE Puéricultrice,34,Enseignement,30,2000-09-01
350005179,CHRU RENNES,350012993,CENTRE DE FORMATION CHR RENNES,530703019,419,Formation DE Aide-Soignant,34,Enseignement,105,2000-09-01
350005179,CHRU RENNES,350012993,CENTRE DE FORMATION CHR RENNES,530703020,426,Formation DE Infirmier Bloc Opératoire,34,Enseignement,30,2000-09-01
350005179,CHRU RENNES,350012993,CENTRE DE FORMATION CHR RENNES,530703093,413,Formation DE Ambulancier,34,Enseignement,70,2017-09-01
350005179,CHRU RENNES,350012993,CENTRE DE FORMATION CHR RENNES,531103510,415,Formation DE Sage-Femme,34,Enseignement,27,2000-09-01
350005179,CHRU RENNES,350012993,CENTRE DE FORMATION CHR RENNES,531203527,453,Formation Cadre de Santé (sans autre indication),34,Enseignement,30,2017-09-01
350005179,CHRU RENNES,350012993,CENTRE DE FORMATION CHR RENNES,531804009,421,Formation DE ManipulateurElectro-radiologie médicale,34,Enseignement,30,2017-09-01
350005179,CHRU RENNES,350012993,CENTRE DE FORMATION CHR RENNES,532204190,413,Formation DE Ambulancier,34,Enseignement,80,2022-09-01
350005179,CHRU RENNES,350012993,CENTRE DE FORMATION CHR RENNES,532204191,414,Formation DE Infirmier,34,Enseignement,187,2022-09-01
350005179,CHRU RENNES,350012993,CENTRE DE FORMATION CHR RENNES,532204192,419,Formation DE Aide-Soignant,34,Enseignement,155,2022-09-01
350005179,CHRU RENNES,350012993,CENTRE DE FORMATION CHR RENNES,532204193,421,Formation DE ManipulateurElectro-radiologie médicale,34,Enseignement,35,2022-09-01
