date_mesure,geocode_commune,libelle_commune,type_installation,vecteur,valeur
1996-01-01,35238,Rennes,Autre,Thermique non renouvelable,8.5
1997-01-01,35131,L'Hermitage,Non renseigné,Thermique non renouvelable,7.424
1997-01-01,35238,Rennes,Autre,Thermique non renouvelable,8.5
1998-01-01,35131,L'Hermitage,Non renseigné,Thermique non renouvelable,7.424
1998-01-01,35238,Rennes,Autre,Thermique non renouvelable,8.5
1999-01-01,35131,L'Hermitage,Non renseigné,Thermique non renouvelable,7.424
1999-01-01,35238,Rennes,Autre,Thermique non renouvelable,8.5
1999-01-01,35238,Rennes,Cogénération à vapeur,Thermique non renouvelable,1.454
2000-01-01,35131,L'Hermitage,Non renseigné,Thermique non renouvelable,7.424
2000-01-01,35238,Rennes,Autre,Thermique non renouvelable,8.5
2000-01-01,35238,Rennes,Cogénération à vapeur,Bioénergies,9.5
2000-01-01,35238,Rennes,Cogénération à vapeur,Thermique non renouvelable,1.454
2001-01-01,35131,L'Hermitage,Non renseigné,Thermique non renouvelable,7.424
2001-01-01,35238,Rennes,Autre,Thermique non renouvelable,8.5
2001-01-01,35238,Rennes,Cogénération à vapeur,Bioénergies,9.5
2001-01-01,35238,Rennes,Cogénération à vapeur,Thermique non renouvelable,1.454
2002-01-01,35131,L'Hermitage,Non renseigné,Thermique non renouvelable,7.424
2002-01-01,35238,Rennes,Autre,Thermique non renouvelable,8.5
2002-01-01,35238,Rennes,Cogénération à vapeur,Bioénergies,9.5
2002-01-01,35238,Rennes,Cogénération à vapeur,Thermique non renouvelable,1.454
2003-01-01,35131,L'Hermitage,Non renseigné,Thermique non renouvelable,7.424
2003-01-01,35238,Rennes,Autre,Thermique non renouvelable,8.5
2003-01-01,35238,Rennes,Cogénération à vapeur,Bioénergies,9.5
2003-01-01,35238,Rennes,Cogénération à vapeur,Thermique non renouvelable,1.454
2004-01-01,35131,L'Hermitage,Non renseigné,Thermique non renouvelable,7.424
2004-01-01,35238,Rennes,Autre,Thermique non renouvelable,8.5
2004-01-01,35238,Rennes,Cogénération à vapeur,Bioénergies,9.5
2004-01-01,35238,Rennes,Cogénération à vapeur,Thermique non renouvelable,1.454
2004-01-01,35238,Rennes,Photovoltaïque,Solaire,1.81125
2005-01-01,35065,La Chapelle-Thouarault,Photovoltaïque,Solaire,0.18522999999999998
2005-01-01,35131,L'Hermitage,Non renseigné,Thermique non renouvelable,7.424
2005-01-01,35238,Rennes,Autre,Thermique non renouvelable,8.5
2005-01-01,35238,Rennes,Cogénération à vapeur,Bioénergies,9.5
2005-01-01,35238,Rennes,Cogénération à vapeur,Thermique non renouvelable,1.454
2005-01-01,35238,Rennes,Photovoltaïque,Solaire,1.81125
2006-01-01,35065,La Chapelle-Thouarault,Photovoltaïque,Solaire,0.18522999999999998
2006-01-01,35131,L'Hermitage,Non renseigné,Thermique non renouvelable,7.424
2006-01-01,35135,Irodouër,Photovoltaïque,Solaire,0.15966999999999998
2006-01-01,35238,Rennes,Autre,Thermique non renouvelable,8.5
2006-01-01,35238,Rennes,Cogénération à vapeur,Bioénergies,9.5
2006-01-01,35238,Rennes,Cogénération à vapeur,Thermique non renouvelable,1.454
2006-01-01,35238,Rennes,Photovoltaïque,Solaire,1.81125
2007-01-01,35001,Acigné,Photovoltaïque,Solaire,0.1196
2007-01-01,35065,La Chapelle-Thouarault,Photovoltaïque,Solaire,0.18522999999999998
2007-01-01,35066,Chartres-de-Bretagne,Photovoltaïque,Solaire,0.08917
2007-01-01,35131,L'Hermitage,Non renseigné,Thermique non renouvelable,7.424
2007-01-01,35135,Irodouër,Photovoltaïque,Solaire,0.15966999999999998
2007-01-01,35196,Mordelles,Photovoltaïque,Solaire,0.3781900000000001
2007-01-01,35210,Pacé,Photovoltaïque,Solaire,0.38004000000000004
2007-01-01,35238,Rennes,Autre,Thermique non renouvelable,8.5
2007-01-01,35238,Rennes,Cogénération à vapeur,Bioénergies,9.5
2007-01-01,35238,Rennes,Cogénération à vapeur,Thermique non renouvelable,1.454
2007-01-01,35238,Rennes,Photovoltaïque,Solaire,1.81125
2007-01-01,35315,Saint-Sulpice-la-Forêt,Photovoltaïque,Solaire,0.06405
2007-01-01,35334,Thorigné-Fouillard,Photovoltaïque,Solaire,0.04269
2008-01-01,35001,Acigné,Photovoltaïque,Solaire,0.24412
2008-01-01,35024,Betton,Photovoltaïque,Solaire,0.11361
2008-01-01,35047,Bruz,Photovoltaïque,Solaire,0.5918399999999999
2008-01-01,35051,Cesson-Sévigné,Photovoltaïque,Solaire,0.09739
2008-01-01,35065,La Chapelle-Thouarault,Photovoltaïque,Solaire,0.18522999999999998
