date_mesure,geocode_epci,libelle_epci,type_installation,vecteur,valeur
1996-01-01,243500139,Rennes Métropole,Autre,Thermique non renouvelable,8.5
1997-01-01,243500139,Rennes Métropole,Autre,Thermique non renouvelable,8.5
1997-01-01,243500139,Rennes Métropole,Non renseigné,Thermique non renouvelable,7.424
1998-01-01,243500139,Rennes Métropole,Autre,Thermique non renouvelable,8.5
1998-01-01,243500139,Rennes Métropole,Non renseigné,Thermique non renouvelable,7.424
1999-01-01,243500139,Rennes Métropole,Autre,Thermique non renouvelable,8.5
1999-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Thermique non renouvelable,1.454
1999-01-01,243500139,Rennes Métropole,Non renseigné,Thermique non renouvelable,7.424
2000-01-01,243500139,Rennes Métropole,Autre,Thermique non renouvelable,8.5
2000-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Bioénergies,9.5
2000-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Thermique non renouvelable,1.454
2000-01-01,243500139,Rennes Métropole,Non renseigné,Thermique non renouvelable,7.424
2001-01-01,243500139,Rennes Métropole,Autre,Thermique non renouvelable,8.5
2001-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Bioénergies,9.5
2001-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Thermique non renouvelable,1.454
2001-01-01,243500139,Rennes Métropole,Non renseigné,Thermique non renouvelable,7.424
2002-01-01,243500139,Rennes Métropole,Autre,Thermique non renouvelable,8.5
2002-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Bioénergies,9.5
2002-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Thermique non renouvelable,1.454
2002-01-01,243500139,Rennes Métropole,Non renseigné,Thermique non renouvelable,7.424
2003-01-01,243500139,Rennes Métropole,Autre,Thermique non renouvelable,8.5
2003-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Bioénergies,9.5
2003-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Thermique non renouvelable,1.454
2003-01-01,243500139,Rennes Métropole,Non renseigné,Thermique non renouvelable,7.424
2004-01-01,243500139,Rennes Métropole,Autre,Thermique non renouvelable,8.5
2004-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Bioénergies,9.5
2004-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Thermique non renouvelable,1.454
2004-01-01,243500139,Rennes Métropole,Non renseigné,Thermique non renouvelable,7.424
2004-01-01,243500139,Rennes Métropole,Photovoltaïque,Solaire,1.81125
2005-01-01,243500139,Rennes Métropole,Autre,Thermique non renouvelable,8.5
2005-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Bioénergies,9.5
2005-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Thermique non renouvelable,1.454
2005-01-01,243500139,Rennes Métropole,Non renseigné,Thermique non renouvelable,7.424
2005-01-01,243500139,Rennes Métropole,Photovoltaïque,Solaire,1.99648
2006-01-01,243500139,Rennes Métropole,Autre,Thermique non renouvelable,8.5
2006-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Bioénergies,9.5
2006-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Thermique non renouvelable,1.454
2006-01-01,243500139,Rennes Métropole,Non renseigné,Thermique non renouvelable,7.424
2006-01-01,243500139,Rennes Métropole,Photovoltaïque,Solaire,1.99648
2007-01-01,243500139,Rennes Métropole,Autre,Thermique non renouvelable,8.5
2007-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Bioénergies,9.5
2007-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Thermique non renouvelable,1.454
2007-01-01,243500139,Rennes Métropole,Non renseigné,Thermique non renouvelable,7.424
2007-01-01,243500139,Rennes Métropole,Photovoltaïque,Solaire,3.0702200000000004
2008-01-01,243500139,Rennes Métropole,Autre,Thermique non renouvelable,8.5
2008-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Bioénergies,9.5
2008-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Thermique non renouvelable,1.454
2008-01-01,243500139,Rennes Métropole,Non renseigné,Thermique non renouvelable,7.424
2008-01-01,243500139,Rennes Métropole,Photovoltaïque,Solaire,5.31159
2009-01-01,243500139,Rennes Métropole,Autre,Thermique non renouvelable,8.5
2009-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Bioénergies,9.5
2009-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Thermique non renouvelable,1.454
2009-01-01,243500139,Rennes Métropole,Non renseigné,Thermique non renouvelable,7.424
2009-01-01,243500139,Rennes Métropole,Photovoltaïque,Solaire,11.955839999999998
2010-01-01,243500139,Rennes Métropole,Autre,Thermique non renouvelable,12.438
2010-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Bioénergies,9.5
2010-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Thermique non renouvelable,1.454
2010-01-01,243500139,Rennes Métropole,Non renseigné,Thermique non renouvelable,7.424
2010-01-01,243500139,Rennes Métropole,Photovoltaïque,Solaire,16.2719
2011-01-01,243500139,Rennes Métropole,Autre,Thermique non renouvelable,12.438
2011-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Bioénergies,9.5
2011-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Thermique non renouvelable,1.454
2011-01-01,243500139,Rennes Métropole,Non renseigné,Bioénergies,0.15
2011-01-01,243500139,Rennes Métropole,Non renseigné,Thermique non renouvelable,7.424
2011-01-01,243500139,Rennes Métropole,Photovoltaïque,Solaire,20.990450000000003
2012-01-01,243500139,Rennes Métropole,Autre,Thermique non renouvelable,15.79
2012-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Bioénergies,9.5
2012-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Thermique non renouvelable,1.454
2012-01-01,243500139,Rennes Métropole,Non renseigné,Bioénergies,0.15
2012-01-01,243500139,Rennes Métropole,Non renseigné,Thermique non renouvelable,7.424
2012-01-01,243500139,Rennes Métropole,Photovoltaïque,Solaire,22.716850000000004
2013-01-01,243500139,Rennes Métropole,Autre,Bioénergies,10.627
2013-01-01,243500139,Rennes Métropole,Autre,Thermique non renouvelable,15.79
2013-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Bioénergies,9.5
2013-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Thermique non renouvelable,1.454
2013-01-01,243500139,Rennes Métropole,Eclusée,Hydraulique,0.12064
2013-01-01,243500139,Rennes Métropole,Non renseigné,Bioénergies,0.15
2013-01-01,243500139,Rennes Métropole,Non renseigné,Thermique non renouvelable,7.424
2013-01-01,243500139,Rennes Métropole,Photovoltaïque,Solaire,23.033250000000006
2014-01-01,243500139,Rennes Métropole,Autre,Bioénergies,10.627
2014-01-01,243500139,Rennes Métropole,Autre,Thermique non renouvelable,15.79
2014-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Bioénergies,9.5
2014-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Thermique non renouvelable,1.454
2014-01-01,243500139,Rennes Métropole,Eclusée,Hydraulique,0.12064
2014-01-01,243500139,Rennes Métropole,Non renseigné,Bioénergies,0.15
2014-01-01,243500139,Rennes Métropole,Non renseigné,Thermique non renouvelable,21.424
2014-01-01,243500139,Rennes Métropole,Photovoltaïque,Solaire,23.48025
2015-01-01,243500139,Rennes Métropole,Autre,Bioénergies,10.627
2015-01-01,243500139,Rennes Métropole,Autre,Thermique non renouvelable,15.79
2015-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Bioénergies,9.5
2015-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Thermique non renouvelable,1.454
2015-01-01,243500139,Rennes Métropole,Eclusée,Hydraulique,0.12064
2015-01-01,243500139,Rennes Métropole,Non renseigné,Bioénergies,0.15
2015-01-01,243500139,Rennes Métropole,Non renseigné,Thermique non renouvelable,21.424
2015-01-01,243500139,Rennes Métropole,Photovoltaïque,Solaire,23.845450000000003
2016-01-01,243500139,Rennes Métropole,Autre,Bioénergies,10.627
2016-01-01,243500139,Rennes Métropole,Autre,Thermique non renouvelable,15.79
2016-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Bioénergies,9.5
2016-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Thermique non renouvelable,3.4539999999999997
2016-01-01,243500139,Rennes Métropole,Eclusée,Hydraulique,0.12064
2016-01-01,243500139,Rennes Métropole,Non renseigné,Bioénergies,0.15
2016-01-01,243500139,Rennes Métropole,Non renseigné,Thermique non renouvelable,30.091
2016-01-01,243500139,Rennes Métropole,Photovoltaïque,Solaire,24.43006
2017-01-01,243500139,Rennes Métropole,Autre,Bioénergies,10.627
2017-01-01,243500139,Rennes Métropole,Autre,Thermique non renouvelable,15.79
2017-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Bioénergies,9.5
2017-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Thermique non renouvelable,3.4539999999999997
2017-01-01,243500139,Rennes Métropole,Eclusée,Hydraulique,0.12064
2017-01-01,243500139,Rennes Métropole,Non renseigné,Bioénergies,0.15
2017-01-01,243500139,Rennes Métropole,Non renseigné,Thermique non renouvelable,30.091
2017-01-01,243500139,Rennes Métropole,Photovoltaïque,Solaire,24.513060000000003
2018-01-01,243500139,Rennes Métropole,Autre,Bioénergies,10.627
2018-01-01,243500139,Rennes Métropole,Autre,Thermique non renouvelable,15.79
2018-01-01,243500139,Rennes Métropole,Cogénération à combustion,Bioénergies,0.16
2018-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Bioénergies,9.5
2018-01-01,243500139,Rennes Métropole,Cogénération à vapeur,Thermique non renouvelable,3.4539999999999997
2018-01-01,243500139,Rennes Métropole,Eclusée,Hydraulique,0.12064
2018-01-01,243500139,Rennes Métropole,Non renseigné,Bioénergies,0.15
2018-01-01,243500139,Rennes Métropole,Non renseigné,Thermique non renouvelable,30.091
2018-01-01,243500139,Rennes Métropole,Photovoltaïque,Solaire,25.193060000000003
2018-01-01,243500139,Rennes Métropole,Turbine à combustion,Thermique non renouvelable,4.95
2019-01-01,243500139,Rennes Métropole,Autre,Bioénergies,10.627
