Filiere,Raison_sociale,Identifiant_societe,Adresse_1,Adresse_2,Adresse_3,Code_postal,Ville,Pays,SIRET_eco-organisme,Raison_sociale_eco-organisme,Catégorie agrément,Date_DebutValidite_Inscription,Date_FinValidite_Inscription
ABJ,BPAC SAS,75394464400024,26 Rue du passavent,,,35770,vern sur seiche,FR,53849587000031,ECOMAISON,ABJ_FAM_4 / ABJ_FAM_3,2022-01-01,
ABJ,ALL CONTRACTS,53051415700029,28 Rue Test,,,35000,Rennes,FR,53849587000031,ECOMAISON,ABJ_FAM_4 / ABJ_FAM_3,2022-01-01,
ABJ,DOCKS MATERIAUX DE L OUEST,30236421100276,23 BD DE LA HAIE DES COGNETS,,,35136,SAINT-JACQUES-DE-LA-LANDE,FR,90272217200035,VALOBAT,,2024-01-05,
ABJ,BRETAGNE MATERIAUX,63572045100122,12 RUE DE LA LONGERAIS,,,35000,RENNES,FR,90272217200035,VALOBAT,,2024-01-05,
ABJ,LQE NATURE - Cot Cot House,90143713700036,8 RUE JULES GUESDE,,,35000,RENNES,FR,53849587000031,ECOMAISON,ABJ_FAM_3 / ABJ_FAM_4,2022-01-01,
ABJ,SPHERE-INTER,34851606300172,12 rue de la Roberdière,,,35000,Rennes,FR,53849587000031,ECOMAISON,ABJ_FAM_3 / ABJ_FAM_4,2022-01-01,
ABJ,PANOFRANCE SAS,82391683800340,23 BD DE LA HAIE DES COGNETS,,,35136,SAINT-JACQUES-DE-LA-LANDE,FR,90272217200035,VALOBAT,,2024-01-05,
ABJ,SAS RENOUEST,30500847600031,RUE JULES VALLES,,,35000,RENNES,FR,53849587000031,ECOMAISON,ABJ_FAM_3 / ABJ_FAM_4,2022-01-01,
ASL,BALTEE,91334069100017,PLACE DU GRANIER,,,35135,CHANTEPIE,FR,48774196900033,ECOLOGIC,ASL_CAT_1 / ASL_CAT_2,2023-01-01,
ASL,Belle en selle,91762679800016,7 rue madame du campfranc,,,35000,RENNES,FR,48774196900033,ECOLOGIC,ASL_CAT_1 / ASL_CAT_2,2025-01-01,
ASL,Horizon Sport Création,50523945900033,4 rue du Bocage,,,35520,La Chapelle des Fougeretz,FR,48774196900033,ECOLOGIC,ASL_CAT_1 / ASL_CAT_2,2023-01-01,
ASL,SPORT CONSEIL,80131043400031,6 RUE DENIS PAPIN,,,35230,SAINT-ARMEL,FR,48774196900033,ECOLOGIC,ASL_CAT_1 / ASL_CAT_2,2022-01-01,
ASL,TIKI FACTORY,80086973700018,41 RUE DE LA MAILLARDIERE,,,35770,VERN SUR SEICHE,FR,48774196900033,ECOLOGIC,ASL_CAT_1 / ASL_CAT_2,2022-01-01,
BAT,CARDIOUEST,53993154300042,9 RUE DE LA MOTTE D'ILLE,,,35830,BETTON,FR,83033936200022,ecosystem,BAT_PORT,2017-01-01,
BAT,COMEASIL,75007710900031,9 CHATEAU LOGE,,,35230,BOURGBARRE,FR,83033936200022,ecosystem,BAT_PORT,2017-01-01,
BAT,BIO-TECHNE,45127628100024,19 RUE LOUIS DELOURMEL,,,35230,NOYAL CHATILLON SUR SEICHE,FR,42258207200043,BATRIBOX,BAT_PORT,2016-01-01,
BAT,DRJL / QUALIMOBILE,95198058000025,18 Rue Edison,,,35760,MONTGERMONT,FR,42258207200043,BATRIBOX,BAT_PORT,2023-01-01,
BAT,COMPTOIR BRETON D HORLOGERIE,39932434200027,RUE DE LA TERRE VICTORIA BAT B,PARC EDONIA,,35760,SAINT GREGOIRE,FR,83033936200022,ecosystem,BAT_PORT,2023-01-01,
BAT,DIFFUSION EQUIPEMENTS LOISIRSDEL SAS,30335567100031,LA BASSE CROIX ROUGE,,,35530,BRECE,FR,83033936200022,ecosystem,BAT_PORT,2025-01-01,
BAT,EVENSCU,93503604600016,"BUREAU 3, 5 ALLÉE DE LA GRANDE TREILLE",,,35200,RENNES,FR,83033936200022,ecosystem,BAT_PORT,2025-01-01,
BAT,GREEN DISTRIBUTION SARL,40951493200030,26 RUE DU PASSAVENT,ZAC D ORSON,,35770,VERN SUR SEICHE,FR,83033936200022,ecosystem,BAT_PORT,2017-01-01,
BAT,GALIAN,85229903100025,2 RUE CLAUDE CHAPPE,BATIMENT 1,,35230,NOYAL-CHATILLON-SUR-SEICHE,FR,83033936200022,ecosystem,BAT_MTL,2025-08-18,
BAT,HXLINN,98139965200016,6B Rue du Bas Village 35510 Cesson-Sévigné,,,35510,Cesson-Sévigné,FR,83033936200022,ecosystem,BAT_PORT,2024-01-01,2025-12-31
BAT,INTUITION ROBOTIQUE & TECHNOLOGIES,95243928900010,14TER AVENUE GROS MALHON,,,35000,RENNES,FR,83033936200022,ecosystem,BAT_PORT,2025-01-01,
BAT,JLB,90510343800016,6 RUE DU MOULIN,,,35135,CHANTEPIE,FR,42258207200043,BATRIBOX,BAT_PORT,2024-01-01,
BAT,LETNERNY,94968146400010,28 Boulevard du Colombier,,,35000,Rennes,FR,83033936200022,ecosystem,BAT_PORT,2023-01-01,
BAT,LACROIX SOFREL,40906581000023,2 RUE DU PLESSIS,,,35770,VERN SUR SEICHE,FR,42258207200043,BATRIBOX,BAT_PORT,2023-01-01,
BAT,MICROTECH DISTRIBUTION,48953371100037,9 rue Frébardière,ZI sud Est,,35510,CESSON-SEVIGNE,FR,42258207200043,BATRIBOX,BAT_PORT,2016-01-01,
BAT,MB GUERCHAISIXINA,31000557400069,10 ALLEE DE GUERLEDAN,,,35135,CHANTEPIE,FR,83033936200022,ecosystem,BAT_PORT,2025-01-01,
BAT,SELF SIGNAL,38890891500043,13 RUE DE BRAY,,,35510,CESSON SEVIGNE,FR,83033936200022,ecosystem,BAT_PORT,2014-01-01,
BAT,SERRINEGEMITY,94898164200010,13 VENECELLE,,,35410,NOUVOITOU,FR,83033936200022,ecosystem,BAT_PORT,2025-01-01,
BAT,SONWSTAR,91458639100015,5 All?e de la Grande Treille,,,35200,Rennes,FR,83033936200022,ecosystem,BAT_PORT,2023-01-01,2025-12-31
BAT,TARDOORE SARL,94858595500016,5 ALLEE DE LA GRANDE TREILLE OFFICE 3 35200 RENNES,,,35200,RENNES,FR,42258207200043,BATRIBOX,BAT_PORT,2025-01-01,2025-12-31
BAT,YINGJIE SARL,94937517400016,5 All?e de la Grande Treille Rennes France,,,35200,Rennes,FR,83033936200022,ecosystem,BAT_PORT,2023-01-01,
BAT,YVES ROCHER FRANCE,80852918400026,2-4 BD BEAUMONT,,,35000,RENNES,FR,42258207200043,BATRIBOX,BAT_PORT,2016-01-01,
BAT,ZIFENG SARL,94867426200019,All?e de la Grande Treille Rennes France,,,35200,Rennes,FR,83033936200022,ecosystem,BAT_PORT,2023-01-01,
EA,AMC,39152172100020,RUE DES BIGNONS,,,35230,ORGERES,FR,90272217200035,VALOBAT,EA,2013-01-01,
EA,BRETAGNE MATERIAUX,63572045100122,12 RUE DE LA LONGERAIS,,,35000,RENNES,FR,90272217200035,VALOBAT,,2024-01-05,
EA,BRIAND Sophie,81957673700012,10 Boulevard Rene Laennec,,,35000,RENNES,FR,53849587000031,ECOMAISON,EA,2013-01-01,
EA,CEMA AGENCEMENT,90137130200018,233 rue de Saint Malo,,,35000,RENNES,FR,53849587000031,ECOMAISON,EA,2013-01-01,
EA,CIE RENNAISE D'EQUIPEMENT,31584302900028,7 RUE DE LA GARENNE,,,35520,LA CHAPELLE DES FOUGERETZ,FR,53849587000031,ECOMAISON,EA,2013-01-01,
EA,CLEMINSUD,40317734800022,Parc rocade Sud,,,35135,Chantepie,FR,53849587000031,ECOMAISON,EA,2013-01-01,
EA,CPTE DECLA 01,23027143900013,28 Rue Test,,,35000,Rennes,FR,53849587000031,ECOMAISON,EA,2013-01-02,
EA,Cocinova SARL,79070574300017,4 rue de Chateaudun,,,35000,RENNES,FR,53849587000031,ECOMAISON,EA,2013-01-01,
EA,DOUBLE STARS STORE,95309123800014,6B RUE DU BAS VILLAGE,,,35510,CESSON-SÉVIGNÉ,FR,53849587000031,ECOMAISON,EA,2013-01-01,2025-12-31
EA,EI BRIAC SAVERAT,97964791400014,81 Mail François Mitterrand,,,35000,RENNES,FR,53849587000031,ECOMAISON,EA,2013-01-01,
EA,ADELIA,83116890100013,5 K RUE ROGER HENRI GUERRAND,,,35000,RENNES,FR,53849587000031,ECOMAISON,EA,2013-01-01,
EA,AKL,80234691600025,167 RUE DE LORIENT,,,35000,RENNES,FR,53849587000031,ECOMAISON,EA,2013-01-01,
