date,adresse,commune,insee,cote_archives,longitude,latitude
1962,rue de Fougères,Rennes,35238,759W,-1.657957,48.124472
1956,avenue du Général-George-Patton,Rennes,35238,761W,-1.661442,48.132739
1967,24 avenue du 41ème-Régiment-d'Infanterie,Rennes,35238,799W,-1.687301,48.118311
1967,9 avenue du 41ème-Régiment-d'Infanterie,Rennes,35238,799W,-1.687301,48.118311
1911,place de la Gare,Rennes,35238,761W,-1.67275,48.104224
1953,rue de Fougères,Rennes,35238,759W,-1.657957,48.124472
1932,avenue du Général-George-Patton,Rennes,35238,761W,-1.661442,48.132739
1955,rue de Fougères,Rennes,35238,759W,-1.657957,48.124472
1959,rue Lesage,Rennes,35238,769W,-1.675811,48.116967
1969,33 bis rue Leguen-de-Kérangal,Rennes,35238,769W,-1.685702,48.093915
1965,avenue du Général-George-Patton,Rennes,35238,761W,-1.661442,48.132739
1959,rue de Fougères,Rennes,35238,759W,-1.657957,48.124472
1964,19 rue Kléber,Rennes,35238,767W,-1.672328,48.110704
1938,avenue du Général-George-Patton,Rennes,35238,761W,-1.661442,48.132739
1969,rue Frédéric-Le-Guyader,Rennes,35238,760W,-1.697038,48.086566
1948,rue Jeanne-Jugan,Rennes,35238,766W,-1.649782,48.115566
1928,rue Jean-Pierre-Calloc'h,Rennes,35238,766W,-1.713395,48.109892
1952,avenue du Général-George-Patton,Rennes,35238,761W,-1.661442,48.132739
1970,rue Joseph-Buret,Rennes,35238,766W,-1.651129,48.124879
1939,rue de Fougères,Rennes,35238,759W,-1.657957,48.124472
1959,boulevard Gaëtan-Hervé,Rennes,35238,761W,-1.669032,48.09036
1950,rue Glais-Bizoin rue Bigot-de-Préameneu,Rennes,35238,762W,-1.66785657405853,48.0956005804551
1963,boulevard Gaëtan-Hervé,Rennes,35238,761W,-1.669032,48.09036
1965,boulevard Gaëtan-Hervé,Rennes,35238,761W,-1.669032,48.09036
1965,rue des Gantelles,Rennes,35238,761W,-1.663569,48.131131
1954,avenue du Général-George-Patton,Rennes,35238,761W,-1.661442,48.132739
1971,rue de Fougères,Rennes,35238,759W,-1.657957,48.124472
1920,177 rue de Fougères,Rennes,35238,759W,-1.66185,48.122543
1968,34 bis rue de Fougères,Rennes,35238,759W,-1.667238,48.11933
1968,10 rue Eugène-Desprez,Rennes,35238,750W,-1.666737,48.090821
1963,12 rue Eugène-Desprez,Rennes,35238,750W,-1.66659,48.090819
1951,Boulevard Emile-Combes,Rennes,35238,750W,-1.666224,48.094091
1953,rue Edouard-le-Deuff,Rennes,35238,750W,-1.647505,48.095547
1949,Boulevard Emile-Combes,Rennes,35238,750W,-1.666224,48.094091
1930,6 rue de la Carriére,Rennes,35238,746W,-1.699544,48.108964
sans date,rue de Châtillon,Rennes,35238,747W,-1.671898,48.095337
1963,10 rue de la Carriére,Rennes,35238,746W,-1.699544,48.108964
1964,12 rue de la Carriére,Rennes,35238,746W,-1.699544,48.108964
1952,15 rue de la Carriére,Rennes,35238,746W,-1.699544,48.108964
1925,Avenue Mgr-Mouezy,Rennes,35238,747W,-1.653094,48.102945
1957,34 rue de la Carriére,Rennes,35238,746W,-1.699544,48.108964
1958,34 rue de la Carriére,Rennes,35238,746W,-1.699544,48.108964
1967,6 impasse César-Franck,Rennes,35238,746W,-1.706182,48.108375
1966,3 impasse César-Franck,Rennes,35238,746W,-1.706182,48.108375
1949,impasse du Champ-de-la-Justice,Rennes,35238,746W,-1.708284,48.110617
1935,8A rue Champion-de-Cicé,Rennes,35238,746W,-1.704319,48.102578
1965,avenue Chardonnet,Rennes,35238,746W,-1.643372,48.107512
1949,rue Charles-Le-Goffic,Rennes,35238,746W,-1.657085,48.118077
1958,rue Beaugeard-Lancelot boulevard Raymond-Poincaré,Rennes,35238,744W,-1.65551036596298,48.1190134036189
1961,place du Calvaire,Rennes,35238,745W,-1.681197,48.110899
1955,rue Barbey-d'Aurevilly rue Bernard-Salmon,Rennes,35238,744W,-1.66418999433517,48.0955618857622
1936,rue Baudelaire,Rennes,35238,744W,-1.663288,48.119643
1963,villa Bourg-L'Evêque rue de Brest,Rennes,35238,744W,-1.69293388724327,48.1129754905968
1954,rue Alexandre-Duval et rue Claude-Bernard,Rennes,35238,743W,-1.69397994875908,48.1035638994834
1950,6 rue de l'Alma,Rennes,35238,743W,-1.67742650000002,48.1044269
1935,69 rue Alphonse-Guérin,Rennes,35238,743W,-1.660139,48.109176
1968,rue d'Alsace,Rennes,35238,743W,-1.703761,48.122555
1910,rue André-Désilles,Rennes,35238,743W,-1.682198,48.100266
1911,rue Ange-Blaise,Rennes,35238,743W,-1.680296,48.099953
1939,avenue Gros-Malhon,Rennes,35238,763W,-1.682326,48.124787
1963,8 rue Jean-Le-Ho,Rennes,35238,765W,-1.723669,48.105144
1959,8 rue Pointeau-du-Ronceray,Rennes,35238,799W,-1.665518,48.117655
1963,Caserne Mac-Mahon,Rennes,35238,799W,-1.6898724,48.1183774
