code_insee,commune,code_postal,code_departement,region,departement,lat,lon,irradiation,irradiation_q1_kwhm2,irradiation_q2_kwhm2,irradiation_q3_kwhm2,irradiation_q4_kwhm2,sun_hours_q1_h,sun_hours_q2_h,sun_hours_q3_h,sun_hours_q4_h,avg_temperature_q1_c,avg_temperature_q2_c,avg_temperature_q3_c,avg_temperature_q4_c,surface_exploitable,potentiel_kwh,economie,co2_evite_kg_an,roi_annees,population,climat,ensoleillement_annuel,temperature_moyenne,fiche_url
35047,Bruz,35170,35,Bretagne,Ille-et-Vilaine,48.0261755313,-1.74817480915,1236,179,472,446,139,271.8,537.63,501.82,231.43,6.6,13.93,17.9,9.63,36,5933,1158,326.30400000000003,6.9,19651,Océanique,1542,12.04,https://solairesimple.fr/region/bretagne/ille-et-vilaine/bruz
35047,Bruz,35170,35,Bretagne,Ille-et-Vilaine,48.0261755313,-1.74817480915,1236,179,472,446,139,271.8,537.63,501.82,231.43,6.6,13.93,17.9,9.63,36,5933,1158,326.30400000000003,6.9,19651,Océanique,1542,12.04,https://solairesimple.fr/region/bretagne/ille-et-vilaine/bruz
35051,Cesson-Sévigné,35510,35,Bretagne,Ille-et-Vilaine,48.1202268032,-1.59714447272,1238,180,474,444,139,270.99,536.73,500.94,230.5,6.52,13.96,17.88,9.52,36,5942,1160,326.83200000000005,6.9,17716,Océanique,1539,11.99,https://solairesimple.fr/region/bretagne/ille-et-vilaine/cesson-sevigne
35024,Betton,35830,35,Bretagne,Ille-et-Vilaine,48.1812360423,-1.64589552684,1224,178,469,440,137,270.43,536.2,500.38,229.97,6.56,13.95,17.87,9.56,36,5875,1147,323.136,7,12695,Océanique,1537,12.01,https://solairesimple.fr/region/bretagne/ille-et-vilaine/betton
35055,Chantepie,35135,35,Bretagne,Ille-et-Vilaine,48.0817134724,-1.6038253094,1241,180,475,446,140,271.33,537.09,501.29,230.86,6.57,13.97,17.94,9.6,36,5957,1163,327.624,6.9,10232,Océanique,1540,12.04,https://solairesimple.fr/region/bretagne/ille-et-vilaine/chantepie
35066,Chartres-de-Bretagne,35131,35,Bretagne,Ille-et-Vilaine,48.0451561683,-1.70650297343,1236,179,472,446,139,271.64,537.45,501.63,231.24,6.6,13.93,17.9,9.63,36,5933,1158,326.30400000000003,6.9,8237,Océanique,1542,12.04,https://solairesimple.fr/region/bretagne/ille-et-vilaine/chartres-de-bretagne
35001,Acigné,35690,35,Bretagne,Ille-et-Vilaine,48.1464008617,-1.51879762112,1238,180,474,444,140,270.77,536.48,500.69,230.23,6.52,13.96,17.88,9.52,36,5942,1160,326.83200000000005,6.9,6888,Océanique,1538,11.99,https://solairesimple.fr/region/bretagne/ille-et-vilaine/acigne
35059,Chapelle-des-Fougeretz,35520,35,Bretagne,Ille-et-Vilaine,48.1768937301,-1.74067185823,1228,179,470,441,138,270.46,536.26,500.43,230.05,6.54,13.88,17.8,9.55,36,5894,1151,324.192,7,4604,Océanique,1537,11.97,https://solairesimple.fr/region/bretagne/ille-et-vilaine/chapelle-des-fougeretz
35032,Bourgbarré,35230,35,Bretagne,Ille-et-Vilaine,47.988587599,-1.62222742311,1246,182,475,448,141,272.16,537.94,502.15,231.73,6.54,13.94,17.95,9.58,36,5981,1167,328.944,6.9,4580,Océanique,1544,12.02,https://solairesimple.fr/region/bretagne/ille-et-vilaine/bourgbarre
35076,Chavagne,35310,35,Bretagne,Ille-et-Vilaine,48.0561574005,-1.78649242036,1234,180,471,445,139,271.53,537.37,501.55,231.17,6.6,13.93,17.9,9.63,36,5923,1156,325.77600000000007,6.9,4415,Océanique,1541,12.04,https://solairesimple.fr/region/bretagne/ille-et-vilaine/chavagne
