OPERATEUR,ANNEE,FILIERE,CODE_IRIS_CODE,CODE_IRIS_LIBELLE,CODE_CATEGORIE_CONSOMMATION,CODE_SECTEUR_NAF2_CODE,CODE_SECTEUR_NAF2_LIBELLE,CODE_GRAND_SECTEUR,CONSO,PDL,INDQUAL,THERMOR,PART,CODE_EIC,NOM_COMMUNE
GRDF,2023,G,350010101,Ouest,RES,,,R,3041.09583,388,0.989576790153304,,0,17X100A100A00028,ACIGNE
GRDF,2023,G,350010101,Ouest,PRO,,,I,219.23529,8,0.967288113150031,,0,17X100A100A00028,ACIGNE
GRDF,2023,G,350010101,Ouest,PRO,,,T,732.71941,14,0.959429613035636,,0,17X100A100A00028,ACIGNE
GRDF,2023,G,350010101,Ouest,ENT,28,Fabrication de machines et équipements n.c.a.,I,447.1989,1,1,,0,17X100A100A00028,ACIGNE
GRDF,2023,G,350010101,Ouest,ENT,,,T,8809.196,1,1,,0,17X100A100A00028,ACIGNE
GRDF,2023,G,350010102,Est,RES,,,R,8474.88636,1281,0.996047800692869,,0,17X100A100A00028,ACIGNE
GRDF,2023,G,350010102,Est,PRO,,,I,57.97221,2,1,,0,17X100A100A00028,ACIGNE
GRDF,2023,G,350010102,Est,PRO,,,T,982.33275,21,0.721459790483418,,0,17X100A100A00028,ACIGNE
GRDF,2023,G,350240101,Ouest,RES,,,R,10091.57305,1556,0.993220550486923,,0,17X100A100A00028,BETTON
GRDF,2023,G,350240101,Ouest,PRO,,,A,secret,secret,,,,17X100A100A00028,BETTON
GRDF,2023,G,350240101,Ouest,PRO,,,I,secret,secret,,,,17X100A100A00028,BETTON
GRDF,2023,G,350240101,Ouest,PRO,,,T,1059.99572,18,1,,0,17X100A100A00028,BETTON
GRDF,2023,G,350240102,Centre,RES,,,R,5343.65918,445,0.993191085214383,,0,17X100A100A00028,BETTON
GRDF,2023,G,350240102,Centre,PRO,,,T,696.6621,9,1,,0,17X100A100A00028,BETTON
