date_mesure,geocode_commune,libelle_commune,classe_distance,mode_transport,numerateur,denominateur,valeur
2022-01-01T00:00:00.000,35363,Pont-Péan,5-10km,Transports en commun,24.453082468269248,531.047481226396,4.604688532143592
2022-01-01T00:00:00.000,35150,Lécousse,5-10km,Voiture,160.1339018829985,185.8242236272182,86.17493390110589
2022-01-01T00:00:00.000,35353,Vezin-le-Coquet,50km et plus,Voiture,34.922865013774086,39.91184573002752,87.50000000000001
2022-01-01T00:00:00.000,35216,Parthenay-de-Bretagne,20-50km,Vélo,0.0,95.8381523341032,0.0
2022-01-01T00:00:00.000,35120,Gévezé,2-5km,Voiture,0.0,16.74713091704269,0.0
2022-01-01T00:00:00.000,35353,Vezin-le-Coquet,5-10km,Deux-roues motorisé,54.87878787878785,1357.0137741046824,4.044084807834412
2022-01-01T00:00:00.000,35132,Hirel,5-10km,Pas de transport,0.0,131.68172112684658,0.0
2022-01-01T00:00:00.000,35204,Nouvoitou,10-20km,Voiture,1030.6585163381117,1117.8924515192004,92.19657176658282
2022-01-01T00:00:00.000,35058,La Chapelle-Chaussée,10-20km,Marche,0.0,89.27401129892682,0.0
2022-01-01T00:00:00.000,35238,Rennes,2-5km,Transports en commun,19112.80073107333,51407.23521144834,37.17920376861063
2022-01-01T00:00:00.000,35079,Chevaigné,Moins de 2km,Pas de transport,35.19990182094972,96.37185497455047,36.525084870728264
2022-01-01T00:00:00.000,35240,Le Rheu,20-50km,Vélo,0.0,214.77475117862758,0.0
2022-01-01T00:00:00.000,35275,Saint-Gilles,2-5km,Pas de transport,0.0,9.97603291522906,0.0
2022-01-01T00:00:00.000,35180,Miniac-sous-Bécherel,20-50km,Voiture,169.4197041181867,169.4197041181867,100.0
2022-01-01T00:00:00.000,35281,Saint-Jacques-de-la-Lande,2-5km,Pas de transport,0.0,1582.4966153385608,0.0
2022-01-01T00:00:00.000,35180,Miniac-sous-Bécherel,2-5km,Vélo,0.0,46.678233234767,0.0
2022-01-01T00:00:00.000,35058,La Chapelle-Chaussée,5-10km,Transports en commun,0.0,54.05034091223004,0.0
2022-01-01T00:00:00.000,35065,La Chapelle-Thouarault,5-10km,Marche,0.0,156.44398495101382,0.0
2022-01-01T00:00:00.000,35065,La Chapelle-Thouarault,50km et plus,Vélo,0.0,15.18802893766097,0.0
2022-01-01T00:00:00.000,35230,Poilley,20-50km,Voiture,19.25817050664222,19.25817050664222,100.0
2022-01-01T00:00:00.000,35032,Bourgbarré,Moins de 2km,Deux-roues motorisé,0.0,123.31684731538084,0.0
