Cote Archives nationales,Cote Précision,Nom Auteur,Prénom Auteur,Genre Auteur,Auteur copié,Exécutant,Bénéficiaire,Titre,Thème représenté,Dénomination,Matériau et technique,Dimensions,Etape œuvre,Exposition,Prix,N° dépôt,Nature de l'acte,Etape de la procédure,Date(s) de l'acte,Date arrêté d'acquisition,Date arrêté attribution,Pays,Département,Ville,Latitude ville,Longitude ville,Type d'édifice,Edifice d'affectation,Affectataire,Provenance,Observations,Image,Liens photos Archim,REF mistral
F/21/4909/B,dossier 10 ; pièce 87 ; [Registre d'attribution aux musées],,,,,,,musée municipal des Beaux-Arts,,,,,,,,,,,,,,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,,faculté,,,"Ces informations scrupuleusement retranscrites ici, proviennent du cahier d'enregistrement des dépôts faits par les Beaux-Arts au musée ; le document original n'est pas communicable à cause de son mauvais état matériel",,,10000296
F/21/470,dossier 6 ; [Dossier par musée (attributions)],Ginain (M.),,homme,,,,Le cheval de soumission (Algérie),sujet animalier,tableau,,,,,,,attribution,aboutissement positif,1871,,1871,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,,,,,AR004474
F/21/470,dossier 6 ; [Dossier par musée (attributions)],Thomas (M.),G. J.,homme,,,,La pensée,figure allégorique profane,statue,marbre ; taille,,,,,,attribution,aboutissement positif,1871,,1871,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,,,,,AR004475
F/21/470,dossier 6 ; [Dossier par musée (attributions)],Blin (M.),Francis,homme,,,,"Paysage, vue prise de Bretagne",paysage de Bretagne,tableau,,,,,,,attribution,aboutissement positif,1872 ; 1873,,1873,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,,,,,AR004476
F/21/470,dossier 6 ; [Dossier par musée (attributions)],,,,,,,Sigillographie bretonne,,sceau,moulage,,épreuve,,,,attribution,demande sans suite,1875,,,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée ; archéologie,musée archéologique,,,"345 sceaux,57 contre-sceaux ; catalogue de la collection aux Archives Nationales",,,AR004477
F/21/470,dossier 6 ; [Dossier par musée (attributions)],"Vuez (M., de)",Arnold,homme,,,,Saint Bonaventure prêchant,vie de saint,tableau,,,,,,,dépôt,aboutissement positif,1872 ; 1873,,1872,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,Paris ; musée du Louvre,,,,AR004478
F/21/470,dossier 6 ; [Dossier par musée (attributions)],Albane (M.) [Albani],Francesco,homme,,,,Actéon métamorphosé,scène mythologique ou légendaire,tableau,,,,,,,dépôt,aboutissement positif,1872 ; 1873,,1872,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,Paris ; musée du Louvre,,,,AR004479
F/21/470,dossier 6 ; [Dossier par musée (attributions)],,,,,,,Madeleine dans le désert avec un ange,vie de saint,tableau,,,,,,,dépôt,aboutissement positif,1872 ; 1873,,1872,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,Paris ; musée du Louvre,,,,AR004480
F/21/470,dossier 6 ; [Dossier par musée (attributions)],,,,"Le Dominiquin [Domenichino, Domenico Zampieri]",,,Le miracle de saint Nil,vie de saint,tableau,,,copie,,,,dépôt,aboutissement positif,1872 ; 1873,,1872,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,Paris ; musée du Louvre,,,,AR004481
F/21/470,dossier 6 ; [Dossier par musée (attributions)],"Corrège (M., Le) [Correggio, Allegri]",Antonio,homme,,,,Nativité,Nativité,tableau,,,,,,,dépôt,aboutissement positif,1872 ; 1873,,1872,,Ille-et-Vilaine,Rennes,48.091924,-1.681752,musée,musée,,Paris ; musée du Louvre,,,,AR004482
