REG,DEP,LIBDEP,CODGEO,LIBGEO,ANNEE,Existence d'une convention de mutualisation,Nombre d'agents de police municipale,Nombre d'ASVP,Nombre de gardes champêtres,Nombre de brigades canines (2013),Nombre de maîtres-chiens de police municipale,Nombre de chiens de patrouille de police municipale,Communes partenaires (commande R),Communes partenaires (code INSEE),Communes partenaires (libellé),Population au 1er janvier de l'année d'enquête,Population au 1er janvier de l'année suivante
53,35,ILLE_ET_VILAINE,35001,ACIGNE,2013,NA,2,0,0,0,NA,NA,NA,NA,NA,6282,6398
53,35,ILLE_ET_VILAINE,35001,ACIGNE,2014,NA,2,0,0,NA,0,0,NA,NA,NA,6398,6521
53,35,ILLE_ET_VILAINE,35001,ACIGNE,2015,NA,1,0,0,NA,0,0,NA,NA,NA,6521,6645
53,35,ILLE_ET_VILAINE,35001,ACIGNE,2016,NA,2,0,0,NA,0,0,NA,NA,NA,6645,6740
53,35,ILLE_ET_VILAINE,35001,ACIGNE,2017,NA,2,0,0,NA,0,0,NA,NA,NA,6740,6814
53,35,ILLE_ET_VILAINE,35001,ACIGNE,2018,NA,2,0,0,NA,0,0,NA,NA,NA,6814,6834
53,35,ILLE_ET_VILAINE,35001,ACIGNE,2019,NA,2,0,0,NA,0,0,NA,NA,NA,6834,6865
53,35,ILLE_ET_VILAINE,35001,ACIGNE,2020,NA,2,0,0,NA,0,0,NA,NA,NA,6865,6888
53,35,ILLE_ET_VILAINE,35001,ACIGNE,2021,0,2,0,0,NA,0,0,NA,NA,NA,6888,6911
53,35,ILLE_ET_VILAINE,35001,ACIGNE,2022,0,2,0,0,NA,0,0,NA,NA,NA,6911,6874
53,35,ILLE_ET_VILAINE,35001,ACIGNE,2023,0,2,0,0,NA,0,0,NA,NA,NA,6874,NA
53,35,ILLE_ET_VILAINE,35001,ACIGNE,2024,0,2,0,0,NA,0,0,NA,NA,NA,NA,NA
53,35,ILLE_ET_VILAINE,35024,BETTON,2013,NA,2,0,0,0,NA,NA,NA,NA,NA,10608,10692
53,35,ILLE_ET_VILAINE,35024,BETTON,2014,NA,2,0,0,NA,0,0,NA,NA,NA,10692,10879
53,35,ILLE_ET_VILAINE,35024,BETTON,2015,NA,2,0,0,NA,0,0,NA,NA,NA,10879,11222
53,35,ILLE_ET_VILAINE,35024,BETTON,2016,NA,2,0,0,NA,0,0,NA,NA,NA,11222,11735
53,35,ILLE_ET_VILAINE,35024,BETTON,2017,NA,2,0,0,NA,0,0,NA,NA,NA,11735,11968
53,35,ILLE_ET_VILAINE,35024,BETTON,2018,NA,2,0,0,NA,0,0,NA,NA,NA,11968,12265
53,35,ILLE_ET_VILAINE,35024,BETTON,2019,NA,2,0,0,NA,0,0,NA,NA,NA,12265,12637
53,35,ILLE_ET_VILAINE,35024,BETTON,2020,NA,2,0,0,NA,0,0,NA,NA,NA,12637,12695
53,35,ILLE_ET_VILAINE,35024,BETTON,2021,0,2,1,0,NA,0,0,NA,NA,NA,12695,12775
53,35,ILLE_ET_VILAINE,35024,BETTON,2022,0,2,1,0,NA,0,0,NA,NA,NA,12775,12964
53,35,ILLE_ET_VILAINE,35024,BETTON,2023,0,3,1,0,NA,0,0,NA,NA,NA,12964,NA
53,35,ILLE_ET_VILAINE,35024,BETTON,2024,0,2,1,0,NA,0,0,NA,NA,NA,NA,NA
53,35,ILLE_ET_VILAINE,35032,BOURGBARRE,2023,1,1,0,0,NA,0,0,as.character(c(35204)),35204,NOUVOITOU,4804,NA
53,35,ILLE_ET_VILAINE,35032,BOURGBARRE,2024,1,1,0,0,NA,0,0,as.character(c(35204)),35204,NOUVOITOU,NA,NA
53,35,ILLE_ET_VILAINE,35047,BRUZ,2013,NA,3,3,0,0,NA,NA,NA,NA,NA,16855,17372
53,35,ILLE_ET_VILAINE,35047,BRUZ,2014,NA,3,3,0,NA,0,0,NA,NA,NA,17372,17978
53,35,ILLE_ET_VILAINE,35047,BRUZ,2015,NA,3,0,0,NA,0,0,NA,NA,NA,17978,18094
53,35,ILLE_ET_VILAINE,35047,BRUZ,2016,NA,4,0,0,NA,0,0,NA,NA,NA,18094,18266
53,35,ILLE_ET_VILAINE,35047,BRUZ,2017,NA,3,0,0,NA,0,0,NA,NA,NA,18266,18516
53,35,ILLE_ET_VILAINE,35047,BRUZ,2018,NA,3,0,0,NA,0,0,NA,NA,NA,18516,18905
