code_insee,nom,code_commune,est_une_commune,proportion_diplomes_master,revenu_net_median_par_uc,population_politique,population_totale,region_sociale,pixel,ordonnee_dans_le_carre,abcisse_dans_le_carre
350010101,Ouest,35001,0,0.206492815,26470,1921,2563,A1,83,0.83415118115095,0.30442058914845
350010102,Est,35001,0,0.219769357,26150,3200,4325,A1,83,0.8408160455049,0.25390529593843
350220000,Bécherel (commune non irisée),35022,1,0.086466165,20720,546,690,B1,42,0.3877982579158,0.15166492776176
350240101,Ouest,35024,0,0.184353004,24930,3839,5426,A1,83,0.7837888590236,0.29474357647546
350240102,Centre,35024,0,0.333785617,37870,1562,2017,A3,97,0.95742774051897,0.71350565662017
350240103,Entre Canal et Voie Ferrée,35024,0,0.195680916,24950,2306,3041,A1,83,0.79845031902147,0.26568619518483
350240104,Est,35024,0,0.184380504,28720,1774,2211,A2,85,0.84711315947328,0.50886187658177
350320000,Bourgbarré (commune non irisée),35032,1,0.091669347,24460,3217,4580,B2,65,0.60458044246011,0.46346739004681
350390000,Brécé (commune non irisée),35039,1,0.117973629,24570,1502,2147,A2,74,0.66963031032372,0.38378198670842
350470101,Bruz Centre Nord,35047,0,0.153376729,25020,2561,3502,A1,73,0.74505251991368,0.26489395368755
350470102,Bruz Centre Sud-Est,35047,0,0.161621621,25730,1919,2538,A1,73,0.77138626093422,0.27736821963438
350470103,Bruz Centre Sud-Ouest,35047,0,0.158219178,24040,1501,2027,A1,72,0.72646555342712,0.20664458803125
350470104,Bruz Ouest,35047,0,0.138780297,23900,5330,7411,A1,73,0.68978033091013,0.25464661702799
350470105,Bruz Nord,35047,0,0.250936329,33070,2096,2624,A3,97,0.9174087898989,0.71885963139126
350470106,Bruz Est,35047,0,0.176666666,30370,1288,1550,A3,87,0.86158259248513,0.68086067231793
350510101,Centre,35051,0,0.260869565,32390,3143,3923,A2,96,0.91698531469078,0.65840745904791
350510102,La Hublais,35051,0,0.3006993,28840,3446,4544,A2,94,0.91028951532656,0.36433466432122
350510103,Coesmes,35051,0,0.311510031,30700,2457,3109,A2,94,0.92410515361804,0.42007425577344
350510104,Zone Industrielle,35051,0,0.076923076,0,49,72,,,,
350510105,Rural Sud,35051,0,0.213883677,0,568,786,,,,
350510201,Rural Est,35051,0,0.290441176,0,298,394,,,,
350510202,Rural Nord,35051,0,0.209302325,0,978,1214,,,,
350510203,La Boulais-Bellevue,35051,0,0.28200371,36250,1170,1440,A3,98,0.94114229699223,0.78367877279595
350510204,Bourgchevreuil,35051,0,0.223616657,28220,1801,2233,A2,84,0.86866307288242,0.34106445634073
350550101,Nord,35055,0,0.144294003,26540,2723,3422,A2,74,0.7662968037822,0.41483312517804
350550102,Est,35055,0,0.156651797,23150,3877,5259,A1,72,0.69854992557413,0.17515111171486
350550103,Sud et Ouest,35055,0,0.161345987,27480,1169,1551,A2,85,0.8066635433454,0.52039458457601
350580000,La Chapelle-Chaussée (commune non irisée),35058,1,0.133489461,23460,892,1300,B1,62,0.66283620869377,0.18485303675751
350590000,La Chapelle-des-Fougeretz (commune non irisée),35059,1,0.151618929,26120,3291,4604,A2,74,0.76661691843236,0.34785365484703
350650000,La Chapelle-Thouarault (commune non irisée),35065,1,0.067961165,23530,1710,2252,B2,56,0.49079639550277,0.58308350291709
350660101,Centre Est,35066,0,0.135416666,25490,2086,2724,A2,74,0.72956873209558,0.37357942946508
350660102,Centre Ouest,35066,0,0.087178035,23660,3609,4669,B2,64,0.55590414109843,0.39235390445626
350660103,Rural Ouest-La Janais,35066,0,0.056818181,0,90,116,,,,
350660104,Rural Est,35066,0,0.084,0,491,727,,,,
350760000,Chavagne (commune non irisée),35076,1,0.13161209,24670,3245,4415,A1,73,0.69992287567508,0.32484456086256
350790000,Chevaigné (commune non irisée),35079,1,0.170134638,27140,1695,2365,A2,85,0.81003575209301,0.45352049600617
350800000,Cintré (commune non irisée),35080,1,0.102747909,24480,1749,2533,B2,64,0.63312041406762,0.37955974517404
350810000,Clayes (commune non irisée),35081,1,0.126602564,24340,657,937,A1,73,0.67986724867405,0.31994140293535
350880000,Corps-Nuds (commune non irisée),35088,1,0.105284388,23500,2504,3543,B1,63,0.59840349428499,0.28089341461327
351200000,Gévezé (commune non irisée),35120,1,0.119760479,25340,4143,5890,A2,74,0.69889671121963,0.4349304282154
351310000,L'Hermitage (commune non irisée),35131,1,0.093948126,23980,3537,4692,B2,64,0.58990347315303,0.38150169730341
351320000,Hirel (commune non irisée),35132,1,0.042961608,22140,1106,1386,C3,37,0.31556392203591,0.76354316397872
351350000,Irodouër (commune non irisée),35135,1,0.049677419,22610,1597,2284,B3,47,0.37041186245609,0.66722194985859
351360101,Ouest,35136,0,0.077452153,22640,3434,4633,B2,54,0.4711811952594,0.34906562797399
351360102,Est,35136,0,0.077435178,23810,2928,3937,B2,55,0.53570424825898,0.5359817865163
351390000,Laillé (commune non irisée),35139,1,0.136804209,27560,3730,5131,A2,86,0.77959954796425,0.64459313757774
