Code Insee Commune,Nom Commune,Code Insee EPCI,Nom EPCI,Code Insee Departement,Nom Departement,Code Insee Region,Nom Region,Id Structure,Nom Structure,Email Structure,Site Internet Structure,Telephone Structure,Telephone 2 Structure,Horaires Structure,Adresse Structure,Code Postal Structure,Commune Structure,Code Insee Commune Structure,Missions couvertes Structure,Thématiques couvertes
35001,Acigné,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne,dd8b3859-8a1a-4b52-9697-0ea11be113d7,ecoTravo,infoenergie@alec-rennes.org,https://www.alec-rennes.org/,0800000353,,"[""Permanences du lundi au vendredi, 9h-12h / 13h30-17h30""]", 4 boulevard Georges Clémenceau,35200,RENNES,35238,"[""APPUI_PARCOURS_AMELIORATION_HABITAT"", ""CONSEIL"", ""INFORMATION"", ""MISSION_DT"", ""ORIENTATION""]","[""AUTONOMIE"", ""LUTTE_CONTRE_HABITAT_INDIGNE"", ""RENOVATION_ENERGETIQUE""]"
35022,Bécherel,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne,dd8b3859-8a1a-4b52-9697-0ea11be113d7,ecoTravo,infoenergie@alec-rennes.org,https://www.alec-rennes.org/,0800000353,,"[""Permanences du lundi au vendredi, 9h-12h / 13h30-17h30""]", 4 boulevard Georges Clémenceau,35200,RENNES,35238,"[""APPUI_PARCOURS_AMELIORATION_HABITAT"", ""CONSEIL"", ""INFORMATION"", ""MISSION_DT"", ""ORIENTATION""]","[""AUTONOMIE"", ""LUTTE_CONTRE_HABITAT_INDIGNE"", ""RENOVATION_ENERGETIQUE""]"
35024,Betton,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne,dd8b3859-8a1a-4b52-9697-0ea11be113d7,ecoTravo,infoenergie@alec-rennes.org,https://www.alec-rennes.org/,0800000353,,"[""Permanences du lundi au vendredi, 9h-12h / 13h30-17h30""]", 4 boulevard Georges Clémenceau,35200,RENNES,35238,"[""APPUI_PARCOURS_AMELIORATION_HABITAT"", ""CONSEIL"", ""INFORMATION"", ""MISSION_DT"", ""ORIENTATION""]","[""AUTONOMIE"", ""LUTTE_CONTRE_HABITAT_INDIGNE"", ""RENOVATION_ENERGETIQUE""]"
35032,Bourgbarré,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne,dd8b3859-8a1a-4b52-9697-0ea11be113d7,ecoTravo,infoenergie@alec-rennes.org,https://www.alec-rennes.org/,0800000353,,"[""Permanences du lundi au vendredi, 9h-12h / 13h30-17h30""]", 4 boulevard Georges Clémenceau,35200,RENNES,35238,"[""APPUI_PARCOURS_AMELIORATION_HABITAT"", ""CONSEIL"", ""INFORMATION"", ""MISSION_DT"", ""ORIENTATION""]","[""AUTONOMIE"", ""LUTTE_CONTRE_HABITAT_INDIGNE"", ""RENOVATION_ENERGETIQUE""]"
35039,Brécé,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne,dd8b3859-8a1a-4b52-9697-0ea11be113d7,ecoTravo,infoenergie@alec-rennes.org,https://www.alec-rennes.org/,0800000353,,"[""Permanences du lundi au vendredi, 9h-12h / 13h30-17h30""]", 4 boulevard Georges Clémenceau,35200,RENNES,35238,"[""APPUI_PARCOURS_AMELIORATION_HABITAT"", ""CONSEIL"", ""INFORMATION"", ""MISSION_DT"", ""ORIENTATION""]","[""AUTONOMIE"", ""LUTTE_CONTRE_HABITAT_INDIGNE"", ""RENOVATION_ENERGETIQUE""]"
35047,Bruz,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne,dd8b3859-8a1a-4b52-9697-0ea11be113d7,ecoTravo,infoenergie@alec-rennes.org,https://www.alec-rennes.org/,0800000353,,"[""Permanences du lundi au vendredi, 9h-12h / 13h30-17h30""]", 4 boulevard Georges Clémenceau,35200,RENNES,35238,"[""APPUI_PARCOURS_AMELIORATION_HABITAT"", ""CONSEIL"", ""INFORMATION"", ""MISSION_DT"", ""ORIENTATION""]","[""AUTONOMIE"", ""LUTTE_CONTRE_HABITAT_INDIGNE"", ""RENOVATION_ENERGETIQUE""]"
35051,Cesson-Sévigné,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne,dd8b3859-8a1a-4b52-9697-0ea11be113d7,ecoTravo,infoenergie@alec-rennes.org,https://www.alec-rennes.org/,0800000353,,"[""Permanences du lundi au vendredi, 9h-12h / 13h30-17h30""]", 4 boulevard Georges Clémenceau,35200,RENNES,35238,"[""APPUI_PARCOURS_AMELIORATION_HABITAT"", ""CONSEIL"", ""INFORMATION"", ""MISSION_DT"", ""ORIENTATION""]","[""AUTONOMIE"", ""LUTTE_CONTRE_HABITAT_INDIGNE"", ""RENOVATION_ENERGETIQUE""]"
35055,Chantepie,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne,dd8b3859-8a1a-4b52-9697-0ea11be113d7,ecoTravo,infoenergie@alec-rennes.org,https://www.alec-rennes.org/,0800000353,,"[""Permanences du lundi au vendredi, 9h-12h / 13h30-17h30""]", 4 boulevard Georges Clémenceau,35200,RENNES,35238,"[""APPUI_PARCOURS_AMELIORATION_HABITAT"", ""CONSEIL"", ""INFORMATION"", ""MISSION_DT"", ""ORIENTATION""]","[""AUTONOMIE"", ""LUTTE_CONTRE_HABITAT_INDIGNE"", ""RENOVATION_ENERGETIQUE""]"
35058,La Chapelle-Chaussée,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne,dd8b3859-8a1a-4b52-9697-0ea11be113d7,ecoTravo,infoenergie@alec-rennes.org,https://www.alec-rennes.org/,0800000353,,"[""Permanences du lundi au vendredi, 9h-12h / 13h30-17h30""]", 4 boulevard Georges Clémenceau,35200,RENNES,35238,"[""APPUI_PARCOURS_AMELIORATION_HABITAT"", ""CONSEIL"", ""INFORMATION"", ""MISSION_DT"", ""ORIENTATION""]","[""AUTONOMIE"", ""LUTTE_CONTRE_HABITAT_INDIGNE"", ""RENOVATION_ENERGETIQUE""]"
35059,La Chapelle-des-Fougeretz,243500139,Rennes Métropole,35,Ille-et-Vilaine,53,Bretagne,dd8b3859-8a1a-4b52-9697-0ea11be113d7,ecoTravo,infoenergie@alec-rennes.org,https://www.alec-rennes.org/,0800000353,,"[""Permanences du lundi au vendredi, 9h-12h / 13h30-17h30""]", 4 boulevard Georges Clémenceau,35200,RENNES,35238,"[""APPUI_PARCOURS_AMELIORATION_HABITAT"", ""CONSEIL"", ""INFORMATION"", ""MISSION_DT"", ""ORIENTATION""]","[""AUTONOMIE"", ""LUTTE_CONTRE_HABITAT_INDIGNE"", ""RENOVATION_ENERGETIQUE""]"
