batiment_groupe_id;code_departement_insee;millesime;nb_pdl_res;nb_pdl_pro;nb_pdl_tot;conso_res;conso_pro;conso_tot;conso_res_par_pdl;conso_pro_par_pdl;conso_tot_par_pdl
bdnb-bg-1116-V429-FHLN;35;2018;0.000;1.000;1.000;0.000;64182.800;64182.800;;64182.800;64182.800
bdnb-bg-1116-V429-FHLN;35;2019;0.000;1.000;1.000;0.000;67164.900;67164.900;;67164.900;67164.900
bdnb-bg-1116-V429-FHLN;35;2020;0.000;1.000;1.000;0.000;49508.000;49508.000;;49508.000;49508.000
bdnb-bg-1116-V429-FHLN;35;2022;0.000;1.000;1.000;0.000;73301.100;73301.100;;73301.100;73301.100
bdnb-bg-1116-V429-FHLN;35;2023;0.000;1.000;1.000;0.000;72746.000;72746.000;;72746.000;72746.000
bdnb-bg-11CA-YW8F-1S1E;35;2018;56.000;0.000;56.000;92631.600;0.000;92631.600;1654.136;;1654.136
bdnb-bg-11CA-YW8F-1S1E;35;2019;52.000;0.000;52.000;90340.000;0.000;90340.000;1737.308;;1737.308
bdnb-bg-11CA-YW8F-1S1E;35;2020;55.000;0.000;55.000;102886.800;0.000;102886.800;1870.669;;1870.669
bdnb-bg-11CA-YW8F-1S1E;35;2021;54.000;0.000;54.000;98814.200;0.000;98814.200;1829.893;;1829.893
bdnb-bg-11CA-YW8F-1S1E;35;2022;53.000;0.000;53.000;95690.000;0.000;95690.000;1805.472;;1805.472
bdnb-bg-11CA-YW8F-1S1E;35;2023;54.000;0.000;54.000;96792.000;0.000;96792.000;1792.444;;1792.444
bdnb-bg-11CA-YW8F-1S1E;35;2024;54.000;0.000;54.000;98342.000;0.000;98342.000;1821.148;;1821.148
bdnb-bg-11N3-USZV-QS76;35;2018;43.000;0.000;43.000;40298.800;0.000;40298.800;937.181;;937.181
bdnb-bg-11N3-USZV-QS76;35;2019;44.000;0.000;44.000;37080.700;0.000;37080.700;842.743;;842.743
bdnb-bg-11N3-USZV-QS76;35;2020;45.000;0.000;45.000;39461.100;0.000;39461.100;876.913;;876.913
bdnb-bg-11N3-USZV-QS76;35;2021;44.000;0.000;44.000;34664.300;0.000;34664.300;787.825;;787.825
bdnb-bg-11N3-USZV-QS76;35;2022;43.000;0.000;43.000;30190.500;0.000;30190.500;702.105;;702.105
bdnb-bg-11N3-USZV-QS76;35;2023;44.000;0.000;44.000;30901.000;0.000;30901.000;702.295;;702.295
bdnb-bg-11N3-USZV-QS76;35;2024;43.000;0.000;43.000;27396.000;0.000;27396.000;637.116;;637.116
bdnb-bg-14NX-M5X1-LC74;35;2023;0.000;1.000;1.000;0.000;6176.000;6176.000;;6176.000;6176.000
bdnb-bg-14NX-M5X1-LC74;35;2024;0.000;1.000;1.000;0.000;94408.000;94408.000;;94408.000;94408.000
bdnb-bg-159A-3YSZ-7UX4;35;2018;30.000;0.000;30.000;48518.200;0.000;48518.200;1617.273;;1617.273
bdnb-bg-159A-3YSZ-7UX4;35;2019;30.000;0.000;30.000;50780.400;0.000;50780.400;1692.680;;1692.680
bdnb-bg-159A-3YSZ-7UX4;35;2020;30.000;0.000;30.000;50339.200;0.000;50339.200;1677.973;;1677.973
bdnb-bg-159A-3YSZ-7UX4;35;2021;30.000;0.000;30.000;47048.500;0.000;47048.500;1568.283;;1568.283
bdnb-bg-159A-3YSZ-7UX4;35;2022;30.000;0.000;30.000;41676.600;0.000;41676.600;1389.220;;1389.220
bdnb-bg-159A-3YSZ-7UX4;35;2023;30.000;0.000;30.000;41313.000;0.000;41313.000;1377.100;;1377.100
bdnb-bg-159A-3YSZ-7UX4;35;2024;30.000;0.000;30.000;43917.000;0.000;43917.000;1463.900;;1463.900
bdnb-bg-15CE-86T8-NX9Q;35;2018;0.000;1.000;1.000;0.000;13186.400;13186.400;;13186.400;13186.400
bdnb-bg-15FT-DD53-JJBB;35;2018;10.000;0.000;10.000;10238.900;0.000;10238.900;1023.890;;1023.890
bdnb-bg-15FT-DD53-JJBB;35;2019;10.000;0.000;10.000;12715.400;0.000;12715.400;1271.540;;1271.540
bdnb-bg-15FT-DD53-JJBB;35;2020;10.000;0.000;10.000;13500.800;0.000;13500.800;1350.080;;1350.080
bdnb-bg-15FT-DD53-JJBB;35;2021;10.000;0.000;10.000;11643.900;0.000;11643.900;1164.390;;1164.390
bdnb-bg-15FT-DD53-JJBB;35;2022;10.000;0.000;10.000;14046.300;0.000;14046.300;1404.630;;1404.630
bdnb-bg-15FT-DD53-JJBB;35;2023;10.000;0.000;10.000;14609.000;0.000;14609.000;1460.900;;1460.900
bdnb-bg-15FT-DD53-JJBB;35;2024;10.000;0.000;10.000;10623.000;0.000;10623.000;1062.300;;1062.300
bdnb-bg-15JM-1GEF-GXU4;35;2018;22.000;0.000;22.000;29575.300;0.000;29575.300;1344.332;;1344.332
bdnb-bg-15JM-1GEF-GXU4;35;2019;22.000;0.000;22.000;30114.300;0.000;30114.300;1368.832;;1368.832
bdnb-bg-15JM-1GEF-GXU4;35;2020;22.000;0.000;22.000;28406.200;0.000;28406.200;1291.191;;1291.191
bdnb-bg-15JM-1GEF-GXU4;35;2021;23.000;0.000;23.000;27296.000;0.000;27296.000;1186.783;;1186.783
bdnb-bg-15JM-1GEF-GXU4;35;2022;23.000;0.000;23.000;24225.300;0.000;24225.300;1053.274;;1053.274
bdnb-bg-15JM-1GEF-GXU4;35;2023;23.000;0.000;23.000;21377.000;0.000;21377.000;929.435;;929.435
bdnb-bg-15JM-1GEF-GXU4;35;2024;23.000;0.000;23.000;22322.000;0.000;22322.000;970.522;;970.522
bdnb-bg-15WH-QXJU-12RF;35;2018;28.000;0.000;28.000;32375.800;0.000;32375.800;1156.279;;1156.279
bdnb-bg-15WH-QXJU-12RF;35;2019;28.000;0.000;28.000;34108.500;0.000;34108.500;1218.161;;1218.161
bdnb-bg-15WH-QXJU-12RF;35;2020;28.000;0.000;28.000;37351.400;0.000;37351.400;1333.979;;1333.979
bdnb-bg-15WH-QXJU-12RF;35;2021;28.000;0.000;28.000;36381.000;0.000;36381.000;1299.321;;1299.321
bdnb-bg-15WH-QXJU-12RF;35;2022;28.000;0.000;28.000;32800.300;0.000;32800.300;1171.439;;1171.439
bdnb-bg-15WH-QXJU-12RF;35;2023;28.000;0.000;28.000;32030.000;0.000;32030.000;1143.929;;1143.929
bdnb-bg-15WH-QXJU-12RF;35;2024;28.000;0.000;28.000;29708.000;0.000;29708.000;1061.000;;1061.000
bdnb-bg-1629-TBJJ-X15B;35;2018;28.000;0.000;28.000;44936.600;0.000;44936.600;1604.879;;1604.879
bdnb-bg-1629-TBJJ-X15B;35;2019;29.000;0.000;29.000;45884.700;0.000;45884.700;1582.231;;1582.231
bdnb-bg-1629-TBJJ-X15B;35;2020;28.000;0.000;28.000;42226.700;0.000;42226.700;1508.096;;1508.096
bdnb-bg-1629-TBJJ-X15B;35;2021;28.000;0.000;28.000;45297.600;0.000;45297.600;1617.771;;1617.771
