batiment_groupe_id;code_departement_insee;millesime;nb_pdl_res;nb_pdl_pro;nb_pdl_tot;conso_res;conso_pro;conso_tot;conso_res_par_pdl;conso_pro_par_pdl;conso_tot_par_pdl
bdnb-bg-13KW-33US-1BTZ;35;2018;17.000;0.000;17.000;39080.400;0.000;39080.400;2298.847;;2298.847
bdnb-bg-13KW-33US-1BTZ;35;2019;17.000;0.000;17.000;39365.400;0.000;39365.400;2315.612;;2315.612
bdnb-bg-13KW-33US-1BTZ;35;2020;17.000;0.000;17.000;38371.000;0.000;38371.000;2257.118;;2257.118
bdnb-bg-13KW-33US-1BTZ;35;2021;17.000;0.000;17.000;47284.500;0.000;47284.500;2781.441;;2781.441
bdnb-bg-13KW-33US-1BTZ;35;2022;17.000;0.000;17.000;39445.400;0.000;39445.400;2320.318;;2320.318
bdnb-bg-13KW-33US-1BTZ;35;2023;17.000;0.000;17.000;34457.700;0.000;34457.700;2026.924;;2026.924
bdnb-bg-13KW-33US-1BTZ;35;2024;16.000;0.000;16.000;31087.300;0.000;31087.300;1942.956;;1942.956
bdnb-bg-13P6-ARAY-R54Y;35;2023;0.000;1.000;1.000;0.000;257877.000;257877.000;;257877.000;257877.000
bdnb-bg-13P6-ARAY-R54Y;35;2024;0.000;1.000;1.000;0.000;299663.800;299663.800;;299663.800;299663.800
bdnb-bg-13WW-2CS2-L59P;35;2018;34.000;0.000;34.000;123712.200;0.000;123712.200;3638.594;;3638.594
bdnb-bg-13WW-2CS2-L59P;35;2019;34.000;0.000;34.000;117088.600;0.000;117088.600;3443.782;;3443.782
bdnb-bg-13WW-2CS2-L59P;35;2020;34.000;0.000;34.000;113578.800;0.000;113578.800;3340.553;;3340.553
bdnb-bg-13WW-2CS2-L59P;35;2021;33.000;0.000;33.000;121729.700;0.000;121729.700;3688.779;;3688.779
bdnb-bg-13WW-2CS2-L59P;35;2022;33.000;0.000;33.000;96467.100;0.000;96467.100;2923.245;;2923.245
bdnb-bg-13WW-2CS2-L59P;35;2023;34.000;0.000;34.000;96973.100;0.000;96973.100;2852.150;;2852.150
bdnb-bg-13WW-2CS2-L59P;35;2024;34.000;0.000;34.000;110224.200;0.000;110224.200;3241.888;;3241.888
bdnb-bg-146P-ZURM-BN4G;35;2018;22.000;0.000;22.000;121770.900;0.000;121770.900;5535.041;;5535.041
bdnb-bg-146P-ZURM-BN4G;35;2019;22.000;0.000;22.000;117577.400;0.000;117577.400;5344.427;;5344.427
bdnb-bg-146P-ZURM-BN4G;35;2020;22.000;0.000;22.000;125367.700;0.000;125367.700;5698.532;;5698.532
bdnb-bg-146P-ZURM-BN4G;35;2021;22.000;0.000;22.000;125578.400;0.000;125578.400;5708.109;;5708.109
bdnb-bg-146P-ZURM-BN4G;35;2022;22.000;0.000;22.000;103778.300;0.000;103778.300;4717.195;;4717.195
bdnb-bg-146P-ZURM-BN4G;35;2023;22.000;0.000;22.000;104405.400;0.000;104405.400;4745.700;;4745.700
bdnb-bg-146P-ZURM-BN4G;35;2024;22.000;0.000;22.000;98616.000;0.000;98616.000;4482.545;;4482.545
bdnb-bg-159A-3YSZ-7UX4;35;2018;20.000;0.000;20.000;162590.400;0.000;162590.400;8129.520;;8129.520
bdnb-bg-159A-3YSZ-7UX4;35;2019;20.000;0.000;20.000;163849.400;0.000;163849.400;8192.470;;8192.470
bdnb-bg-159A-3YSZ-7UX4;35;2020;20.000;0.000;20.000;158762.600;0.000;158762.600;7938.130;;7938.130
bdnb-bg-159A-3YSZ-7UX4;35;2021;20.000;0.000;20.000;171393.200;0.000;171393.200;8569.660;;8569.660
bdnb-bg-159A-3YSZ-7UX4;35;2022;20.000;0.000;20.000;138362.000;0.000;138362.000;6918.100;;6918.100
bdnb-bg-159A-3YSZ-7UX4;35;2023;20.000;0.000;20.000;125912.700;0.000;125912.700;6295.635;;6295.635
bdnb-bg-159A-3YSZ-7UX4;35;2024;20.000;0.000;20.000;123930.900;0.000;123930.900;6196.545;;6196.545
bdnb-bg-15FT-DD53-JJBB;35;2018;10.000;0.000;10.000;16851.800;0.000;16851.800;1685.180;;1685.180
bdnb-bg-15FT-DD53-JJBB;35;2019;10.000;0.000;10.000;24245.200;0.000;24245.200;2424.520;;2424.520
bdnb-bg-15FT-DD53-JJBB;35;2020;10.000;0.000;10.000;23216.000;0.000;23216.000;2321.600;;2321.600
bdnb-bg-15FT-DD53-JJBB;35;2021;10.000;0.000;10.000;22000.100;0.000;22000.100;2200.010;;2200.010
bdnb-bg-1629-TBJJ-X15B;35;2018;13.000;0.000;13.000;3261.900;0.000;3261.900;250.915;;250.915
bdnb-bg-1629-TBJJ-X15B;35;2019;12.000;0.000;12.000;3174.900;0.000;3174.900;264.575;;264.575
bdnb-bg-1629-TBJJ-X15B;35;2020;12.000;0.000;12.000;2965.900;0.000;2965.900;247.158;;247.158
bdnb-bg-1629-TBJJ-X15B;35;2021;11.000;0.000;11.000;3486.500;0.000;3486.500;316.955;;316.955
bdnb-bg-1629-TBJJ-X15B;35;2022;11.000;0.000;11.000;3651.300;0.000;3651.300;331.936;;331.936
bdnb-bg-1629-TBJJ-X15B;35;2023;10.000;0.000;10.000;2930.000;0.000;2930.000;293.000;;293.000
bdnb-bg-1686-4AZG-83ZW;35;2018;11.000;0.000;11.000;100708.000;0.000;100708.000;9155.273;;9155.273
bdnb-bg-1686-4AZG-83ZW;35;2019;11.000;0.000;11.000;94558.700;0.000;94558.700;8596.245;;8596.245
bdnb-bg-1686-4AZG-83ZW;35;2020;11.000;0.000;11.000;87739.800;0.000;87739.800;7976.345;;7976.345
bdnb-bg-1686-4AZG-83ZW;35;2021;11.000;0.000;11.000;97738.400;0.000;97738.400;8885.309;;8885.309
bdnb-bg-1686-4AZG-83ZW;35;2022;11.000;0.000;11.000;83825.300;0.000;83825.300;7620.482;;7620.482
bdnb-bg-1686-4AZG-83ZW;35;2023;11.000;0.000;11.000;77877.700;0.000;77877.700;7079.791;;7079.791
bdnb-bg-1686-4AZG-83ZW;35;2024;11.000;0.000;11.000;67233.800;0.000;67233.800;6112.164;;6112.164
bdnb-bg-16AP-EUHF-7XPW;35;2018;4.800;0.000;4.800;22770.260;0.000;22770.260;4743.804;;4743.804
bdnb-bg-16AP-EUHF-7XPW;35;2019;4.560;0.000;4.560;21181.880;0.000;21181.880;4645.149;;4645.149
bdnb-bg-16AP-EUHF-7XPW;35;2020;4.680;0.000;4.680;19825.660;0.000;19825.660;4236.252;;4236.252
bdnb-bg-16AP-EUHF-7XPW;35;2021;4.560;0.000;4.560;20543.600;0.000;20543.600;4505.175;;4505.175
bdnb-bg-16AP-EUHF-7XPW;35;2022;4.440;0.000;4.440;16235.180;0.000;16235.180;3656.572;;3656.572
bdnb-bg-16AP-EUHF-7XPW;35;2023;4.440;0.000;4.440;14446.670;0.000;14446.670;3253.755;;3253.755
bdnb-bg-16AP-EUHF-7XPW;35;2024;4.440;0.000;4.440;15206.750;0.000;15206.750;3424.944;;3424.944
bdnb-bg-16WG-XSAA-QRMJ;35;2018;11.000;0.000;11.000;69055.500;0.000;69055.500;6277.773;;6277.773
bdnb-bg-16WG-XSAA-QRMJ;35;2019;11.000;0.000;11.000;58422.200;0.000;58422.200;5311.109;;5311.109
bdnb-bg-16WG-XSAA-QRMJ;35;2020;11.000;0.000;11.000;59634.700;0.000;59634.700;5421.336;;5421.336
bdnb-bg-16WG-XSAA-QRMJ;35;2021;11.000;0.000;11.000;76576.800;0.000;76576.800;6961.527;;6961.527
bdnb-bg-16WG-XSAA-QRMJ;35;2022;11.000;0.000;11.000;57626.900;0.000;57626.900;5238.809;;5238.809
bdnb-bg-16WG-XSAA-QRMJ;35;2023;11.000;0.000;11.000;54074.300;0.000;54074.300;4915.845;;4915.845
bdnb-bg-16WG-XSAA-QRMJ;35;2024;11.000;0.000;11.000;51209.400;0.000;51209.400;4655.400;;4655.400
bdnb-bg-1799-US2A-81UM;35;2018;29.000;0.000;29.000;181733.300;0.000;181733.300;6266.666;;6266.666
bdnb-bg-1799-US2A-81UM;35;2019;30.000;0.000;30.000;190761.600;0.000;190761.600;6358.720;;6358.720
bdnb-bg-1799-US2A-81UM;35;2020;31.000;0.000;31.000;178568.900;0.000;178568.900;5760.287;;5760.287
bdnb-bg-1799-US2A-81UM;35;2021;31.000;0.000;31.000;207349.600;0.000;207349.600;6688.697;;6688.697
bdnb-bg-1799-US2A-81UM;35;2022;15.000;0.000;15.000;83887.300;0.000;83887.300;5592.487;;5592.487
bdnb-bg-1799-US2A-81UM;35;2023;30.000;0.000;30.000;172966.600;0.000;172966.600;5765.553;;5765.553
bdnb-bg-1799-US2A-81UM;35;2024;30.000;0.000;30.000;185516.600;0.000;185516.600;6183.887;;6183.887
bdnb-bg-17VT-T9RJ-9U14;35;2018;11.000;0.000;11.000;63380.300;0.000;63380.300;5761.845;;5761.845
bdnb-bg-17VT-T9RJ-9U14;35;2019;11.000;0.000;11.000;62754.900;0.000;62754.900;5704.991;;5704.991
bdnb-bg-17VT-T9RJ-9U14;35;2020;11.000;0.000;11.000;68384.100;0.000;68384.100;6216.736;;6216.736
bdnb-bg-17VT-T9RJ-9U14;35;2021;11.000;0.000;11.000;85868.000;0.000;85868.000;7806.182;;7806.182
bdnb-bg-17VT-T9RJ-9U14;35;2022;11.000;0.000;11.000;68662.900;0.000;68662.900;6242.082;;6242.082
bdnb-bg-17VT-T9RJ-9U14;35;2023;11.000;0.000;11.000;62595.700;0.000;62595.700;5690.518;;5690.518
bdnb-bg-17VT-T9RJ-9U14;35;2024;11.000;0.000;11.000;63972.200;0.000;63972.200;5815.655;;5815.655
bdnb-bg-17WY-V63F-2DWF;35;2019;15.000;0.000;15.000;37754.800;0.000;37754.800;2516.987;;2516.987
bdnb-bg-17WY-V63F-2DWF;35;2020;15.000;0.000;15.000;58879.500;0.000;58879.500;3925.300;;3925.300
bdnb-bg-17WY-V63F-2DWF;35;2021;15.000;0.000;15.000;64654.700;0.000;64654.700;4310.313;;4310.313
bdnb-bg-17WY-V63F-2DWF;35;2022;15.000;0.000;15.000;55245.700;0.000;55245.700;3683.047;;3683.047
bdnb-bg-17WY-V63F-2DWF;35;2023;15.000;0.000;15.000;51909.600;0.000;51909.600;3460.640;;3460.640
bdnb-bg-17WY-V63F-2DWF;35;2024;15.000;0.000;15.000;53019.800;0.000;53019.800;3534.653;;3534.653
bdnb-bg-18PS-YPX2-Q8QR;35;2024;38.000;0.000;38.000;101561.900;0.000;101561.900;2672.682;;2672.682
bdnb-bg-18QJ-2EFJ-HXYU;35;2018;24.000;0.000;24.000;217366.800;0.000;217366.800;9056.950;;9056.950
bdnb-bg-18QJ-2EFJ-HXYU;35;2019;22.000;0.000;22.000;192884.200;0.000;192884.200;8767.464;;8767.464
bdnb-bg-18QJ-2EFJ-HXYU;35;2020;24.000;0.000;24.000;197181.000;0.000;197181.000;8215.875;;8215.875
bdnb-bg-18QJ-2EFJ-HXYU;35;2021;22.000;0.000;22.000;197686.200;0.000;197686.200;8985.736;;8985.736
bdnb-bg-18QJ-2EFJ-HXYU;35;2022;22.000;0.000;22.000;155128.600;0.000;155128.600;7051.300;;7051.300
bdnb-bg-18QJ-2EFJ-HXYU;35;2023;20.000;0.000;20.000;136229.800;0.000;136229.800;6811.490;;6811.490
bdnb-bg-18QJ-2EFJ-HXYU;35;2024;20.000;0.000;20.000;140505.200;0.000;140505.200;7025.260;;7025.260
bdnb-bg-19ZR-AB52-RU3T;35;2018;0.000;1.000;1.000;0.000;275033.800;275033.800;;275033.800;275033.800
bdnb-bg-19ZR-AB52-RU3T;35;2019;0.000;1.000;1.000;0.000;73519.100;73519.100;;73519.100;73519.100
bdnb-bg-19ZR-AB52-RU3T;35;2021;0.000;1.000;1.000;0.000;167746.000;167746.000;;167746.000;167746.000
bdnb-bg-19ZR-AB52-RU3T;35;2022;0.000;1.000;1.000;0.000;161159.500;161159.500;;161159.500;161159.500
bdnb-bg-19ZR-AB52-RU3T;35;2023;0.000;1.000;1.000;0.000;176772.100;176772.100;;176772.100;176772.100
bdnb-bg-19ZR-AB52-RU3T;35;2024;0.000;1.000;1.000;0.000;203063.400;203063.400;;203063.400;203063.400
bdnb-bg-1A2C-CK8D-DVLS;35;2018;12.000;0.000;12.000;17262.300;0.000;17262.300;1438.525;;1438.525
bdnb-bg-1A2C-CK8D-DVLS;35;2019;11.000;0.000;11.000;18388.500;0.000;18388.500;1671.682;;1671.682
bdnb-bg-1A2C-CK8D-DVLS;35;2020;11.000;0.000;11.000;19119.100;0.000;19119.100;1738.100;;1738.100
bdnb-bg-1A2C-CK8D-DVLS;35;2021;11.000;0.000;11.000;18544.900;0.000;18544.900;1685.900;;1685.900
bdnb-bg-1A2C-CK8D-DVLS;35;2022;11.000;0.000;11.000;15180.600;0.000;15180.600;1380.055;;1380.055
bdnb-bg-1A2C-CK8D-DVLS;35;2023;10.000;0.000;10.000;11852.000;0.000;11852.000;1185.200;;1185.200
bdnb-bg-1AP7-4DTY-EXUF;35;2018;10.000;0.000;10.000;76862.500;0.000;76862.500;7686.250;;7686.250
bdnb-bg-1AP7-4DTY-EXUF;35;2019;10.000;0.000;10.000;76269.700;0.000;76269.700;7626.970;;7626.970
bdnb-bg-1B2C-YU29-LQNC;35;2018;13.000;0.000;13.000;82394.900;0.000;82394.900;6338.069;;6338.069
bdnb-bg-1B2C-YU29-LQNC;35;2019;13.000;0.000;13.000;86139.500;0.000;86139.500;6626.115;;6626.115
bdnb-bg-1B2C-YU29-LQNC;35;2020;13.000;0.000;13.000;79383.400;0.000;79383.400;6106.415;;6106.415
bdnb-bg-1B2C-YU29-LQNC;35;2021;13.000;0.000;13.000;82268.300;0.000;82268.300;6328.331;;6328.331
bdnb-bg-1B2C-YU29-LQNC;35;2022;13.000;0.000;13.000;59938.800;0.000;59938.800;4610.677;;4610.677
bdnb-bg-1B2C-YU29-LQNC;35;2023;13.000;0.000;13.000;57664.700;0.000;57664.700;4435.746;;4435.746
bdnb-bg-1B2C-YU29-LQNC;35;2024;13.000;0.000;13.000;62204.400;0.000;62204.400;4784.954;;4784.954
bdnb-bg-1BNR-WYE7-VZW2;35;2022;36.000;0.000;36.000;125286.900;0.000;125286.900;3480.192;;3480.192
bdnb-bg-1BNR-WYE7-VZW2;35;2023;37.000;0.000;37.000;120453.100;0.000;120453.100;3255.489;;3255.489
bdnb-bg-1BNR-WYE7-VZW2;35;2024;37.000;0.000;37.000;127579.900;0.000;127579.900;3448.105;;3448.105
bdnb-bg-1BTJ-WS5C-TE1U;35;2018;25.000;0.000;25.000;88115.400;0.000;88115.400;3524.616;;3524.616
bdnb-bg-1BTJ-WS5C-TE1U;35;2019;25.000;0.000;25.000;84953.400;0.000;84953.400;3398.136;;3398.136
bdnb-bg-1BTJ-WS5C-TE1U;35;2020;25.000;0.000;25.000;79568.400;0.000;79568.400;3182.736;;3182.736
bdnb-bg-1BTJ-WS5C-TE1U;35;2021;25.000;0.000;25.000;92950.400;0.000;92950.400;3718.016;;3718.016
bdnb-bg-1BTJ-WS5C-TE1U;35;2022;24.000;0.000;24.000;73401.600;0.000;73401.600;3058.400;;3058.400
bdnb-bg-1BTJ-WS5C-TE1U;35;2023;24.000;0.000;24.000;68515.400;0.000;68515.400;2854.808;;2854.808
bdnb-bg-1BTJ-WS5C-TE1U;35;2024;24.000;0.000;24.000;66840.500;0.000;66840.500;2785.021;;2785.021
bdnb-bg-1BUD-92Z6-NN6W;35;2018;10.000;0.000;10.000;24325.500;0.000;24325.500;2432.550;;2432.550
bdnb-bg-1BUD-92Z6-NN6W;35;2019;10.000;0.000;10.000;26643.200;0.000;26643.200;2664.320;;2664.320
bdnb-bg-1BUD-92Z6-NN6W;35;2020;10.000;0.000;10.000;29765.500;0.000;29765.500;2976.550;;2976.550
bdnb-bg-1BUD-92Z6-NN6W;35;2021;10.000;0.000;10.000;24553.000;0.000;24553.000;2455.300;;2455.300
