batiment_groupe_id;code_departement_insee;nb_classe_bilan_dpe_a;nb_classe_bilan_dpe_b;nb_classe_bilan_dpe_c;nb_classe_bilan_dpe_d;nb_classe_bilan_dpe_e;nb_classe_bilan_dpe_f;nb_classe_bilan_dpe_g;nb_classe_conso_energie_arrete_2012_a;nb_classe_conso_energie_arrete_2012_b;nb_classe_conso_energie_arrete_2012_c;nb_classe_conso_energie_arrete_2012_d;nb_classe_conso_energie_arrete_2012_e;nb_classe_conso_energie_arrete_2012_f;nb_classe_conso_energie_arrete_2012_g;nb_classe_conso_energie_arrete_2012_nc
bdnb-bg-6A7Y-AYDZ-2QLM;35;0;0;1;2;1;1;1;0;0;0;0;3;0;0;2
bdnb-bg-A5J7-VZ4A-FPBY;35;0;0;5;1;0;0;0;0;0;4;3;0;0;0;0
bdnb-bg-4Z97-YQS6-LQXF;35;0;0;12;18;0;0;0;0;0;21;8;0;0;0;0
bdnb-bg-EPUA-P4X7-A1GU;35;0;0;11;18;0;0;0;0;0;21;8;0;0;0;0
bdnb-bg-F9AP-MY3P-WDNU;35;0;0;11;18;0;0;0;0;0;21;8;0;0;0;0
bdnb-bg-Q948-TEAX-3992;35;0;0;11;18;0;0;0;0;0;21;8;0;0;0;0
bdnb-bg-QA2W-U2RR-3HBB;35;0;0;11;18;0;0;0;0;0;21;8;0;0;0;0
bdnb-bg-T9Y4-X93K-FQB2;35;0;0;11;18;0;0;0;0;0;21;8;0;0;0;0
bdnb-bg-TB72-X5SZ-5GRT;35;0;0;11;18;0;0;0;0;0;21;8;0;0;0;0
bdnb-bg-UJTU-A5C7-D4SU;35;0;0;11;18;0;0;0;0;0;21;8;0;0;0;0
bdnb-bg-VYN3-HE47-DCY9;35;0;0;0;0;0;0;0;0;0;0;0;1;0;4;0
bdnb-bg-YWUF-KB8V-VVP3;35;0;0;1;3;2;3;0;0;0;1;2;2;1;1;0
bdnb-bg-UZKP-NCUC-D92N;35;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
bdnb-bg-4THX-4M3D-KJ54;35;0;0;0;1;0;0;0;0;0;0;0;1;1;2;2
bdnb-bg-LZBX-VJK3-AJ79;35;0;0;1;4;1;0;0;0;0;0;0;0;1;0;1
bdnb-bg-BB54-YV4N-ACND;35;0;0;1;1;4;1;0;0;0;0;1;2;1;0;0
bdnb-bg-RDEQ-5KPX-7NZY;35;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
bdnb-bg-X6BL-7KFG-LU74;35;0;0;0;3;0;0;0;0;0;0;1;3;0;0;0
bdnb-bg-6HZS-51SS-D7A2;35;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
bdnb-bg-QCKB-KMZV-JCZR;35;0;2;2;2;0;0;0;0;0;5;2;0;0;0;1
bdnb-bg-MHM8-F6B8-VH5K;35;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
bdnb-bg-KUPD-GMQ5-PQXK;35;0;0;0;6;2;0;0;0;0;0;4;0;0;0;0
bdnb-bg-K12X-SBTP-CCH9;35;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
bdnb-bg-E1U5-QN8Q-SYBJ;35;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
bdnb-bg-KB13-RVKT-CX6B;35;0;0;8;7;1;0;0;0;0;10;2;1;0;0;0
bdnb-bg-21SV-BP3W-J7AC;35;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
bdnb-bg-LCB3-MZEV-DC94;35;0;0;5;3;1;0;0;0;0;5;4;4;0;0;0
bdnb-bg-QT5N-G2M8-CTFQ;35;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
bdnb-bg-RGEN-ZJT7-G4CA;35;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
bdnb-bg-MDGZ-UN1Z-4LND;35;0;0;1;6;0;0;0;0;0;0;0;1;0;1;0
bdnb-bg-WV7J-4CRZ-936F;35;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
bdnb-bg-U2QP-GNZW-4JEA;35;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
bdnb-bg-BLQY-QW2X-8XYK;35;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
bdnb-bg-BLMT-GLAU-QN7T;35;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
bdnb-bg-QTFS-64RW-KXA7;35;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
bdnb-bg-MENG-MF3P-EFK8;35;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
bdnb-bg-T2YV-9AGM-BFRV;35;0;0;13;1;0;0;0;0;0;2;0;0;0;0;0
bdnb-bg-HA7E-JARZ-Z7K7;35;0;0;8;2;0;0;0;0;0;4;0;0;0;0;0
bdnb-bg-JZ96-Y94X-4NPE;35;0;0;0;7;3;0;0;0;0;0;7;0;4;0;0
bdnb-bg-74KY-GM9H-E4L4;35;0;0;4;3;1;0;0;0;0;0;0;5;1;0;0
bdnb-bg-5FXM-QS42-MFMD;35;0;0;4;3;1;0;0;0;0;5;3;0;0;0;1
bdnb-bg-132K-KHWU-PD96;35;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
bdnb-bg-AWNW-3M79-GKVC;35;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
bdnb-bg-QT2U-1WZ1-KL77;35;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
bdnb-bg-RRB3-87Y8-44PX;35;0;0;9;7;0;0;0;0;1;10;5;0;0;0;0
bdnb-bg-WANL-FZ3U-HQRK;35;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
bdnb-bg-HLQS-MPXD-NCCA;35;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
bdnb-bg-8JQ5-CFLC-1VPN;35;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0
bdnb-bg-CQN7-RDXB-SBD5;35;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
bdnb-bg-TUZS-KWY3-PWE1;35;0;1;4;2;0;0;0;0;0;1;5;0;0;0;0
bdnb-bg-RW8H-91L3-D9QK;35;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
bdnb-bg-3AXE-6EZC-DTQ8;35;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0
bdnb-bg-XY8S-C3LU-J5HL;35;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
bdnb-bg-64LZ-UURC-ELND;35;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
bdnb-bg-BR47-KZBV-H3ZM;35;0;0;1;5;3;0;0;0;0;1;9;2;1;0;0
bdnb-bg-9XJQ-CGSD-5MJQ;35;0;0;3;0;0;0;0;10;1;0;0;0;0;0;0
bdnb-bg-P2TU-7RTW-XV9X;35;0;0;3;0;0;0;0;10;0;0;0;0;0;0;0
bdnb-bg-WANB-HLCL-Y6YT;35;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
bdnb-bg-Y8KM-Q7K9-KZ2Q;35;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
bdnb-bg-95JF-4C8B-1Y61;35;0;0;0;1;0;0;0;0;0;3;1;0;1;0;0
bdnb-bg-QRAB-HC6F-HWK6;35;0;0;0;1;0;0;0;0;0;3;1;0;1;0;0
bdnb-bg-4W33-D3PQ-K9BN;35;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
bdnb-bg-AUBU-VKAN-6HXP;35;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
bdnb-bg-41AS-452R-VLWC;35;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
bdnb-bg-8DV2-VQYS-EP5M;35;0;0;0;1;4;3;0;0;0;0;0;0;1;1;1
bdnb-bg-R8G4-J6SL-RYKK;35;0;0;2;10;3;0;0;0;0;2;11;3;0;0;0
bdnb-bg-BJX2-2PUK-W2AY;35;0;0;2;0;0;0;0;0;0;0;0;1;0;0;1
bdnb-bg-4VGA-NKNG-HERN;35;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
bdnb-bg-7NTQ-XH24-1VVF;35;0;0;13;25;0;0;0;0;0;4;10;2;0;0;0
bdnb-bg-QSVT-HHZB-4FBJ;35;0;0;4;5;2;0;0;0;1;2;0;1;0;0;4
bdnb-bg-368L-NGNG-J8R8;35;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
bdnb-bg-MZZC-F8Y8-84WG;35;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
bdnb-bg-KPXS-DWPF-ZWQ8;35;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
bdnb-bg-96E9-WCSD-87ZD;35;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0
bdnb-bg-NXMC-4DX5-MJZ2;35;0;0;2;4;2;1;0;0;0;0;1;4;3;0;0
bdnb-bg-V64H-GRQT-HXQ2;35;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
bdnb-bg-B1XZ-SDBF-A65B;35;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
bdnb-bg-7PA6-69UP-SFB8;35;0;0;3;7;2;0;0;0;0;4;5;0;0;0;1
bdnb-bg-3J62-KA53-HXB9;35;0;0;2;3;0;0;0;0;0;0;5;6;0;0;0
bdnb-bg-6VKZ-S852-EKDC;35;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
bdnb-bg-7EMV-2WWC-7JR8;35;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
bdnb-bg-9GMN-LNJ5-1DCV;35;0;0;6;1;0;0;0;0;0;4;1;0;0;0;0
bdnb-bg-SEYD-AADJ-9B4E;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
bdnb-bg-7S3F-HMBS-QY8Y;35;0;2;17;1;1;0;0;0;3;13;3;0;0;0;0
bdnb-bg-LVBU-AJC1-562V;35;0;0;1;5;2;0;0;0;0;0;0;8;1;0;0
bdnb-bg-CWUA-Y724-R73T;35;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
bdnb-bg-3ZM7-UP8V-H1WP;35;0;1;6;0;0;0;0;0;0;3;6;0;0;0;2
bdnb-bg-1NZ9-716W-KP4X;35;0;0;4;1;0;0;0;0;0;0;1;5;0;0;0
bdnb-bg-9BHX-6QVM-S7TE;35;0;0;9;0;0;0;0;0;0;9;0;0;0;0;0
bdnb-bg-8ZDK-G2NS-1WK4;35;0;0;0;1;1;1;0;0;0;0;1;0;0;1;1
bdnb-bg-A8UY-SJAT-77N7;35;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
bdnb-bg-YHW1-JMF9-WNF5;35;0;1;10;1;0;0;0;0;0;3;10;0;0;0;0
bdnb-bg-UHKZ-CNYA-NS1R;35;0;2;6;0;0;0;0;0;0;1;2;0;0;0;0
bdnb-bg-PJCY-9YYA-CCVN;35;0;0;31;19;1;0;0;0;0;7;23;15;0;0;0
