batiment_groupe_id;code_departement_insee;identifiant_dpe;type_dpe_tertiaire;source_nouvelle_base_ademe;version;date_etablissement_dpe;date_reception_dpe;annee_construction_dpe;shon;surface_utile;classe_conso_energie_dpe_tertiaire;classe_emission_ges_dpe_tertiaire;conso_dpe_tertiaire_ep_m2;emission_ges_dpe_tertiaire_m2;categorie_erp_dpe_tertiaire;periode_construction_dpe;type_erp_dpe_tertiaire;methode_application_dpe_tertiaire;sous_modele_dpe_tertiaire;type_energie_chauffage;type_energie_ecs;type_energie_climatisation;derniere_annee_consommation;conso_autre_fossile;conso_bois;conso_electricite;conso_fioul;conso_gaz;conso_gpl_butane_propane;conso_reseau_chaleur;conso_reseau_froid
bdnb-bg-18LN-CBEA-W27F;35;1635V8000477@;dpe 2006 tertiaire et erp;0;;;2016/10/10 00:00:00;;295;;;;;;;;;dpe tertiaire vierge;;electricite;electricite;;;;;;;;;;
bdnb-bg-1A9B-3P4T-GXT7;35;1835V7000081R;dpe 2006 tertiaire et erp;0;;;2018/10/25 00:00:00;;28.7;;;;;;;;;dpe tertiaire vierge;;electricite;electricite;;;;;;;;;;
bdnb-bg-1APC-8ECS-3436;35;1635V4000168S;dpe 2006 tertiaire et erp;0;;;2016/09/22 00:00:00;;282;;;;;;;;;dpe tertiaire vierge;;electricite;electricite;;;;;;;;;;
bdnb-bg-1CU4-17JQ-B8Q2;35;2235T1730961K;dpe 2006 tertiaire et erp;1;2.1;2022/07/27 22:00:00;2022/07/28 13:12:48.710;;145;;;;;;5ème catégorie;avant 1948;n : restaurants et débits de boisson;dpe tertiaire vierge;;;;;;;;;;;;;
bdnb-bg-1D3W-WJMD-WVKM;35;1435V7000061L;dpe 2006 tertiaire et erp;0;;;2014/06/17 00:00:00;1947;29.36;;;;;;;avant 1948;;dpe tertiaire vierge;;electricite;electricite;;;;;;;;;;
bdnb-bg-1DEG-2GHA-6JTR;35;2535T3620141H;dpe 2006 tertiaire et erp;1;2.5;2025/11/17 23:00:00;2025/11/18 08:38:00.714;2024;50.9;;;;;;5ème catégorie;après 2021;locaux d'entreprise (bureaux);dpe tertiaire vierge;autres;;;;;;;;;;;;
bdnb-bg-1DH3-FGUX-7LSG;35;1635V8000211L;dpe 2006 tertiaire et erp;0;;;2016/04/12 00:00:00;1947;69;;;;;;;avant 1948;;dpe tertiaire vierge;;electricite;electricite;;;;;;;;;;
bdnb-bg-1E65-36WF-T2XL;35;2435T1021905C;dpe 2006 tertiaire et erp;1;2.3;2024/03/17 23:00:00;2024/03/21 10:06:22.512;1970;;3300;;;;;;1948-1974;autres tertiaires non erp;dpe tertiaire vierge;;;;;;;;;;;;;
bdnb-bg-1FGF-8G3J-2SGD;35;2535T2175549B;dpe 2006 tertiaire et erp;1;2.4;2025/06/30 22:00:00;2025/07/01 15:59:05.234;2018;608;;;;;;5ème catégorie;2013-2021;locaux d'entreprise (bureaux);dpe tertiaire vierge;autres;;;;;;;;;;;;
bdnb-bg-1FM1-DMTB-DH1Q;35;2035V4000028I;dpe 2006 tertiaire et erp;0;;;2020/02/03 00:00:00;1974;;;;;;;;1948-1974;;dpe tertiaire vierge;;electricite;electricite;;;;;;;;;;
bdnb-bg-1HBA-NU46-YZTU;35;1735V7000008P;dpe 2006 tertiaire et erp;0;;;2017/02/06 00:00:00;1947;60;;;;;;;avant 1948;;dpe tertiaire vierge;;reseau de chaleur;reseau de chaleur;;;;;;;;;;
bdnb-bg-1HH4-637G-23KY;35;2535T2362166Q;dpe 2006 tertiaire et erp;1;2.4;2025/07/16 22:00:00;2025/07/17 15:39:47.003;1995;600;;;;;;5ème catégorie;1989-2000;autres tertiaires non erp;dpe tertiaire vierge;autres;;;;;;;;;;;;
bdnb-bg-1HM8-HXAK-VZUC;35;2435T0806440Z;dpe 2006 tertiaire et erp;1;2.3;2024/03/04 23:00:00;2024/03/05 12:55:19.502;;179.6;;;;;;5ème catégorie;avant 1948;n : restaurants et débits de boisson;dpe tertiaire vierge;;;;;;;;;;;;;
bdnb-bg-1KAN-WWG5-X5ZA;35;2235T2421883I;dpe 2006 tertiaire et erp;1;2.2;2022/10/16 22:00:00;2022/10/17 15:27:13.609;1950;67.51;;;;;;5ème catégorie;1948-1974;m : magasins de vente, centres commerciaux;dpe tertiaire vierge;;;;;;;;;;;;;
bdnb-bg-1KL9-Q4QX-JPY1;35;1535V8000296X;dpe 2006 tertiaire et erp;0;;;2015/07/07 00:00:00;1974;;2370;;;;;1ère catégorie;1948-1974;;dpe tertiaire vierge;;electricite;electricite;;;;;;;;;;
bdnb-bg-1L3F-QJD8-ZH42;35;2435T1597432T;dpe 2006 tertiaire et erp;1;2.3;2024/05/01 22:00:00;2024/05/02 16:35:34.472;;172.15;;;;;;5ème catégorie;2001-2005;m : magasins de vente, centres commerciaux;dpe tertiaire vierge;;;;;;;;;;;;;
bdnb-bg-1LBZ-NFHF-KLKV;35;2535T3724873L;dpe 2006 tertiaire et erp;1;2.5;2025/11/25 23:00:00;2025/11/26 17:32:31.795;1900;;116;;;;;5ème catégorie;avant 1948;n : restaurants et débits de boisson;dpe tertiaire vierge;autres;;;;;;;;;;;;
bdnb-bg-1LDZ-9B4D-TYE5;35;2335T2715639R;dpe 2006 tertiaire et erp;1;2.3;2023/08/10 22:00:00;2023/08/11 15:07:30.028;;130;;;;;;5ème catégorie;1948-1974;n : restaurants et débits de boisson;dpe tertiaire vierge dans un bâtiment de logement;;;;;;;;;;;;;
bdnb-bg-1MGJ-N4Y2-2WTQ;35;2135T0784218E;dpe 2006 tertiaire et erp;1;1.1;2021/11/25 23:00:00;2021/11/26 15:37:11.960;1947;14.63;;;;0.1;0.1;5ème catégorie;avant 1948;w : administrations, banques, bureaux;dpe tertiaire vierge;;electricite;;;;;;;;;;;
bdnb-bg-1MPD-EU22-ZWGA;35;2435T4179506H;dpe 2006 tertiaire et erp;1;2.4;2024/11/25 23:00:00;2024/11/26 18:34:37.196;1910;144;;;;;;5ème catégorie;avant 1948;m : magasins de vente, centres commerciaux;dpe tertiaire vierge;autres;;;;;;;;;;;;
