COD_VAR;LIB_VAR;LIB_VAR_LONG;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
COM;Commune ou ARM;Code du département suivi du numéro de commune ou du numéro d'arrondissement municipal pour Paris Lyon et Marseille;;;CHAR;5
TYP_IRIS;Type d'IRIS;Type d'IRIS : habitat (H), activité (A), divers (D), Autre (Z);;;CHAR;1
LAB_IRIS;Label de l'IRIS;Label de qualité de l'IRIS;;;CHAR;1
P20_POP;Population en 2020 (princ);Population;;;NUM;17
P20_POP0002;Pop 0-2 ans en 2020 (princ);Nombre de personnes de 0 à 2 ans;;;NUM;17
P20_POP0305;Pop 3-5 ans en 2020 (princ);Nombre de personnes de 3 à 5 ans;;;NUM;17
P20_POP0610;Pop 6-10 ans en 2020 (princ);Nombre de personnes de 6 à 10 ans;;;NUM;17
P20_POP1117;Pop 11-17 ans en 2020 (princ);Nombre de personnes de 11 à 17 ans;;;NUM;17
P20_POP1824;Pop 18-24 ans en 2020 (princ);Nombre de personnes de 18 à 24 ans;;;NUM;17
P20_POP2539;Pop 25-39 ans en 2020 (princ);Nombre de personnes de 25 à 39 ans;;;NUM;17
P20_POP4054;Pop 40-54 ans en 2020 (princ);Nombre de personnes de 40 à 54 ans;;;NUM;17
P20_POP5564;Pop 55-64 ans en 2020 (princ);Nombre de personnes de 55 à 64 ans;;;NUM;17
P20_POP6579;Pop 65-79 ans en 2020 (princ);Nombre de personnes de 65 à 79 ans;;;NUM;17
P20_POP80P;Pop 80 ans ou plus en 2020 (princ);Nombre de personnes de 80 ans ou plus;;;NUM;17
P20_POP0014;Pop 0-14 ans en 2020 (princ);Nombre de personnes de 0 à 14 ans;;;NUM;17
P20_POP1529;Pop 15-29 ans en 2020 (princ);Nombre de personnes de 15 à 29 ans;;;NUM;17
P20_POP3044;Pop 30-44 ans en 2020 (princ);Nombre de personnes de 30 à 44 ans;;;NUM;17
P20_POP4559;Pop 45-59 ans en 2020 (princ);Nombre de personnes de 45 à 59 ans;;;NUM;17
P20_POP6074;Pop 60-74 ans en 2020 (princ);Nombre de personnes de 60 à 74 ans;;;NUM;17
P20_POP75P;Pop 75 ans ou plus en 2020 (princ);Nombre de personnes de 75 ans ou plus;;;NUM;17
P20_POP0019;Pop 0-19 ans en 2020 (princ);Nombre de personnes de 0 à 19 ans;;;NUM;17
P20_POP2064;Pop 20-64 ans en 2020 (princ);Nombre de personnes de 20 à 64 ans;;;NUM;17
P20_POP65P;Pop 65 ans ou plus en 2020 (princ);Nombre de personnes de 65 ans ou plus;;;NUM;17
P20_POPH;Pop Hommes en 2020 (princ);Nombre d'hommes;;;NUM;17
P20_H0014;Pop Hommes 0-14 ans en 2020 (princ);Nombre d'hommes de 0 à 14 ans;;;NUM;17
P20_H1529;Pop Hommes 15-29 ans en 2020 (princ);Nombre d'hommes de 15 à 29 ans;;;NUM;17
P20_H3044;Pop Hommes 30-44 ans en 2020 (princ);Nombre d'hommes de 30 à 44 ans;;;NUM;17
P20_H4559;Pop Hommes 45-59 ans en 2020 (princ);Nombre d'hommes de 45 à 59 ans;;;NUM;17
P20_H6074;Pop Hommes 60-74 ans en 2020 (princ);Nombre d'hommes de 60 à 74 ans;;;NUM;17
P20_H75P;Pop Hommes 75 ans ou plus en 2020 (princ);Nombre d'hommes de 75 ans ou plus;;;NUM;17
P20_H0019;Pop Hommes 0-19 ans en 2020 (princ);Nombre d'hommes de 0 à 19 ans;;;NUM;17
P20_H2064;Pop Hommes 20-64 ans en 2020 (princ);Nombre d'hommes de 20 à 64 ans;;;NUM;17
P20_H65P;Pop Hommes 65 ans ou plus en 2020 (princ);Nombre d'hommes de 65 ans ou plus;;;NUM;17
P20_POPF;Pop Femmes en 2020 (princ);Nombre de femmes;;;NUM;17
P20_F0014;Pop Femmes 0-14 ans en 2020 (princ);Nombre de femmes de 0 à 14 ans;;;NUM;17
P20_F1529;Pop Femmes 15-29 ans en 2020 (princ);Nombre de femmes de 15 à 29 ans;;;NUM;17
P20_F3044;Pop Femmes 30-44 ans en 2020 (princ);Nombre de femmes de 30 à 44 ans;;;NUM;17
P20_F4559;Pop Femmes 45-59 ans en 2020 (princ);Nombre de femmes de 45 à 59 ans;;;NUM;17
P20_F6074;Pop Femmes 60-74 ans en 2020 (princ);Nombre de femmes de 60 à 74 ans;;;NUM;17
P20_F75P;Pop Femmes 75 ans ou plus en 2020 (princ);Nombre de femmes de 75 ans ou plus;;;NUM;17
P20_F0019;Pop Femmes 0-19 ans en 2020 (princ);Nombre de femmes de 0 à 19 ans;;;NUM;17
P20_F2064;Pop Femmes 20-64 ans en 2020 (princ);Nombre de femmes de 20 à 64 ans;;;NUM;17
P20_F65P;Pop Femmes 65 ans ou plus en 2020 (princ);Nombre de femmes de 65 ans ou plus;;;NUM;17
C20_POP15P;Pop 15 ans ou plus en 2020 (compl);Nombre de personnes de 15 ans ou plus;;;NUM;17
C20_POP15P_CS1;Pop 15 ans ou plus Agriculteurs exploitants en 2020 (compl);Nombre de personnes de 15 ans ou plus Agriculteurs exploitants;;;NUM;18
C20_POP15P_CS2;Pop 15 ans ou plus Artisans, Comm., Chefs entr. en 2020 (compl);Nombre de personnes de 15 ans ou plus Artisans, Commerçants, Chefs d'entreprise;;;NUM;17
C20_POP15P_CS3;Pop 15 ans ou plus Cadres, Prof. intel. sup. en 2020 (compl);Nombre de personnes de 15 ans ou plus Cadres et Professions intellectuelles supérieures;;;NUM;17
C20_POP15P_CS4;Pop 15 ans ou plus Prof. intermédiaires en 2020 (compl);Nombre de personnes de 15 ans ou plus Professions intermédiaires;;;NUM;17
C20_POP15P_CS5;Pop 15 ans ou plus Employés en 2020 (compl);Nombre de personnes de 15 ans ou plus Employés;;;NUM;17
C20_POP15P_CS6;Pop 15 ans ou plus Ouvriers en 2020 (compl);Nombre de personnes de 15 ans ou plus Ouvriers;;;NUM;17
C20_POP15P_CS7;Pop 15 ans ou plus Retraités en 2020 (compl);Nombre de personnes de 15 ans ou plus Retraités;;;NUM;17
C20_POP15P_CS8;Pop 15 ans ou plus Autres en 2020 (compl);Nombre de personnes de 15 ans ou plus Autres sans activité professionnelle;;;NUM;17
C20_H15P;Pop 15 ans ou plus Hommes en 2020 (compl);Nombre d'hommes de 15 ans ou plus;;;NUM;17
C20_H15P_CS1;Pop 15 ans ou plus Hommes Agriculteurs exploitants en 2020 (compl);Nombre d'hommes de 15 ans ou plus Agriculteurs exploitants;;;NUM;18
C20_H15P_CS2;Pop 15 ans ou plus Hommes Artisans, Comm., Chefs entr. en 2020 (compl);Nombre d'hommes de 15 ans ou plus Artisans, Commerçants, Chefs d'entreprise;;;NUM;17
C20_H15P_CS3;Pop 15 ans ou plus Hommes Cadres, Prof. intel. sup. en 2020 (compl);Nombre d'hommes de 15 ans ou plus Cadres et Professions intellectuelles supérieures;;;NUM;17
C20_H15P_CS4;Pop 15 ans ou plus Hommes Prof. intermédiaires en 2020 (compl);Nombre d'hommes de 15 ans ou plus Professions intermédiaires;;;NUM;17
C20_H15P_CS5;Pop 15 ans ou plus Hommes Employés en 2020 (compl);Nombre d'hommes de 15 ans ou plus Employés;;;NUM;17
C20_H15P_CS6;Pop 15 ans ou plus Hommes Ouvriers en 2020 (compl);Nombre d'hommes de 15 ans ou plus Ouvriers;;;NUM;17
C20_H15P_CS7;Pop 15 ans ou plus Hommes Retraités en 2020 (compl);Nombre d'hommes de 15 ans ou plus Retraités;;;NUM;17
C20_H15P_CS8;Pop 15 ans ou plus Hommes Autres en 2020 (compl);Nombre d'hommes de 15 ans ou plus Autres sans activité professionnelle;;;NUM;17
C20_F15P;Pop 15 ans ou plus Femmes en 2020 (compl);Nombre de femmes de 15 ans ou plus;;;NUM;17
C20_F15P_CS1;Pop 15 ans ou plus Femmes Agriculteurs exploitants en 2020 (compl);Nombre de femmes de 15 ans ou plus Agriculteurs exploitants;;;NUM;17
C20_F15P_CS2;Pop 15 ans ou plus Femmes Artisans, Comm., Chefs entr. en 2020 (compl);Nombre de femmes de 15 ans ou plus Artisans, Commerçants, Chefs d'entreprise;;;NUM;18
C20_F15P_CS3;Pop 15 ans ou plus Femmes Cadres, Prof. intel. sup. en 2020 (compl);Nombre de femmes de 15 ans ou plus Cadres et Professions intellectuelles supérieures;;;NUM;17
C20_F15P_CS4;Pop 15 ans ou plus Femmes Prof. intermédiaires en 2020 (compl);Nombre de femmes de 15 ans ou plus Professions intermédiaires;;;NUM;17
C20_F15P_CS5;Pop 15 ans ou plus Femmes Employés en 2020 (compl);Nombre de femmes de 15 ans ou plus Employés;;;NUM;17
C20_F15P_CS6;Pop 15 ans ou plus Femmes Ouvriers en 2020 (compl);Nombre de femmes de 15 ans ou plus Ouvriers;;;NUM;17
C20_F15P_CS7;Pop 15 ans ou plus Femmes Retraités en 2020 (compl);Nombre de femmes de 15 ans ou plus Retraités;;;NUM;17
C20_F15P_CS8;Pop 15 ans ou plus Femmes Autres en 2020 (compl);Nombre de femmes de 15 ans ou plus Autres sans activité professionnelle;;;NUM;17
P20_POP_FR;Pop Français en 2020 (princ);Nombre de personnes de nationalité française;;;NUM;17
P20_POP_ETR;Pop Etrangers en 2020 (princ);Nombre de personnes étrangères;;;NUM;17
P20_POP_IMM;Pop Immigrés en 2020 (princ);Nombres de personnes immigrées;;;NUM;17
P20_PMEN;Pop ménages en 2020 (princ);Population des ménages;;;NUM;17
P20_PHORMEN;Pop hors ménages en 2020 (princ);Population hors ménages;;;NUM;17
