COD_VAR;LIB_VAR;LIB_VAR_LONG;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
NBMENFISC20;Nombre de ménages fiscaux;Nombre de ménages fiscaux;;;CHAR;7
NBPERSMENFISC20;Nombre de personnes dans les ménages fiscaux;Nombre de personnes dans les ménages fiscaux;;;CHAR;7
MED20;Médiane du niveau vie (€);Médiane du niveau de vie (€);;;CHAR;5
PIMP20;Part des ménages fiscaux imposés (%);Part des ménages fiscaux imposés (%);;;CHAR;4
TP6020;Taux de pauvreté-Ensemble (%);Taux de pauvreté-Ensemble (%);;;CHAR;4
TP60AGE120;Taux de pauvreté-moins de 30 ans (%);Taux de pauvreté des personnes dans les ménages dont le référent fiscal a moins de 30 ans (%);;;CHAR;4
TP60AGE220;Taux de pauvreté-30 à 39 ans  (%);Taux de pauvreté des personnes dans les ménages dont le référent fiscal a de 30 à 39 ans (%);;;CHAR;4
TP60AGE320;Taux de pauvreté-40 à 49 ans (%);Taux de pauvreté des personnes dans les ménages dont le référent fiscal a de 40 à 49 ans (%);;;CHAR;4
TP60AGE420;Taux de pauvreté-50 à 59 ans (%);Taux de pauvreté des personnes dans les ménages dont le référent fiscal a de 50 à 59 ans (%);;;CHAR;4
TP60AGE520;Taux de pauvreté-60 à 74 ans (%);Taux de pauvreté des personnes dans les ménages dont le référent fiscal a de 60 à 74 ans (%);;;CHAR;4
TP60AGE620;Taux de pauvreté-75 ans ou plus (%);Taux de pauvreté des personnes dans les ménages dont le référent fiscal a 75 ans ou plus (%);;;CHAR;4
TP60TOL120;Taux de pauvreté-propriétaires (%);Taux de pauvreté des personnes dans les ménages propriétaires de leur logement (%);;;CHAR;4
TP60TOL220;Taux de pauvreté-locataires (%);Taux de pauvreté des personnes dans les ménages locataires de leur logement (%);;;CHAR;4
PACT20;Part des revenus d'activité (%);Part des revenus d'activité (%);;;CHAR;5
PTSA20;dont part des salaires et traitements (%);dont part des salaires et traitements (%);;;CHAR;4
PCHO20;dont part des indemnités de chômage (%);dont part des indemnités de chômage (%);;;CHAR;3
PBEN20;dont part des revenus des activités non salariées (%);dont part des revenus des activités non salariées (%);;;CHAR;4
PPEN20;Part des pensions, retraites et rentes (%);Part des pensions, retraites et rentes (%);;;CHAR;4
PPAT20;Part des revenus du patrimoine et autres revenus (%);Part des revenus du patrimoine et des autres revenus (%);;;CHAR;4
PPSOC20;Part de l'ensemble des prestations sociales (%);Part de l'ensemble des prestations sociales (%);;;CHAR;4
PPFAM20;dont part des prestations familiales (%);dont part des prestations familiales (%);;;CHAR;3
PPMINI20;dont part des minima sociaux (%);dont part des minima sociaux (%);;;CHAR;4
PPLOGT20;dont part des prestations logement (%);dont part des prestations logement (%);;;CHAR;3
PIMPOT20;Part des impôts (%);Part des impôts (%);;;CHAR;5
D120;1er décile du niveau de vie (€);1er décile du niveau de vie (€);;;CHAR;5
D920;9e décile du niveau de vie (€);9e décile du niveau de vie (€);;;CHAR;6
RD20;Rapport interdécile 9e décile/1er décile;Rapport interdécile 9e décile/1er décile;;;CHAR;4
